#    L    TT             EE             BB             TE          
     2    0.15231E+04    0.52944E-01    0.15864E-05    0.40510E+01
     3    0.15348E+04    0.85510E-01    0.31734E-05    0.48872E+01
     4    0.14489E+04    0.96631E-01    0.52904E-05    0.48399E+01
     5    0.13455E+04    0.86808E-01    0.79384E-05    0.43566E+01
     6    0.12503E+04    0.65263E-01    0.11118E-04    0.37089E+01
     7    0.11704E+04    0.42341E-01    0.14831E-04    0.30401E+01
     8    0.11059E+04    0.24724E-01    0.19079E-04    0.24306E+01
     9    0.10548E+04    0.14330E-01    0.23863E-04    0.19210E+01
    10    0.10149E+04    0.97263E-02    0.29185E-04    0.15300E+01
    11    0.98398E+03    0.82662E-02    0.35047E-04    0.12573E+01
    12    0.96137E+03    0.77899E-02    0.41450E-04    0.10929E+01
    13    0.94446E+03    0.71496E-02    0.48398E-04    0.10171E+01
    14    0.93165E+03    0.62973E-02    0.55892E-04    0.10072E+01
    15    0.92281E+03    0.55227E-02    0.63934E-04    0.10430E+01
    16    0.91798E+03    0.50981E-02    0.72527E-04    0.11060E+01
    17    0.91668E+03    0.51104E-02    0.81673E-04    0.11780E+01
    18    0.91762E+03    0.53880E-02    0.91374E-04    0.12453E+01
    19    0.92139E+03    0.57613E-02    0.10163E-03    0.13052E+01
    20    0.92612E+03    0.61480E-02    0.11245E-03    0.13550E+01
    21    0.93203E+03    0.65476E-02    0.12383E-03    0.13965E+01
    22    0.93927E+03    0.70641E-02    0.13578E-03    0.14315E+01
    23    0.94754E+03    0.77781E-02    0.14829E-03    0.14636E+01
    24    0.95677E+03    0.87209E-02    0.16138E-03    0.14962E+01
    25    0.96686E+03    0.99201E-02    0.17503E-03    0.15310E+01
    26    0.97758E+03    0.11356E-01    0.18925E-03    0.15704E+01
    27    0.98908E+03    0.12983E-01    0.20405E-03    0.16137E+01
    28    0.10011E+04    0.14783E-01    0.21942E-03    0.16600E+01
    29    0.10138E+04    0.16749E-01    0.23537E-03    0.17057E+01
    30    0.10268E+04    0.18885E-01    0.25190E-03    0.17462E+01
    31    0.10402E+04    0.21199E-01    0.26900E-03    0.17811E+01
    32    0.10541E+04    0.23682E-01    0.28669E-03    0.18103E+01
    33    0.10686E+04    0.26316E-01    0.30495E-03    0.18297E+01
    34    0.10834E+04    0.29101E-01    0.32379E-03    0.18365E+01
    35    0.10985E+04    0.32066E-01    0.34322E-03    0.18321E+01
    36    0.11138E+04    0.35244E-01    0.36322E-03    0.18182E+01
    37    0.11293E+04    0.38632E-01    0.38380E-03    0.17940E+01
    38    0.11453E+04    0.42228E-01    0.40496E-03    0.17604E+01
    39    0.11617E+04    0.46042E-01    0.42670E-03    0.17184E+01
    40    0.11783E+04    0.50093E-01    0.44902E-03    0.16689E+01
    41    0.11952E+04    0.54400E-01    0.47192E-03    0.16120E+01
    42    0.12122E+04    0.58966E-01    0.49538E-03    0.15466E+01
    43    0.12293E+04    0.63789E-01    0.51943E-03    0.14710E+01
    44    0.12465E+04    0.68855E-01    0.54404E-03    0.13845E+01
    45    0.12641E+04    0.74155E-01    0.56923E-03    0.12867E+01
    46    0.12820E+04    0.79689E-01    0.59499E-03    0.11751E+01
    47    0.13000E+04    0.85458E-01    0.62132E-03    0.10508E+01
    48    0.13181E+04    0.91469E-01    0.64821E-03    0.91815E+00
    49    0.13364E+04    0.97708E-01    0.67567E-03    0.78114E+00
    50    0.13551E+04    0.10416E+00    0.70369E-03    0.63679E+00
    51    0.13740E+04    0.11078E+00    0.73228E-03    0.48070E+00
    52    0.13934E+04    0.11768E+00    0.76142E-03    0.30827E+00
    53    0.14127E+04    0.12499E+00    0.79112E-03    0.11667E+00
    54    0.14320E+04    0.13270E+00    0.82139E-03   -0.88949E-01
    55    0.14514E+04    0.14079E+00    0.85220E-03   -0.30333E+00
    56    0.14711E+04    0.14912E+00    0.88357E-03   -0.52755E+00
    57    0.14912E+04    0.15757E+00    0.91550E-03   -0.76181E+00
    58    0.15115E+04    0.16616E+00    0.94798E-03   -0.10073E+01
    59    0.15320E+04    0.17493E+00    0.98101E-03   -0.12652E+01
    60    0.15526E+04    0.18393E+00    0.10146E-02   -0.15353E+01
    61    0.15738E+04    0.19326E+00    0.10487E-02   -0.18172E+01
    62    0.15948E+04    0.20291E+00    0.10834E-02   -0.21118E+01
    63    0.16159E+04    0.21283E+00    0.11186E-02   -0.24199E+01
    64    0.16374E+04    0.22304E+00    0.11544E-02   -0.27427E+01
    65    0.16589E+04    0.23352E+00    0.11908E-02   -0.30807E+01
    66    0.16807E+04    0.24420E+00    0.12276E-02   -0.34319E+01
    67    0.17027E+04    0.25509E+00    0.12651E-02   -0.37937E+01
    68    0.17251E+04    0.26622E+00    0.13031E-02   -0.41644E+01
    69    0.17477E+04    0.27754E+00    0.13416E-02   -0.45424E+01
    70    0.17705E+04    0.28911E+00    0.13807E-02   -0.49293E+01
    71    0.17935E+04    0.30091E+00    0.14204E-02   -0.53276E+01
    72    0.18167E+04    0.31291E+00    0.14606E-02   -0.57386E+01
    73    0.18400E+04    0.32508E+00    0.15014E-02   -0.61626E+01
    74    0.18635E+04    0.33742E+00    0.15427E-02   -0.65986E+01
    75    0.18873E+04    0.34994E+00    0.15846E-02   -0.70450E+01
    76    0.19114E+04    0.36264E+00    0.16271E-02   -0.75010E+01
    77    0.19358E+04    0.37552E+00    0.16701E-02   -0.79668E+01
    78    0.19606E+04    0.38860E+00    0.17137E-02   -0.84440E+01
    79    0.19855E+04    0.40183E+00    0.17579E-02   -0.89291E+01
    80    0.20107E+04    0.41522E+00    0.18026E-02   -0.94240E+01
    81    0.20360E+04    0.42872E+00    0.18480E-02   -0.99294E+01
    82    0.20615E+04    0.44234E+00    0.18939E-02   -0.10444E+02
    83    0.20873E+04    0.45607E+00    0.19404E-02   -0.10968E+02
    84    0.21132E+04    0.46989E+00    0.19875E-02   -0.11499E+02
    85    0.21393E+04    0.48379E+00    0.20352E-02   -0.12039E+02
    86    0.21656E+04    0.49778E+00    0.20835E-02   -0.12585E+02
    87    0.21923E+04    0.51183E+00    0.21324E-02   -0.13138E+02
    88    0.22190E+04    0.52596E+00    0.21818E-02   -0.13698E+02
    89    0.22460E+04    0.54015E+00    0.22319E-02   -0.14265E+02
    90    0.22732E+04    0.55438E+00    0.22826E-02   -0.14837E+02
    91    0.23006E+04    0.56863E+00    0.23339E-02   -0.15416E+02
    92    0.23282E+04    0.58290E+00    0.23858E-02   -0.15999E+02
    93    0.23561E+04    0.59718E+00    0.24383E-02   -0.16587E+02
    94    0.23840E+04    0.61143E+00    0.24915E-02   -0.17180E+02
    95    0.24123E+04    0.62566E+00    0.25452E-02   -0.17777E+02
    96    0.24405E+04    0.63985E+00    0.25996E-02   -0.18378E+02
    97    0.24691E+04    0.65398E+00    0.26546E-02   -0.18983E+02
    98    0.24980E+04    0.66807E+00    0.27102E-02   -0.19589E+02
    99    0.25269E+04    0.68206E+00    0.27665E-02   -0.20199E+02
   100    0.25561E+04    0.69596E+00    0.28234E-02   -0.20810E+02
   101    0.25855E+04    0.70983E+00    0.28809E-02   -0.21423E+02
   102    0.26153E+04    0.72352E+00    0.29391E-02   -0.22038E+02
   103    0.26451E+04    0.73712E+00    0.29979E-02   -0.22654E+02
   104    0.26751E+04    0.75062E+00    0.30573E-02   -0.23270E+02
   105    0.27053E+04    0.76394E+00    0.31174E-02   -0.23886E+02
   106    0.27356E+04    0.77718E+00    0.31781E-02   -0.24502E+02
   107    0.27659E+04    0.79017E+00    0.32395E-02   -0.25116E+02
