#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.15231E+04    0.52942E-01    0.00000E+00    0.40510E+01    0.10187E-06   -0.84710E-02   -0.17906E-04
     3    0.15348E+04    0.85507E-01    0.00000E+00    0.48872E+01    0.11975E-06   -0.91489E-02   -0.21298E-04
     4    0.14489E+04    0.96626E-01    0.00000E+00    0.48399E+01    0.13314E-06   -0.91014E-02   -0.21360E-04
     5    0.13455E+04    0.86800E-01    0.00000E+00    0.43566E+01    0.14362E-06   -0.87496E-02   -0.19027E-04
     6    0.12503E+04    0.65252E-01    0.00000E+00    0.37089E+01    0.15198E-06   -0.82756E-02   -0.15173E-04
     7    0.11704E+04    0.42326E-01    0.00000E+00    0.30401E+01    0.15874E-06   -0.77648E-02   -0.10604E-04
     8    0.11058E+04    0.24705E-01    0.00000E+00    0.24306E+01    0.16426E-06   -0.72606E-02   -0.60219E-05
     9    0.10547E+04    0.14306E-01    0.00000E+00    0.19210E+01    0.16881E-06   -0.67838E-02   -0.20418E-05
    10    0.10148E+04    0.96971E-02    0.00000E+00    0.15300E+01    0.17254E-06   -0.63375E-02    0.89591E-06
    11    0.98391E+03    0.82312E-02    0.00000E+00    0.12573E+01    0.17566E-06   -0.59217E-02    0.26520E-05
    12    0.96128E+03    0.77485E-02    0.00000E+00    0.10929E+01    0.17821E-06   -0.55340E-02    0.33515E-05
    13    0.94436E+03    0.71012E-02    0.00000E+00    0.10171E+01    0.18029E-06   -0.51733E-02    0.31726E-05
    14    0.93154E+03    0.62414E-02    0.00000E+00    0.10072E+01    0.18198E-06   -0.48398E-02    0.23024E-05
    15    0.92268E+03    0.54588E-02    0.00000E+00    0.10430E+01    0.18334E-06   -0.45325E-02    0.99449E-06
    16    0.91783E+03    0.50256E-02    0.00000E+00    0.11060E+01    0.18442E-06   -0.42503E-02   -0.46995E-06
    17    0.91651E+03    0.50287E-02    0.00000E+00    0.11781E+01    0.18525E-06   -0.39908E-02   -0.17468E-05
    18    0.91744E+03    0.52967E-02    0.00000E+00    0.12454E+01    0.18587E-06   -0.37514E-02   -0.25589E-05
    19    0.92119E+03    0.56597E-02    0.00000E+00    0.13053E+01    0.18630E-06   -0.35299E-02   -0.29429E-05
    20    0.92590E+03    0.60356E-02    0.00000E+00    0.13551E+01    0.18655E-06   -0.33243E-02   -0.30048E-05
    21    0.93179E+03    0.64239E-02    0.00000E+00    0.13966E+01    0.18664E-06   -0.31336E-02   -0.28236E-05
    22    0.93900E+03    0.69284E-02    0.00000E+00    0.14317E+01    0.18662E-06   -0.29574E-02   -0.24620E-05
    23    0.94725E+03    0.76299E-02    0.00000E+00    0.14639E+01    0.18647E-06   -0.27942E-02   -0.19492E-05
    24    0.95646E+03    0.85597E-02    0.00000E+00    0.14965E+01    0.18623E-06   -0.26426E-02   -0.13361E-05
    25    0.96652E+03    0.97453E-02    0.00000E+00    0.15314E+01    0.18589E-06   -0.25012E-02   -0.79539E-06
    26    0.97722E+03    0.11167E-01    0.00000E+00    0.15708E+01    0.18547E-06   -0.23689E-02   -0.49019E-06
    27    0.98870E+03    0.12779E-01    0.00000E+00    0.16142E+01    0.18498E-06   -0.22449E-02   -0.42752E-06
    28    0.10007E+04    0.14564E-01    0.00000E+00    0.16605E+01    0.18442E-06   -0.21288E-02   -0.55801E-06
    29    0.10133E+04    0.16514E-01    0.00000E+00    0.17063E+01    0.18380E-06   -0.20199E-02   -0.76084E-06
    30    0.10264E+04    0.18634E-01    0.00000E+00    0.17468E+01    0.18312E-06   -0.19176E-02   -0.92767E-06
    31    0.10397E+04    0.20931E-01    0.00000E+00    0.17818E+01    0.18239E-06   -0.18213E-02   -0.10685E-05
    32    0.10536E+04    0.23396E-01    0.00000E+00    0.18111E+01    0.18161E-06   -0.17306E-02   -0.12158E-05
    33    0.10680E+04    0.26012E-01    0.00000E+00    0.18306E+01    0.18080E-06   -0.16452E-02   -0.13742E-05
    34    0.10828E+04    0.28779E-01    0.00000E+00    0.18374E+01    0.17996E-06   -0.15649E-02   -0.15267E-05
    35    0.10979E+04    0.31725E-01    0.00000E+00    0.18332E+01    0.17908E-06   -0.14898E-02   -0.15979E-05
    36    0.11132E+04    0.34883E-01    0.00000E+00    0.18194E+01    0.17818E-06   -0.14199E-02   -0.15225E-05
    37    0.11287E+04    0.38251E-01    0.00000E+00    0.17952E+01    0.17725E-06   -0.13541E-02   -0.13328E-05
    38    0.11446E+04    0.41826E-01    0.00000E+00    0.17618E+01    0.17631E-06   -0.12915E-02   -0.10849E-05
    39    0.11610E+04    0.45619E-01    0.00000E+00    0.17199E+01    0.17534E-06   -0.12319E-02   -0.83347E-06
    40    0.11776E+04    0.49647E-01    0.00000E+00    0.16705E+01    0.17435E-06   -0.11752E-02   -0.63239E-06
    41    0.11944E+04    0.53932E-01    0.00000E+00    0.16138E+01    0.17335E-06   -0.11214E-02   -0.52154E-06
    42    0.12114E+04    0.58475E-01    0.00000E+00    0.15485E+01    0.17233E-06   -0.10704E-02   -0.48508E-06
    43    0.12285E+04    0.63276E-01    0.00000E+00    0.14730E+01    0.17130E-06   -0.10220E-02   -0.49335E-06
    44    0.12456E+04    0.68317E-01    0.00000E+00    0.13867E+01    0.17025E-06   -0.97611E-03   -0.51682E-06
    45    0.12632E+04    0.73593E-01    0.00000E+00    0.12889E+01    0.16920E-06   -0.93262E-03   -0.52603E-06
    46    0.12810E+04    0.79103E-01    0.00000E+00    0.11775E+01    0.16814E-06   -0.89141E-03   -0.50020E-06
    47    0.12990E+04    0.84846E-01    0.00000E+00    0.10533E+01    0.16707E-06   -0.85236E-03   -0.45291E-06
    48    0.13171E+04    0.90831E-01    0.00000E+00    0.92086E+00    0.16600E-06   -0.81534E-03   -0.40628E-06
    49    0.13354E+04    0.97045E-01    0.00000E+00    0.78399E+00    0.16492E-06   -0.78024E-03   -0.38237E-06
    50    0.13540E+04    0.10347E+00    0.00000E+00    0.63978E+00    0.16384E-06   -0.74695E-03   -0.40317E-06
    51    0.13729E+04    0.11007E+00    0.00000E+00    0.48384E+00    0.16276E-06   -0.71534E-03   -0.48237E-06
    52    0.13922E+04    0.11694E+00    0.00000E+00    0.31155E+00    0.16167E-06   -0.68531E-03   -0.60060E-06
    53    0.14115E+04    0.12422E+00    0.00000E+00    0.12009E+00    0.16059E-06   -0.65677E-03   -0.73025E-06
