#           k/h    P           
    0.10000E-03    0.47922E+03
    0.10202E-03    0.48856E+03
    0.10408E-03    0.49809E+03
    0.10618E-03    0.50781E+03
    0.10833E-03    0.51771E+03
    0.11052E-03    0.52782E+03
    0.11275E-03    0.53812E+03
    0.11503E-03    0.54863E+03
    0.11735E-03    0.55934E+03
    0.11972E-03    0.57027E+03
    0.12214E-03    0.58141E+03
    0.12461E-03    0.59278E+03
    0.12712E-03    0.60437E+03
    0.12969E-03    0.61619E+03
    0.13231E-03    0.62825E+03
    0.13499E-03    0.64055E+03
    0.13771E-03    0.65309E+03
    0.14049E-03    0.66589E+03
    0.14333E-03    0.67894E+03
    0.14623E-03    0.69225E+03
    0.14918E-03    0.70583E+03
    0.15220E-03    0.71968E+03
    0.15527E-03    0.73381E+03
    0.15841E-03    0.74823E+03
    0.16161E-03    0.76294E+03
    0.16487E-03    0.77794E+03
    0.16820E-03    0.79325E+03
    0.17160E-03    0.80886E+03
    0.17507E-03    0.82480E+03
    0.17860E-03    0.84106E+03
    0.18221E-03    0.85765E+03
    0.18589E-03    0.87457E+03
    0.18965E-03    0.89185E+03
    0.19348E-03    0.90947E+03
    0.19739E-03    0.92746E+03
    0.20138E-03    0.94582E+03
    0.20544E-03    0.96456E+03
    0.20959E-03    0.98368E+03
    0.21383E-03    0.10032E+04
    0.21815E-03    0.10231E+04
    0.22255E-03    0.10435E+04
    0.22705E-03    0.10642E+04
    0.23164E-03    0.10854E+04
    0.23632E-03    0.11071E+04
    0.24109E-03    0.11291E+04
    0.24596E-03    0.11517E+04
    0.25093E-03    0.11747E+04
    0.25600E-03    0.11982E+04
    0.26117E-03    0.12223E+04
    0.26645E-03    0.12468E+04
    0.27183E-03    0.12718E+04
    0.27732E-03    0.12974E+04
    0.28292E-03    0.13236E+04
    0.28864E-03    0.13503E+04
    0.29447E-03    0.13775E+04
    0.30042E-03    0.14054E+04
    0.30649E-03    0.14339E+04
    0.31268E-03    0.14629E+04
    0.31899E-03    0.14927E+04
    0.32544E-03    0.15230E+04
    0.33201E-03    0.15541E+04
    0.33872E-03    0.15858E+04
    0.34556E-03    0.16182E+04
    0.35254E-03    0.16514E+04
    0.35966E-03    0.16853E+04
    0.36693E-03    0.17199E+04
    0.37434E-03    0.17553E+04
    0.38190E-03    0.17915E+04
    0.38962E-03    0.18286E+04
    0.39749E-03    0.18664E+04
    0.40552E-03    0.19051E+04
    0.41371E-03    0.19448E+04
    0.42207E-03    0.19853E+04
    0.43060E-03    0.20267E+04
    0.43929E-03    0.20691E+04
    0.44817E-03    0.21125E+04
    0.45722E-03    0.21568E+04
    0.46646E-03    0.22022E+04
    0.47588E-03    0.22487E+04
    0.48550E-03    0.22962E+04
    0.49530E-03    0.23448E+04
    0.50531E-03    0.23946E+04
    0.51552E-03    0.24455E+04
    0.52593E-03    0.24976E+04
    0.53656E-03    0.25510E+04
    0.54739E-03    0.26056E+04
    0.55845E-03    0.26615E+04
    0.56973E-03    0.27186E+04
    0.58124E-03    0.27772E+04
    0.59299E-03    0.28371E+04
    0.60496E-03    0.28984E+04
    0.61719E-03    0.29612E+04
    0.62965E-03    0.30254E+04
    0.64237E-03    0.30912E+04
    0.65535E-03    0.31584E+04
    0.66859E-03    0.32273E+04
    0.68210E-03    0.32977E+04
    0.69588E-03    0.33698E+04
    0.70993E-03    0.34436E+04
    0.72427E-03    0.35191E+04
    0.73891E-03    0.35963E+04
    0.75383E-03    0.36752E+04
    0.76906E-03    0.37560E+04
    0.78460E-03    0.38386E+04
    0.80045E-03    0.39230E+04
    0.81662E-03    0.40094E+04
    0.83311E-03    0.40976E+04
    0.84994E-03    0.41878E+04
    0.86711E-03    0.42800E+04
    0.88463E-03    0.43742E+04
    0.90250E-03    0.44704E+04
    0.92073E-03    0.45687E+04
    0.93933E-03    0.46690E+04
    0.95831E-03    0.47714E+04
    0.97767E-03    0.48760E+04
    0.99742E-03    0.49827E+04
    0.10176E-02    0.50916E+04
    0.10381E-02    0.52026E+04
    0.10591E-02    0.53159E+04
    0.10805E-02    0.54313E+04
    0.11023E-02    0.55491E+04
    0.11246E-02    0.56690E+04
    0.11473E-02    0.57913E+04
    0.11705E-02    0.59158E+04
    0.11941E-02    0.60427E+04
    0.12182E-02    0.61719E+04
    0.12429E-02    0.63034E+04
    0.12680E-02    0.64373E+04
    0.12936E-02    0.65735E+04
    0.13197E-02    0.67122E+04
    0.13464E-02    0.68532E+04
    0.13736E-02    0.69967E+04
    0.14013E-02    0.71426E+04
    0.14296E-02    0.72910E+04
    0.14585E-02    0.74419E+04
    0.14880E-02    0.75952E+04
    0.15180E-02    0.77511E+04
    0.15487E-02    0.79095E+04
    0.15800E-02    0.80705E+04
    0.16119E-02    0.82340E+04
    0.16445E-02    0.84001E+04
    0.16777E-02    0.85689E+04
    0.17116E-02    0.87402E+04
    0.17462E-02    0.89142E+04
    0.17814E-02    0.90909E+04
    0.18174E-02    0.92703E+04
    0.18541E-02    0.94523E+04
    0.18916E-02    0.96370E+04
    0.19298E-02    0.98245E+04
    0.19688E-02    0.10015E+05
    0.20086E-02    0.10208E+05
    0.20491E-02    0.10403E+05
    0.20905E-02    0.10602E+05
    0.21328E-02    0.10803E+05
    0.21758E-02    0.11007E+05
    0.22198E-02    0.11214E+05
    0.22646E-02    0.11424E+05
    0.23104E-02    0.11636E+05
    0.23571E-02    0.11851E+05
    0.24047E-02    0.12069E+05
    0.24533E-02    0.12290E+05
    0.25028E-02    0.12514E+05
    0.25534E-02    0.12740E+05
    0.26050E-02    0.12969E+05
    0.26576E-02    0.13201E+05
    0.27113E-02    0.13436E+05
    0.27660E-02    0.13674E+05
    0.28219E-02    0.13914E+05
    0.28789E-02    0.14157E+05
    0.29371E-02    0.14403E+05
    0.29964E-02    0.14651E+05
    0.30569E-02    0.14902E+05
    0.31187E-02    0.15156E+05
    0.31817E-02    0.15412E+05
    0.32460E-02    0.15671E+05
    0.33115E-02    0.15932E+05
    0.33784E-02    0.16196E+05
    0.34467E-02    0.16463E+05
    0.35163E-02    0.16731E+05
    0.35874E-02    0.17003E+05
    0.36598E-02    0.17276E+05
    0.37338E-02    0.17552E+05
    0.38092E-02    0.17830E+05
    0.38861E-02    0.18110E+05
    0.39646E-02    0.18392E+05
    0.40447E-02    0.18677E+05
    0.41264E-02    0.18963E+05
    0.42098E-02    0.19251E+05
    0.42948E-02    0.19541E+05
    0.43816E-02    0.19833E+05
    0.44701E-02    0.20126E+05
    0.45604E-02    0.20421E+05
    0.46525E-02    0.20717E+05
    0.47465E-02    0.21015E+05
    0.48424E-02    0.21314E+05
    0.49402E-02    0.21614E+05
    0.50400E-02    0.21915E+05
    0.51419E-02    0.22217E+05
    0.52457E-02    0.22519E+05
    0.53517E-02    0.22823E+05
    0.54598E-02    0.23127E+05
    0.55701E-02    0.23431E+05
    0.56826E-02    0.23735E+05
    0.57974E-02    0.24040E+05
    0.59145E-02    0.24344E+05
    0.60340E-02    0.24649E+05
    0.61559E-02    0.24952E+05
    0.62803E-02    0.25256E+05
    0.64072E-02    0.25558E+05
    0.65366E-02    0.25860E+05
    0.66686E-02    0.26160E+05
    0.68033E-02    0.26459E+05
    0.69408E-02    0.26757E+05
    0.70810E-02    0.27052E+05
    0.72240E-02    0.27346E+05
    0.73700E-02    0.27637E+05
    0.75189E-02    0.27926E+05
    0.76708E-02    0.28213E+05
    0.78257E-02    0.28496E+05
    0.79838E-02    0.28777E+05
    0.81451E-02    0.29053E+05
    0.83096E-02    0.29326E+05
    0.84775E-02    0.29596E+05
    0.86488E-02    0.29860E+05
    0.88235E-02    0.30121E+05
    0.90017E-02    0.30376E+05
    0.91836E-02    0.30626E+05
    0.93691E-02    0.30871E+05
    0.95583E-02    0.31110E+05
    0.97514E-02    0.31343E+05
    0.99484E-02    0.31570E+05
    0.10149E-01    0.31790E+05
    0.10354E-01    0.32003E+05
    0.10564E-01    0.32208E+05
    0.10777E-01    0.32406E+05
    0.10995E-01    0.32595E+05
    0.11217E-01    0.32776E+05
    0.11443E-01    0.32948E+05
    0.11675E-01    0.33110E+05
    0.11910E-01    0.33263E+05
    0.12151E-01    0.33406E+05
    0.12397E-01    0.33540E+05
    0.12647E-01    0.33663E+05
    0.12902E-01    0.33775E+05
    0.13163E-01    0.33876E+05
    0.13429E-01    0.33963E+05
    0.13700E-01    0.34037E+05
    0.13977E-01    0.34095E+05
    0.14259E-01    0.34140E+05
    0.14547E-01    0.34174E+05
    0.14841E-01    0.34199E+05
    0.15141E-01    0.34216E+05
    0.15447E-01    0.34227E+05
    0.15759E-01    0.34230E+05
    0.16077E-01    0.34221E+05
    0.16402E-01    0.34195E+05
    0.16734E-01    0.34149E+05
    0.17072E-01    0.34080E+05
    0.17416E-01    0.33988E+05
    0.17768E-01    0.33876E+05
    0.18127E-01    0.33747E+05
    0.18493E-01    0.33603E+05
    0.18867E-01    0.33446E+05
    0.19248E-01    0.33274E+05
    0.19637E-01    0.33084E+05
    0.20034E-01    0.32875E+05
    0.20438E-01    0.32645E+05
    0.20851E-01    0.32390E+05
    0.21272E-01    0.32115E+05
    0.21702E-01    0.31821E+05
    0.22141E-01    0.31511E+05
    0.22588E-01    0.31188E+05
    0.23044E-01    0.30856E+05
    0.23510E-01    0.30513E+05
    0.23985E-01    0.30160E+05
    0.24469E-01    0.29796E+05
    0.24964E-01    0.29423E+05
    0.25468E-01    0.29039E+05
    0.25982E-01    0.28644E+05
    0.26507E-01    0.28239E+05
    0.27043E-01    0.27822E+05
    0.27589E-01    0.27394E+05
    0.28146E-01    0.26955E+05
    0.28715E-01    0.26505E+05
    0.29295E-01    0.26047E+05
    0.29887E-01    0.25582E+05
    0.30490E-01    0.25111E+05
    0.31106E-01    0.24636E+05
    0.31735E-01    0.24159E+05
    0.32376E-01    0.23682E+05
    0.33030E-01    0.23206E+05
    0.33697E-01    0.22733E+05
    0.34378E-01    0.22265E+05
    0.35072E-01    0.21803E+05
    0.35781E-01    0.21348E+05
    0.36504E-01    0.20901E+05
    0.37241E-01    0.20462E+05
    0.37993E-01    0.20032E+05
    0.38761E-01    0.19613E+05
    0.39544E-01    0.19204E+05
    0.40343E-01    0.18807E+05
    0.41158E-01    0.18421E+05
    0.41989E-01    0.18049E+05
    0.42838E-01    0.17690E+05
    0.43703E-01    0.17347E+05
    0.44586E-01    0.17020E+05
    0.45486E-01    0.16710E+05
    0.46405E-01    0.16418E+05
    0.47343E-01    0.16141E+05
    0.48299E-01    0.15879E+05
    0.49275E-01    0.15630E+05
    0.50270E-01    0.15394E+05
    0.51286E-01    0.15168E+05
    0.52322E-01    0.14952E+05
    0.53379E-01    0.14745E+05
    0.54457E-01    0.14546E+05
    0.55557E-01    0.14351E+05
    0.56680E-01    0.14160E+05
    0.57825E-01    0.13970E+05
    0.58993E-01    0.13779E+05
    0.60184E-01    0.13586E+05
    0.61400E-01    0.13388E+05
    0.62641E-01    0.13185E+05
    0.63906E-01    0.12973E+05
    0.65197E-01    0.12749E+05
    0.66514E-01    0.12510E+05
    0.67858E-01    0.12259E+05
    0.69229E-01    0.11997E+05
    0.70627E-01    0.11730E+05
    0.72054E-01    0.11452E+05
    0.73510E-01    0.11158E+05
    0.74994E-01    0.10842E+05
    0.76509E-01    0.10507E+05
    0.78055E-01    0.10162E+05
    0.79632E-01    0.98108E+04
    0.81241E-01    0.94574E+04
    0.82882E-01    0.91035E+04
    0.84556E-01    0.87525E+04
    0.86264E-01    0.84083E+04
    0.88007E-01    0.80747E+04
    0.89785E-01    0.77554E+04
    0.91598E-01    0.74537E+04
    0.93449E-01    0.71722E+04
    0.95337E-01    0.69131E+04
    0.97263E-01    0.66782E+04
    0.99227E-01    0.64682E+04
    0.10123E+00    0.62825E+04
    0.10328E+00    0.61203E+04
    0.10536E+00    0.59792E+04
    0.10749E+00    0.58562E+04
    0.10966E+00    0.57478E+04
    0.11188E+00    0.56497E+04
    0.11414E+00    0.55574E+04
    0.11644E+00    0.54661E+04
    0.11880E+00    0.53709E+04
    0.12120E+00    0.52676E+04
    0.12365E+00    0.51523E+04
    0.12614E+00    0.50227E+04
    0.12869E+00    0.48776E+04
    0.13129E+00    0.47176E+04
    0.13394E+00    0.45443E+04
    0.13665E+00    0.43609E+04
    0.13941E+00    0.41710E+04
    0.14223E+00    0.39791E+04
    0.14510E+00    0.37902E+04
    0.14803E+00    0.36098E+04
    0.15102E+00    0.34428E+04
    0.15407E+00    0.32934E+04
    0.15718E+00    0.31639E+04
    0.16036E+00    0.30545E+04
    0.16360E+00    0.29632E+04
    0.16690E+00    0.28868E+04
    0.17028E+00    0.28213E+04
    0.17371E+00    0.27624E+04
    0.17722E+00    0.27053E+04
    0.18080E+00    0.26451E+04
    0.18446E+00    0.25772E+04
    0.18818E+00    0.24986E+04
    0.19198E+00    0.24088E+04
    0.19586E+00    0.23101E+04
    0.19982E+00    0.22060E+04
    0.20386E+00    0.21009E+04
    0.20797E+00    0.19993E+04
    0.21218E+00    0.19050E+04
    0.21646E+00    0.18215E+04
    0.22083E+00    0.17501E+04
    0.22530E+00    0.16906E+04
    0.22985E+00    0.16404E+04
    0.23449E+00    0.15960E+04
    0.23923E+00    0.15535E+04
    0.24406E+00    0.15088E+04
    0.24899E+00    0.14594E+04
    0.25402E+00    0.14044E+04
    0.25915E+00    0.13450E+04
    0.26439E+00    0.12839E+04
    0.26973E+00    0.12241E+04
    0.27518E+00    0.11685E+04
    0.28074E+00    0.11191E+04
    0.28641E+00    0.10764E+04
    0.29219E+00    0.10394E+04
    0.29810E+00    0.10056E+04
    0.30412E+00    0.97248E+03
    0.31026E+00    0.93819E+03
    0.31653E+00    0.90171E+03
    0.32292E+00    0.86347E+03
    0.32945E+00    0.82517E+03
    0.33610E+00    0.78867E+03
    0.34289E+00    0.75518E+03
    0.34982E+00    0.72510E+03
    0.35689E+00    0.69794E+03
    0.36409E+00    0.67234E+03
    0.37145E+00    0.64697E+03
    0.37895E+00    0.62116E+03
    0.38661E+00    0.59498E+03
    0.39442E+00    0.56922E+03
    0.40239E+00    0.54477E+03
    0.41052E+00    0.52208E+03
    0.41881E+00    0.50112E+03
    0.42727E+00    0.48131E+03
    0.43590E+00    0.46200E+03
    0.44471E+00    0.44288E+03
    0.45369E+00    0.42401E+03
    0.46286E+00    0.40584E+03
    0.47221E+00    0.38863E+03
    0.48174E+00    0.37245E+03
    0.49148E+00    0.35707E+03
    0.50141E+00    0.34219E+03
    0.51153E+00    0.32769E+03
    0.52187E+00    0.31362E+03
    0.53241E+00    0.30017E+03
    0.54317E+00    0.28740E+03
    0.55414E+00    0.27521E+03
    0.56533E+00    0.26347E+03
    0.57675E+00    0.25213E+03
    0.58840E+00    0.24124E+03
    0.60029E+00    0.23081E+03
    0.61242E+00    0.22083E+03
    0.62479E+00    0.21128E+03
    0.63741E+00    0.20212E+03
    0.65029E+00    0.19334E+03
    0.66342E+00    0.18491E+03
    0.67683E+00    0.17683E+03
    0.69050E+00    0.16909E+03
    0.70445E+00    0.16166E+03
    0.71868E+00    0.15454E+03
    0.73320E+00    0.14773E+03
    0.74801E+00    0.14119E+03
    0.76312E+00    0.13493E+03
    0.77854E+00    0.12894E+03
    0.79426E+00    0.12320E+03
    0.81031E+00    0.11771E+03
    0.82668E+00    0.11245E+03
    0.84338E+00    0.10741E+03
    0.86041E+00    0.10259E+03
    0.87780E+00    0.97982E+02
    0.89553E+00    0.93571E+02
    0.91362E+00    0.89352E+02
    0.93208E+00    0.85315E+02
    0.95091E+00    0.81455E+02
    0.97011E+00    0.77763E+02
    0.98971E+00    0.74232E+02
    0.10097E+01    0.70856E+02
    0.10301E+01    0.67629E+02
    0.10509E+01    0.64543E+02
    0.10721E+01    0.61594E+02
    0.10938E+01    0.58774E+02
    0.11159E+01    0.56080E+02
    0.11384E+01    0.53505E+02
    0.11614E+01    0.51044E+02
    0.11849E+01    0.48694E+02
    0.12088E+01    0.46447E+02
    0.12333E+01    0.44302E+02
    0.12582E+01    0.42252E+02
    0.12836E+01    0.40294E+02
    0.13095E+01    0.38424E+02
    0.13360E+01    0.36638E+02
    0.13630E+01    0.34933E+02
    0.13905E+01    0.33304E+02
    0.14186E+01    0.31749E+02
    0.14472E+01    0.30264E+02
    0.14765E+01    0.28847E+02
    0.15063E+01    0.27494E+02
    0.15367E+01    0.26202E+02
    0.15678E+01    0.24969E+02
    0.15994E+01    0.23792E+02
    0.16318E+01    0.22669E+02
    0.16647E+01    0.21598E+02
    0.16984E+01    0.20575E+02
    0.17327E+01    0.19599E+02
    0.17677E+01    0.18668E+02
    0.18034E+01    0.17780E+02
    0.18398E+01    0.16933E+02
    0.18770E+01    0.16126E+02
    0.19149E+01    0.15356E+02
    0.19536E+01    0.14622E+02
    0.19930E+01    0.13922E+02
    0.20333E+01    0.13256E+02
    0.20744E+01    0.12620E+02
    0.21163E+01    0.12015E+02
    0.21590E+01    0.11439E+02
    0.22026E+01    0.10890E+02
    0.22471E+01    0.10367E+02
    0.22925E+01    0.98688E+01
    0.23388E+01    0.93947E+01
    0.23861E+01    0.89433E+01
