#    L    TT             EE             TE             PP             TP          
     2    0.15231E+04    0.52942E-01    0.40510E+01    0.21132E+07   -0.78963E+05
     3    0.15348E+04    0.85507E-01    0.48872E+01    0.31440E+07   -0.10176E+06
     4    0.14489E+04    0.96626E-01    0.48399E+01    0.39770E+07   -0.11152E+06
     5    0.13455E+04    0.86800E-01    0.43566E+01    0.46552E+07   -0.11398E+06
     6    0.12503E+04    0.65252E-01    0.37089E+01    0.52114E+07   -0.11246E+06
     7    0.11704E+04    0.42326E-01    0.30401E+01    0.56725E+07   -0.10883E+06
     8    0.11058E+04    0.24705E-01    0.24306E+01    0.60577E+07   -0.10420E+06
     9    0.10547E+04    0.14306E-01    0.19210E+01    0.63818E+07   -0.99189E+05
    10    0.10148E+04    0.96971E-02    0.15300E+01    0.66555E+07   -0.94071E+05
    11    0.98391E+03    0.82312E-02    0.12573E+01    0.68891E+07   -0.89000E+05
    12    0.96128E+03    0.77485E-02    0.10929E+01    0.70873E+07   -0.84047E+05
    13    0.94436E+03    0.71012E-02    0.10171E+01    0.72555E+07   -0.79272E+05
    14    0.93154E+03    0.62414E-02    0.10072E+01    0.73990E+07   -0.74733E+05
    15    0.92268E+03    0.54588E-02    0.10430E+01    0.75211E+07   -0.70457E+05
    16    0.91783E+03    0.50256E-02    0.11060E+01    0.76247E+07   -0.66459E+05
    17    0.91651E+03    0.50287E-02    0.11781E+01    0.77123E+07   -0.62726E+05
    18    0.91744E+03    0.52967E-02    0.12454E+01    0.77861E+07   -0.59238E+05
    19    0.92119E+03    0.56597E-02    0.13053E+01    0.78474E+07   -0.55973E+05
    20    0.92590E+03    0.60356E-02    0.13551E+01    0.78973E+07   -0.52910E+05
    21    0.93179E+03    0.64239E-02    0.13966E+01    0.79374E+07   -0.50046E+05
    22    0.93900E+03    0.69284E-02    0.14317E+01    0.79691E+07   -0.47378E+05
    23    0.94725E+03    0.76299E-02    0.14639E+01    0.79933E+07   -0.44891E+05
    24    0.95646E+03    0.85597E-02    0.14965E+01    0.80104E+07   -0.42566E+05
    25    0.96652E+03    0.97453E-02    0.15314E+01    0.80214E+07   -0.40386E+05
    26    0.97722E+03    0.11167E-01    0.15708E+01    0.80270E+07   -0.38334E+05
    27    0.98870E+03    0.12779E-01    0.16142E+01    0.80278E+07   -0.36402E+05
    28    0.10007E+04    0.14564E-01    0.16605E+01    0.80243E+07   -0.34586E+05
    29    0.10133E+04    0.16514E-01    0.17063E+01    0.80165E+07   -0.32876E+05
    30    0.10264E+04    0.18634E-01    0.17468E+01    0.80044E+07   -0.31263E+05
    31    0.10397E+04    0.20931E-01    0.17818E+01    0.79889E+07   -0.29740E+05
    32    0.10536E+04    0.23396E-01    0.18111E+01    0.79705E+07   -0.28300E+05
    33    0.10680E+04    0.26012E-01    0.18306E+01    0.79496E+07   -0.26940E+05
    34    0.10828E+04    0.28779E-01    0.18374E+01    0.79262E+07   -0.25658E+05
    35    0.10979E+04    0.31725E-01    0.18332E+01    0.79005E+07   -0.24458E+05
    36    0.11132E+04    0.34883E-01    0.18194E+01    0.78729E+07   -0.23336E+05
    37    0.11287E+04    0.38251E-01    0.17952E+01    0.78434E+07   -0.22280E+05
    38    0.11446E+04    0.41826E-01    0.17618E+01    0.78123E+07   -0.21272E+05
    39    0.11610E+04    0.45619E-01    0.17199E+01    0.77796E+07   -0.20310E+05
    40    0.11776E+04    0.49647E-01    0.16705E+01    0.77456E+07   -0.19394E+05
    41    0.11944E+04    0.53932E-01    0.16138E+01    0.77102E+07   -0.18523E+05
    42    0.12114E+04    0.58475E-01    0.15485E+01    0.76735E+07   -0.17695E+05
    43    0.12285E+04    0.63276E-01    0.14730E+01    0.76358E+07   -0.16908E+05
    44    0.12456E+04    0.68317E-01    0.13867E+01    0.75971E+07   -0.16162E+05
    45    0.12632E+04    0.73593E-01    0.12889E+01    0.75576E+07   -0.15453E+05
    46    0.12810E+04    0.79103E-01    0.11775E+01    0.75172E+07   -0.14781E+05
    47    0.12990E+04    0.84846E-01    0.10533E+01    0.74763E+07   -0.14143E+05
    48    0.13171E+04    0.90831E-01    0.92086E+00    0.74347E+07   -0.13537E+05
    49    0.13354E+04    0.97045E-01    0.78399E+00    0.73926E+07   -0.12963E+05
    50    0.13540E+04    0.10347E+00    0.63978E+00    0.73500E+07   -0.12417E+05
    51    0.13729E+04    0.11007E+00    0.48384E+00    0.73070E+07   -0.11898E+05
    52    0.13922E+04    0.11694E+00    0.31155E+00    0.72637E+07   -0.11405E+05
    53    0.14115E+04    0.12422E+00    0.12009E+00    0.72201E+07   -0.10936E+05
    54    0.14307E+04    0.13190E+00   -0.85396E-01    0.71763E+07   -0.10489E+05
    55    0.14501E+04    0.13996E+00   -0.29964E+00    0.71322E+07   -0.10063E+05
    56    0.14698E+04    0.14826E+00   -0.52374E+00    0.70879E+07   -0.96559E+04
    57    0.14898E+04    0.15669E+00   -0.75787E+00    0.70434E+07   -0.92658E+04
    58    0.15101E+04    0.16525E+00   -0.10032E+01    0.69988E+07   -0.88907E+04
    59    0.15306E+04    0.17399E+00   -0.12610E+01    0.69541E+07   -0.85287E+04
    60    0.15512E+04    0.18296E+00   -0.15311E+01    0.69092E+07   -0.81778E+04
    61    0.15723E+04    0.19226E+00   -0.18129E+01    0.68643E+07   -0.78365E+04
    62    0.15933E+04    0.20187E+00   -0.21074E+01    0.68193E+07   -0.75061E+04
    63    0.16143E+04    0.21176E+00   -0.24154E+01    0.67742E+07   -0.71884E+04
    64    0.16358E+04    0.22195E+00   -0.27381E+01    0.67292E+07   -0.68855E+04
    65    0.16573E+04    0.23240E+00   -0.30761E+01    0.66843E+07   -0.65991E+04
    66    0.16791E+04    0.24305E+00   -0.34273E+01    0.66395E+07   -0.63305E+04
    67    0.17010E+04    0.25390E+00   -0.37891E+01    0.65948E+07   -0.60782E+04
    68    0.17234E+04    0.26500E+00   -0.41598E+01    0.65503E+07   -0.58400E+04
    69    0.17459E+04    0.27629E+00   -0.45378E+01    0.65059E+07   -0.56138E+04
    70    0.17687E+04    0.28783E+00   -0.49247E+01    0.64617E+07   -0.53973E+04
    71    0.17917E+04    0.29959E+00   -0.53231E+01    0.64177E+07   -0.51887E+04
    72    0.18148E+04    0.31156E+00   -0.57342E+01    0.63739E+07   -0.49868E+04
    73    0.18381E+04    0.32371E+00   -0.61583E+01    0.63302E+07   -0.47908E+04
    74    0.18615E+04    0.33601E+00   -0.65944E+01    0.62867E+07   -0.45998E+04
    75    0.18853E+04    0.34850E+00   -0.70410E+01    0.62434E+07   -0.44129E+04
    76    0.19094E+04    0.36117E+00   -0.74972E+01    0.62002E+07   -0.42296E+04
    77    0.19337E+04    0.37402E+00   -0.79632E+01    0.61572E+07   -0.40504E+04
    78    0.19585E+04    0.38707E+00   -0.84406E+01    0.61144E+07   -0.38765E+04
    79    0.19834E+04    0.40027E+00   -0.89260E+01    0.60718E+07   -0.37087E+04
    80    0.20085E+04    0.41363E+00   -0.94212E+01    0.60294E+07   -0.35481E+04
    81    0.20338E+04    0.42709E+00   -0.99269E+01    0.59873E+07   -0.33953E+04
    82    0.20593E+04    0.44068E+00   -0.10442E+02    0.59454E+07   -0.32502E+04
    83    0.20850E+04    0.45438E+00   -0.10966E+02    0.59037E+07   -0.31123E+04
    84    0.21109E+04    0.46818E+00   -0.11498E+02    0.58623E+07   -0.29812E+04
    85    0.21370E+04    0.48205E+00   -0.12038E+02    0.58212E+07   -0.28565E+04
