#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.15231E+04    0.40510E+01   -0.34583E-02    0.40510E+01    0.52942E-01   -0.73101E-05   -0.34583E-02   -0.73101E-05    0.16979E-07
     3    0.15348E+04    0.48872E+01   -0.26411E-02    0.48872E+01    0.85507E-01   -0.61483E-05   -0.26411E-02   -0.61483E-05    0.99793E-08
     4    0.14489E+04    0.48399E+01   -0.20351E-02    0.48399E+01    0.96626E-01   -0.47762E-05   -0.20351E-02   -0.47762E-05    0.66569E-08
     5    0.13455E+04    0.43566E+01   -0.15974E-02    0.43566E+01    0.86800E-01   -0.34738E-05   -0.15974E-02   -0.34738E-05    0.47875E-08
     6    0.12503E+04    0.37089E+01   -0.12769E-02    0.37089E+01    0.65252E-01   -0.23412E-05   -0.12769E-02   -0.23412E-05    0.36185E-08
     7    0.11704E+04    0.30401E+01   -0.10376E-02    0.30401E+01    0.42326E-01   -0.14171E-05   -0.10376E-02   -0.14171E-05    0.28347E-08
     8    0.11058E+04    0.24306E+01   -0.85567E-03    0.24306E+01    0.24705E-01   -0.70969E-06   -0.85567E-03   -0.70969E-06    0.22814E-08
     9    0.10547E+04    0.19210E+01   -0.71508E-03    0.19210E+01    0.14306E-01   -0.21522E-06   -0.71508E-03   -0.21522E-06    0.18756E-08
    10    0.10148E+04    0.15300E+01   -0.60426E-03    0.15300E+01    0.96971E-02    0.85422E-07   -0.60426E-03    0.85422E-07    0.15686E-08
    11    0.98391E+03    0.12573E+01   -0.51542E-03    0.12573E+01    0.82312E-02    0.23082E-06   -0.51542E-03    0.23082E-06    0.13307E-08
    12    0.96128E+03    0.10929E+01   -0.44300E-03    0.10929E+01    0.77485E-02    0.26903E-06   -0.44300E-03    0.26903E-06    0.11421E-08
    13    0.94436E+03    0.10171E+01   -0.38347E-03    0.10171E+01    0.71012E-02    0.23517E-06   -0.38347E-03    0.23517E-06    0.99058E-09
    14    0.93154E+03    0.10072E+01   -0.33397E-03    0.10072E+01    0.62414E-02    0.15902E-06   -0.33397E-03    0.15902E-06    0.86654E-09
    15    0.92268E+03    0.10430E+01   -0.29257E-03    0.10430E+01    0.54588E-02    0.64194E-07   -0.29257E-03    0.64194E-07    0.76394E-09
