#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.967708E-05   0.192152E+08   0.192152E+08   0.256054E+08   0.256050E+08   0.000000E+00   0.192152E+08   0.192152E+08   0.192232E+08  -0.432146E+00   0.104143E+08   0.104143E+08   0.656351E+01
   0.106888E-04   0.192153E+08   0.192153E+08   0.256022E+08   0.256017E+08   0.000000E+00   0.192153E+08   0.192153E+08   0.192233E+08  -0.432152E+00   0.104143E+08   0.104143E+08   0.724946E+01
   0.118062E-04   0.192154E+08   0.192154E+08   0.255983E+08   0.255977E+08   0.000000E+00   0.192154E+08   0.192154E+08   0.192233E+08  -0.432160E+00   0.104143E+08   0.104143E+08   0.800706E+01
   0.130405E-04   0.192154E+08   0.192154E+08   0.255935E+08   0.255927E+08   0.000000E+00   0.192154E+08   0.192154E+08   0.192234E+08  -0.432170E+00   0.104144E+08   0.104144E+08   0.884375E+01
   0.144038E-04   0.192155E+08   0.192155E+08   0.255877E+08   0.255867E+08   0.000000E+00   0.192155E+08   0.192155E+08   0.192235E+08  -0.432182E+00   0.104145E+08   0.104145E+08   0.976777E+01
   0.159097E-04   0.192157E+08   0.192157E+08   0.255806E+08   0.255794E+08   0.000000E+00   0.192157E+08   0.192157E+08   0.192236E+08  -0.432196E+00   0.104146E+08   0.104145E+08   0.107882E+02
   0.175729E-04   0.192158E+08   0.192158E+08   0.255720E+08   0.255705E+08   0.000000E+00   0.192158E+08   0.192158E+08   0.192237E+08  -0.432214E+00   0.104146E+08   0.104146E+08   0.119151E+02
   0.194101E-04   0.192160E+08   0.192160E+08   0.255614E+08   0.255596E+08   0.000000E+00   0.192160E+08   0.192160E+08   0.192239E+08  -0.432235E+00   0.104148E+08   0.104148E+08   0.131594E+02
   0.214393E-04   0.192162E+08   0.192162E+08   0.255485E+08   0.255464E+08   0.000000E+00   0.192162E+08   0.192162E+08   0.192241E+08  -0.432261E+00   0.104149E+08   0.104149E+08   0.145333E+02
   0.236807E-04   0.192165E+08   0.192164E+08   0.255328E+08   0.255302E+08   0.000000E+00   0.192165E+08   0.192165E+08   0.192244E+08  -0.432293E+00   0.104151E+08   0.104151E+08   0.160503E+02
   0.261563E-04   0.192168E+08   0.192168E+08   0.255137E+08   0.255105E+08   0.000000E+00   0.192168E+08   0.192168E+08   0.192247E+08  -0.432332E+00   0.104153E+08   0.104153E+08   0.177250E+02
   0.288908E-04   0.192172E+08   0.192172E+08   0.254903E+08   0.254864E+08   0.000000E+00   0.192172E+08   0.192172E+08   0.192251E+08  -0.432379E+00   0.104156E+08   0.104156E+08   0.195737E+02
   0.319112E-04   0.192176E+08   0.192176E+08   0.254619E+08   0.254571E+08   0.000000E+00   0.192176E+08   0.192176E+08   0.192255E+08  -0.432436E+00   0.104159E+08   0.104159E+08   0.216141E+02
   0.352474E-04   0.192182E+08   0.192182E+08   0.254272E+08   0.254214E+08   0.000000E+00   0.192182E+08   0.192182E+08   0.192261E+08  -0.432507E+00   0.104163E+08   0.104163E+08   0.238658E+02
   0.389323E-04   0.192189E+08   0.192189E+08   0.253849E+08   0.253779E+08   0.000000E+00   0.192189E+08   0.192189E+08   0.192268E+08  -0.432593E+00   0.104168E+08   0.104168E+08   0.263501E+02
   0.430025E-04   0.192198E+08   0.192198E+08   0.253334E+08   0.253248E+08   0.000000E+00   0.192198E+08   0.192198E+08   0.192276E+08  -0.432697E+00   0.104174E+08   0.104174E+08   0.290905E+02
   0.474981E-04   0.192208E+08   0.192208E+08   0.252708E+08   0.252603E+08   0.000000E+00   0.192208E+08   0.192208E+08   0.192287E+08  -0.432825E+00   0.104181E+08   0.104181E+08   0.321123E+02
   0.524638E-04   0.192221E+08   0.192221E+08   0.251945E+08   0.251817E+08   0.000000E+00   0.192221E+08   0.192221E+08   0.192299E+08  -0.432980E+00   0.104189E+08   0.104189E+08   0.354433E+02
   0.579486E-04   0.192237E+08   0.192236E+08   0.251017E+08   0.250861E+08   0.000000E+00   0.192237E+08   0.192237E+08   0.192315E+08  -0.433170E+00   0.104200E+08   0.104200E+08   0.391135E+02
   0.640068E-04   0.192256E+08   0.192255E+08   0.249889E+08   0.249700E+08   0.000000E+00   0.192256E+08   0.192256E+08   0.192333E+08  -0.433400E+00   0.104213E+08   0.104213E+08   0.431552E+02
   0.706984E-04   0.192279E+08   0.192278E+08   0.248518E+08   0.248288E+08   0.000000E+00   0.192279E+08   0.192279E+08   0.192356E+08  -0.433682E+00   0.104229E+08   0.104229E+08   0.476031E+02
   0.780895E-04   0.192307E+08   0.192307E+08   0.246855E+08   0.246576E+08   0.000000E+00   0.192307E+08   0.192307E+08   0.192384E+08  -0.434024E+00   0.104248E+08   0.104248E+08   0.524941E+02
   0.862534E-04   0.192341E+08   0.192341E+08   0.244838E+08   0.244500E+08   0.000000E+00   0.192341E+08   0.192341E+08   0.192417E+08  -0.434441E+00   0.104271E+08   0.104271E+08   0.578669E+02
   0.952707E-04   0.192383E+08   0.192383E+08   0.242397E+08   0.241988E+08   0.000000E+00   0.192383E+08   0.192383E+08   0.192458E+08  -0.434949E+00   0.104300E+08   0.104299E+08   0.637618E+02
   0.105231E-03   0.192434E+08   0.192433E+08   0.239448E+08   0.238952E+08   0.000000E+00   0.192434E+08   0.192434E+08   0.192508E+08  -0.435566E+00   0.104334E+08   0.104334E+08   0.702201E+02
   0.116232E-03   0.192496E+08   0.192495E+08   0.235891E+08   0.235293E+08   0.000000E+00   0.192496E+08   0.192496E+08   0.192569E+08  -0.436316E+00   0.104376E+08   0.104376E+08   0.772827E+02
   0.128383E-03   0.192571E+08   0.192570E+08   0.231612E+08   0.230893E+08   0.000000E+00   0.192571E+08   0.192571E+08   0.192643E+08  -0.437227E+00   0.104427E+08   0.104427E+08   0.849890E+02
   0.141805E-03   0.192663E+08   0.192661E+08   0.226483E+08   0.225619E+08   0.000000E+00   0.192662E+08   0.192662E+08   0.192733E+08  -0.438331E+00   0.104489E+08   0.104488E+08   0.933748E+02
   0.156630E-03   0.192773E+08   0.192771E+08   0.220358E+08   0.219324E+08   0.000000E+00   0.192773E+08   0.192773E+08   0.192841E+08  -0.439669E+00   0.104564E+08   0.104563E+08   0.102470E+03
   0.173005E-03   0.192907E+08   0.192905E+08   0.213077E+08   0.211845E+08   0.000000E+00   0.192907E+08   0.192907E+08   0.192973E+08  -0.441288E+00   0.104654E+08   0.104654E+08   0.112293E+03
   0.191092E-03   0.193069E+08   0.193067E+08   0.204473E+08   0.203014E+08   0.000000E+00   0.193069E+08   0.193069E+08   0.193132E+08  -0.443243E+00   0.104763E+08   0.104763E+08   0.122848E+03
   0.211069E-03   0.193265E+08   0.193262E+08   0.194380E+08   0.192663E+08   0.000000E+00   0.193264E+08   0.193264E+08   0.193324E+08  -0.445597E+00   0.104895E+08   0.104894E+08   0.134121E+03
   0.233136E-03   0.193500E+08   0.193496E+08   0.182645E+08   0.180640E+08   0.000000E+00   0.193499E+08   0.193499E+08   0.193556E+08  -0.448426E+00   0.105053E+08   0.105052E+08   0.146066E+03
   0.257509E-03   0.193782E+08   0.193778E+08   0.169149E+08   0.166832E+08   0.000000E+00   0.193782E+08   0.193782E+08   0.193834E+08  -0.451812E+00   0.105242E+08   0.105241E+08   0.158602E+03
   0.284430E-03   0.194120E+08   0.194115E+08   0.153841E+08   0.151195E+08   0.000000E+00   0.194119E+08   0.194119E+08   0.194167E+08  -0.455851E+00   0.105467E+08   0.105466E+08   0.171600E+03
   0.314165E-03   0.194522E+08   0.194516E+08   0.136769E+08   0.133795E+08   0.000000E+00   0.194521E+08   0.194521E+08   0.194563E+08  -0.460643E+00   0.105734E+08   0.105732E+08   0.184873E+03
   0.347010E-03   0.194999E+08   0.194991E+08   0.118135E+08   0.114853E+08   0.000000E+00   0.194997E+08   0.194997E+08   0.195034E+08  -0.466297E+00   0.106049E+08   0.106047E+08   0.198165E+03
   0.383288E-03   0.195559E+08   0.195549E+08   0.983358E+07   0.948015E+07   0.000000E+00   0.195557E+08   0.195557E+08   0.195587E+08  -0.472921E+00   0.106417E+08   0.106414E+08   0.211145E+03
   0.423358E-03   0.196213E+08   0.196202E+08   0.780123E+07   0.743186E+07   0.000000E+00   0.196211E+08   0.196211E+08   0.196235E+08  -0.480616E+00   0.106843E+08   0.106840E+08   0.223404E+03
   0.467618E-03   0.196970E+08   0.196957E+08   0.580584E+07   0.543436E+07   0.000000E+00   0.196968E+08   0.196968E+08   0.196985E+08  -0.489466E+00   0.107331E+08   0.107328E+08   0.234461E+03
