#    L    TT             EE             BB             TE          
     2    0.11339E+04    0.55007E-01    0.14392E-05    0.33968E+01
     3    0.10548E+04    0.88401E-01    0.28790E-05    0.42445E+01
     4    0.98155E+03    0.97727E-01    0.47993E-05    0.43492E+01
     5    0.92515E+03    0.85200E-01    0.72010E-05    0.40163E+01
     6    0.88414E+03    0.61846E-01    0.10085E-04    0.34809E+01
     7    0.85555E+03    0.38724E-01    0.13451E-04    0.28914E+01
     8    0.83615E+03    0.22124E-01    0.17302E-04    0.23376E+01
     9    0.82378E+03    0.13082E-01    0.21638E-04    0.18649E+01
    10    0.81688E+03    0.94482E-02    0.26460E-04    0.14976E+01
    11    0.81385E+03    0.83431E-02    0.31771E-04    0.12434E+01
    12    0.81480E+03    0.77933E-02    0.37571E-04    0.11000E+01
    13    0.81795E+03    0.69601E-02    0.43861E-04    0.10430E+01
    14    0.82234E+03    0.60524E-02    0.50645E-04    0.10435E+01
    15    0.82824E+03    0.53630E-02    0.57922E-04    0.10826E+01
    16    0.83600E+03    0.50972E-02    0.65696E-04    0.11444E+01
    17    0.84554E+03    0.52488E-02    0.73967E-04    0.12144E+01
    18    0.85591E+03    0.55742E-02    0.82739E-04    0.12810E+01
    19    0.86792E+03    0.59404E-02    0.92011E-04    0.13388E+01
    20    0.87991E+03    0.63257E-02    0.10179E-03    0.13827E+01
    21    0.89221E+03    0.67757E-02    0.11207E-03    0.14188E+01
    22    0.90509E+03    0.74226E-02    0.12285E-03    0.14535E+01
    23    0.91836E+03    0.83202E-02    0.13415E-03    0.14885E+01
    24    0.93208E+03    0.94635E-02    0.14596E-03    0.15246E+01
    25    0.94618E+03    0.10863E-01    0.15827E-03    0.15636E+01
    26    0.96049E+03    0.12486E-01    0.17110E-03    0.16078E+01
    27    0.97522E+03    0.14291E-01    0.18445E-03    0.16543E+01
    28    0.99024E+03    0.16262E-01    0.19831E-03    0.17006E+01
    29    0.10056E+04    0.18409E-01    0.21268E-03    0.17445E+01
    30    0.10212E+04    0.20749E-01    0.22757E-03    0.17828E+01
    31    0.10369E+04    0.23267E-01    0.24299E-03    0.18134E+01
    32    0.10530E+04    0.25937E-01    0.25892E-03    0.18340E+01
    33    0.10695E+04    0.28770E-01    0.27537E-03    0.18418E+01
    34    0.10861E+04    0.31793E-01    0.29233E-03    0.18359E+01
    35    0.11029E+04    0.35030E-01    0.30983E-03    0.18205E+01
    36    0.11199E+04    0.38505E-01    0.32784E-03    0.17988E+01
    37    0.11369E+04    0.42207E-01    0.34637E-03    0.17669E+01
    38    0.11543E+04    0.46133E-01    0.36542E-03    0.17227E+01
    39    0.11721E+04    0.50294E-01    0.38499E-03    0.16681E+01
    40    0.11901E+04    0.54711E-01    0.40508E-03    0.16060E+01
    41    0.12083E+04    0.59405E-01    0.42569E-03    0.15381E+01
    42    0.12264E+04    0.64379E-01    0.44682E-03    0.14625E+01
    43    0.12448E+04    0.69626E-01    0.46847E-03    0.13765E+01
    44    0.12631E+04    0.75129E-01    0.49063E-03    0.12781E+01
    45    0.12817E+04    0.80879E-01    0.51332E-03    0.11657E+01
    46    0.13007E+04    0.86872E-01    0.53651E-03    0.10360E+01
    47    0.13198E+04    0.93111E-01    0.56022E-03    0.89095E+00
    48    0.13390E+04    0.99608E-01    0.58445E-03    0.73606E+00
    49    0.13584E+04    0.10635E+00    0.60919E-03    0.57638E+00
    50    0.13781E+04    0.11332E+00    0.63443E-03    0.41014E+00
    51    0.13981E+04    0.12050E+00    0.66019E-03    0.23376E+00
    52    0.14184E+04    0.12796E+00    0.68646E-03    0.42056E-01
    53    0.14387E+04    0.13585E+00    0.71324E-03   -0.16873E+00
    54    0.14589E+04    0.14416E+00    0.74052E-03   -0.39436E+00
    55    0.14793E+04    0.15286E+00    0.76831E-03   -0.63051E+00
    56    0.15001E+04    0.16181E+00    0.79661E-03   -0.87893E+00
    57    0.15211E+04    0.17088E+00    0.82541E-03   -0.11395E+01
    58    0.15424E+04    0.18011E+00    0.85471E-03   -0.14128E+01
    59    0.15639E+04    0.18953E+00    0.88452E-03   -0.16994E+01
    60    0.15856E+04    0.19919E+00    0.91482E-03   -0.19986E+01
    61    0.16077E+04    0.20920E+00    0.94564E-03   -0.23095E+01
    62    0.16297E+04    0.21954E+00    0.97695E-03   -0.26330E+01
    63    0.16518E+04    0.23016E+00    0.10088E-02   -0.29701E+01
    64    0.16743E+04    0.24107E+00    0.10411E-02   -0.33222E+01
    65    0.16968E+04    0.25226E+00    0.10739E-02   -0.36899E+01
    66    0.17197E+04    0.26364E+00    0.11072E-02   -0.40715E+01
    67    0.17427E+04    0.27522E+00    0.11410E-02   -0.44641E+01
    68    0.17662E+04    0.28705E+00    0.11754E-02   -0.48658E+01
    69    0.17898E+04    0.29908E+00    0.12102E-02   -0.52750E+01
    70    0.18137E+04    0.31135E+00    0.12455E-02   -0.56930E+01
    71    0.18378E+04    0.32386E+00    0.12814E-02   -0.61222E+01
    72    0.18621E+04    0.33657E+00    0.13177E-02   -0.65641E+01
    73    0.18865E+04    0.34945E+00    0.13546E-02   -0.70194E+01
    74    0.19111E+04    0.36249E+00    0.13919E-02   -0.74871E+01
    75    0.19360E+04    0.37571E+00    0.14298E-02   -0.79660E+01
    76    0.19612E+04    0.38909E+00    0.14682E-02   -0.84555E+01
    77    0.19867E+04    0.40265E+00    0.15071E-02   -0.89554E+01
    78    0.20126E+04    0.41639E+00    0.15466E-02   -0.94671E+01
    79    0.20386E+04    0.43027E+00    0.15865E-02   -0.99868E+01
    80    0.20650E+04    0.44429E+00    0.16270E-02   -0.10516E+02
    81    0.20915E+04    0.45839E+00    0.16680E-02   -0.11055E+02
    82    0.21182E+04    0.47261E+00    0.17095E-02   -0.11603E+02
    83    0.21452E+04    0.48691E+00    0.17515E-02   -0.12159E+02
    84    0.21724E+04    0.50130E+00    0.17941E-02   -0.12722E+02
    85    0.21997E+04    0.51575E+00    0.18373E-02   -0.13293E+02
    86    0.22272E+04    0.53026E+00    0.18809E-02   -0.13869E+02
    87    0.22552E+04    0.54482E+00    0.19251E-02   -0.14452E+02
    88    0.22831E+04    0.55943E+00    0.19699E-02   -0.15040E+02
    89    0.23114E+04    0.57408E+00    0.20152E-02   -0.15636E+02
    90    0.23399E+04    0.58873E+00    0.20610E-02   -0.16236E+02
    91    0.23685E+04    0.60338E+00    0.21074E-02   -0.16842E+02
    92    0.23974E+04    0.61801E+00    0.21544E-02   -0.17452E+02
    93    0.24266E+04    0.63262E+00    0.22019E-02   -0.18067E+02
    94    0.24558E+04    0.64717E+00    0.22499E-02   -0.18685E+02
    95    0.24853E+04    0.66166E+00    0.22986E-02   -0.19307E+02
    96    0.25149E+04    0.67607E+00    0.23478E-02   -0.19933E+02
    97    0.25448E+04    0.69040E+00    0.23976E-02   -0.20561E+02
    98    0.25750E+04    0.70463E+00    0.24480E-02   -0.21190E+02
    99    0.26052E+04    0.71873E+00    0.24989E-02   -0.21822E+02
   100    0.26357E+04    0.73270E+00    0.25504E-02   -0.22453E+02
   101    0.26664E+04    0.74660E+00    0.26025E-02   -0.23086E+02
   102    0.26976E+04    0.76029E+00    0.26552E-02   -0.23719E+02
   103    0.27286E+04    0.77383E+00    0.27085E-02   -0.24352E+02
   104    0.27599E+04    0.78723E+00    0.27624E-02   -0.24984E+02
   105    0.27914E+04    0.80041E+00    0.28169E-02   -0.25614E+02
   106    0.28231E+04    0.81346E+00    0.28720E-02   -0.26243E+02
   107    0.28547E+04    0.82621E+00    0.29277E-02   -0.26869E+02
   108    0.28866E+04    0.83876E+00    0.29839E-02   -0.27493E+02
   109    0.29187E+04    0.85102E+00    0.30409E-02   -0.28113E+02
   110    0.29509E+04    0.86299E+00    0.30984E-02   -0.28729E+02
   111    0.29832E+04    0.87475E+00    0.31565E-02   -0.29340E+02
   112    0.30157E+04    0.88623E+00    0.32153E-02   -0.29948E+02
   113    0.30484E+04    0.89743E+00    0.32747E-02   -0.30549E+02
   114    0.30812E+04    0.90827E+00    0.33347E-02   -0.31145E+02
   115    0.31141E+04    0.91890E+00    0.33953E-02   -0.31733E+02
   116    0.31471E+04    0.92909E+00    0.34566E-02   -0.32314E+02
   117    0.31804E+04    0.93894E+00    0.35186E-02   -0.32887E+02
   118    0.32138E+04    0.94857E+00    0.35812E-02   -0.33453E+02
   119    0.32472E+04    0.95785E+00    0.36444E-02   -0.34009E+02
   120    0.32807E+04    0.96663E+00    0.37083E-02   -0.34556E+02
   121    0.33142E+04    0.97520E+00    0.37728E-02   -0.35092E+02
   122    0.33478E+04    0.98326E+00    0.38380E-02   -0.35619E+02
   123    0.33814E+04    0.99090E+00    0.39039E-02   -0.36135E+02
   124    0.34151E+04    0.99818E+00    0.39705E-02   -0.36637E+02
   125    0.34488E+04    0.10050E+01    0.40377E-02   -0.37128E+02
   126    0.34825E+04    0.10115E+01    0.41056E-02   -0.37608E+02
   127    0.35162E+04    0.10175E+01    0.41742E-02   -0.38074E+02
   128    0.35499E+04    0.10232E+01    0.42435E-02   -0.38527E+02
   129    0.35836E+04    0.10283E+01    0.43136E-02   -0.38966E+02
   130    0.36173E+04    0.10330E+01    0.43843E-02   -0.39390E+02
