#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11339E+04    0.33968E+01    0.14113E-02    0.33968E+01    0.55005E-01   -0.66934E-05    0.14113E-02   -0.66934E-05    0.81599E-08
     3    0.10548E+04    0.42445E+01    0.99267E-03    0.42445E+01    0.88399E-01   -0.57403E-05    0.99267E-03   -0.57403E-05    0.49654E-08
     4    0.98154E+03    0.43492E+01    0.74883E-03    0.43492E+01    0.97723E-01   -0.44307E-05    0.74883E-03   -0.44307E-05    0.34326E-08
     5    0.92514E+03    0.40163E+01    0.59010E-03    0.40163E+01    0.85193E-01   -0.31471E-05    0.59010E-03   -0.31471E-05    0.25504E-08
     6    0.88412E+03    0.34809E+01    0.47941E-03    0.34809E+01    0.61836E-01   -0.20228E-05    0.47941E-03   -0.20228E-05    0.19848E-08
     7    0.85552E+03    0.28914E+01    0.39865E-03    0.28914E+01    0.38710E-01   -0.11146E-05    0.39865E-03   -0.11146E-05    0.15961E-08
     8    0.83611E+03    0.23376E+01    0.33724E-03    0.23376E+01    0.22106E-01   -0.44249E-06    0.33724E-03   -0.44249E-06    0.13154E-08
     9    0.82374E+03    0.18649E+01    0.28898E-03    0.18649E+01    0.13061E-01    0.10589E-08    0.28898E-03    0.10589E-08    0.11049E-08
    10    0.81683E+03    0.14976E+01    0.25028E-03    0.14976E+01    0.94218E-02    0.24930E-06    0.25028E-03    0.24930E-06    0.94223E-09
    11    0.81379E+03    0.12435E+01    0.21909E-03    0.12435E+01    0.83113E-02    0.35016E-06    0.21909E-03    0.35016E-06    0.81380E-09
    12    0.81473E+03    0.11000E+01    0.19368E-03    0.11000E+01    0.77557E-02    0.34843E-06    0.19368E-03    0.34843E-06    0.71007E-09
    13    0.81786E+03    0.10430E+01    0.17275E-03    0.10430E+01    0.69162E-02    0.27817E-06    0.17275E-03    0.27817E-06    0.62523E-09
    14    0.82224E+03    0.10436E+01    0.15517E-03    0.10436E+01    0.60018E-02    0.17104E-06    0.15517E-03    0.17104E-06    0.55466E-09
    15    0.82812E+03    0.10826E+01    0.14014E-03    0.10826E+01    0.53051E-02    0.58954E-07    0.14014E-03    0.58954E-07    0.49538E-09
    16    0.83587E+03    0.11445E+01    0.12706E-03    0.11445E+01    0.50315E-02   -0.30916E-07    0.12706E-03   -0.30916E-07    0.44500E-09
    17    0.84540E+03    0.12145E+01    0.11566E-03    0.12145E+01    0.51749E-02   -0.90808E-07    0.11566E-03   -0.90808E-07    0.40186E-09
    18    0.85575E+03    0.12811E+01    0.10575E-03    0.12811E+01    0.54915E-02   -0.12003E-06    0.10575E-03   -0.12003E-06    0.36459E-09
    19    0.86775E+03    0.13389E+01    0.97069E-04    0.13389E+01    0.58484E-02   -0.12680E-06    0.97069E-04   -0.12680E-06    0.33217E-09
    20    0.87971E+03    0.13828E+01    0.89376E-04    0.13828E+01    0.62240E-02   -0.11988E-06    0.89376E-04   -0.11988E-06    0.30374E-09
    21    0.89200E+03    0.14190E+01    0.82511E-04    0.14190E+01    0.66637E-02   -0.10131E-06    0.82511E-04   -0.10131E-06    0.27870E-09
