#    L    TT             EE             BB             TE          
     2    0.70808E+03    0.52454E-01    0.16162E-05    0.33085E+01
     3    0.80235E+03    0.85378E-01    0.32331E-05    0.46500E+01
     4    0.82637E+03    0.96622E-01    0.53898E-05    0.48147E+01
     5    0.82371E+03    0.86830E-01    0.80873E-05    0.43815E+01
     6    0.81361E+03    0.65283E-01    0.11327E-04    0.37281E+01
     7    0.80384E+03    0.42353E-01    0.15109E-04    0.30456E+01
     8    0.79680E+03    0.24729E-01    0.19436E-04    0.24288E+01
     9    0.79295E+03    0.14329E-01    0.24308E-04    0.19157E+01
    10    0.79193E+03    0.97214E-02    0.29728E-04    0.15216E+01
    11    0.79310E+03    0.82586E-02    0.35698E-04    0.12477E+01
    12    0.79708E+03    0.77816E-02    0.42218E-04    0.10852E+01
    13    0.80234E+03    0.71427E-02    0.49293E-04    0.10127E+01
    14    0.80813E+03    0.62940E-02    0.56922E-04    0.10051E+01
    15    0.81499E+03    0.55244E-02    0.65110E-04    0.10426E+01
    16    0.82350E+03    0.51051E-02    0.73857E-04    0.11072E+01
    17    0.83361E+03    0.51217E-02    0.83167E-04    0.11800E+01
    18    0.84436E+03    0.54021E-02    0.93041E-04    0.12466E+01
    19    0.85657E+03    0.57772E-02    0.10348E-03    0.13056E+01
    20    0.86856E+03    0.61660E-02    0.11449E-03    0.13559E+01
    21    0.88075E+03    0.65687E-02    0.12607E-03    0.13986E+01
    22    0.89349E+03    0.70894E-02    0.13823E-03    0.14349E+01
    23    0.90657E+03    0.78079E-02    0.15096E-03    0.14674E+01
    24    0.92004E+03    0.87549E-02    0.16426E-03    0.14992E+01
    25    0.93386E+03    0.99592E-02    0.17815E-03    0.15332E+01
    26    0.94784E+03    0.11402E-01    0.19262E-03    0.15729E+01
    27    0.96221E+03    0.13036E-01    0.20767E-03    0.16171E+01
    28    0.97682E+03    0.14843E-01    0.22330E-03    0.16641E+01
    29    0.99171E+03    0.16816E-01    0.23952E-03    0.17101E+01
    30    0.10068E+04    0.18962E-01    0.25632E-03    0.17504E+01
    31    0.10220E+04    0.21286E-01    0.27371E-03    0.17851E+01
    32    0.10375E+04    0.23777E-01    0.29169E-03    0.18142E+01
    33    0.10534E+04    0.26421E-01    0.31026E-03    0.18337E+01
    34    0.10695E+04    0.29217E-01    0.32942E-03    0.18406E+01
    35    0.10857E+04    0.32195E-01    0.34916E-03    0.18364E+01
    36    0.11021E+04    0.35386E-01    0.36949E-03    0.18228E+01
    37    0.11185E+04    0.38788E-01    0.39042E-03    0.17986E+01
    38    0.11353E+04    0.42397E-01    0.41193E-03    0.17648E+01
    39    0.11525E+04    0.46224E-01    0.43403E-03    0.17225E+01
    40    0.11697E+04    0.50289E-01    0.45671E-03    0.16727E+01
    41    0.11872E+04    0.54613E-01    0.47998E-03    0.16158E+01
    42    0.12047E+04    0.59197E-01    0.50384E-03    0.15505E+01
    43    0.12224E+04    0.64040E-01    0.52828E-03    0.14752E+01
    44    0.12400E+04    0.69126E-01    0.55330E-03    0.13889E+01
    45    0.12579E+04    0.74447E-01    0.57891E-03    0.12910E+01
    46    0.12762E+04    0.80001E-01    0.60509E-03    0.11791E+01
    47    0.12945E+04    0.85789E-01    0.63185E-03    0.10542E+01
    48    0.13129E+04    0.91821E-01    0.65920E-03    0.92101E+00
    49    0.13315E+04    0.98082E-01    0.68711E-03    0.78340E+00
    50    0.13504E+04    0.10455E+00    0.71560E-03    0.63862E+00
    51    0.13696E+04    0.11121E+00    0.74466E-03    0.48236E+00
    52    0.13891E+04    0.11813E+00    0.77430E-03    0.30995E+00
    53    0.14086E+04    0.12546E+00    0.80450E-03    0.11845E+00
    54    0.14280E+04    0.13320E+00    0.83527E-03   -0.87089E-01
    55    0.14475E+04    0.14132E+00    0.86661E-03   -0.30151E+00
    56    0.14674E+04    0.14968E+00    0.89852E-03   -0.52599E+00
    57    0.14875E+04    0.15816E+00    0.93099E-03   -0.76067E+00
    58    0.15080E+04    0.16678E+00    0.96402E-03   -0.10067E+01
    59    0.15285E+04    0.17557E+00    0.99762E-03   -0.12652E+01
    60    0.15493E+04    0.18461E+00    0.10318E-02   -0.15359E+01
    61    0.15704E+04    0.19397E+00    0.10665E-02   -0.18182E+01
    62    0.15915E+04    0.20364E+00    0.11018E-02   -0.21132E+01
    63    0.16126E+04    0.21360E+00    0.11376E-02   -0.24218E+01
    64    0.16342E+04    0.22384E+00    0.11740E-02   -0.27450E+01
    65    0.16557E+04    0.23436E+00    0.12110E-02   -0.30834E+01
    66    0.16776E+04    0.24507E+00    0.12485E-02   -0.34352E+01
    67    0.16996E+04    0.25599E+00    0.12866E-02   -0.37976E+01
    68    0.17220E+04    0.26715E+00    0.13253E-02   -0.41689E+01
    69    0.17446E+04    0.27851E+00    0.13645E-02   -0.45475E+01
    70    0.17674E+04    0.29011E+00    0.14043E-02   -0.49350E+01
    71    0.17904E+04    0.30194E+00    0.14446E-02   -0.53339E+01
    72    0.18136E+04    0.31398E+00    0.14856E-02   -0.57453E+01
    73    0.18369E+04    0.32619E+00    0.15271E-02   -0.61698E+01
    74    0.18604E+04    0.33856E+00    0.15691E-02   -0.66063E+01
    75    0.18842E+04    0.35111E+00    0.16118E-02   -0.70533E+01
    76    0.19083E+04    0.36385E+00    0.16550E-02   -0.75099E+01
    77    0.19327E+04    0.37676E+00    0.16988E-02   -0.79763E+01
