#    L    TT             EE             BB             TE          
     2    0.15269E+04    0.52952E-01    0.15964E-05    0.40728E+01
     3    0.15377E+04    0.85523E-01    0.31935E-05    0.49069E+01
     4    0.14511E+04    0.96645E-01    0.53239E-05    0.48537E+01
     5    0.13472E+04    0.86820E-01    0.79886E-05    0.43650E+01
     6    0.12516E+04    0.65272E-01    0.11189E-04    0.37135E+01
     7    0.11715E+04    0.42348E-01    0.14925E-04    0.30426E+01
     8    0.11068E+04    0.24728E-01    0.19200E-04    0.24321E+01
     9    0.10555E+04    0.14331E-01    0.24014E-04    0.19223E+01
    10    0.10155E+04    0.97248E-02    0.29369E-04    0.15313E+01
    11    0.98458E+03    0.82621E-02    0.35268E-04    0.12584E+01
    12    0.96191E+03    0.77846E-02    0.41712E-04    0.10937E+01
    13    0.94495E+03    0.71450E-02    0.48703E-04    0.10178E+01
    14    0.93209E+03    0.62954E-02    0.56244E-04    0.10081E+01
    15    0.92321E+03    0.55246E-02    0.64336E-04    0.10443E+01
    16    0.91832E+03    0.51039E-02    0.72983E-04    0.11074E+01
    17    0.91699E+03    0.51197E-02    0.82186E-04    0.11795E+01
    18    0.91789E+03    0.54003E-02    0.91948E-04    0.12470E+01
    19    0.92162E+03    0.57760E-02    0.10227E-03    0.13071E+01
    20    0.92631E+03    0.61649E-02    0.11316E-03    0.13571E+01
    21    0.93218E+03    0.65671E-02    0.12461E-03    0.13989E+01
    22    0.93939E+03    0.70873E-02    0.13663E-03    0.14342E+01
    23    0.94762E+03    0.78057E-02    0.14922E-03    0.14665E+01
    24    0.95682E+03    0.87529E-02    0.16238E-03    0.14992E+01
    25    0.96687E+03    0.99574E-02    0.17612E-03    0.15342E+01
    26    0.97756E+03    0.11400E-01    0.19043E-03    0.15739E+01
    27    0.98902E+03    0.13034E-01    0.20532E-03    0.16175E+01
    28    0.10010E+04    0.14840E-01    0.22079E-03    0.16638E+01
    29    0.10136E+04    0.16812E-01    0.23684E-03    0.17096E+01
    30    0.10267E+04    0.18958E-01    0.25347E-03    0.17502E+01
    31    0.10400E+04    0.21282E-01    0.27068E-03    0.17853E+01
    32    0.10539E+04    0.23773E-01    0.28847E-03    0.18147E+01
    33    0.10683E+04    0.26416E-01    0.30684E-03    0.18341E+01
    34    0.10831E+04    0.29212E-01    0.32580E-03    0.18407E+01
    35    0.10981E+04    0.32189E-01    0.34535E-03    0.18363E+01
    36    0.11134E+04    0.35380E-01    0.36547E-03    0.18226E+01
    37    0.11289E+04    0.38781E-01    0.38618E-03    0.17985E+01
    38    0.11448E+04    0.42390E-01    0.40747E-03    0.17649E+01
    39    0.11612E+04    0.46217E-01    0.42934E-03    0.17227E+01
    40    0.11777E+04    0.50282E-01    0.45180E-03    0.16730E+01
    41    0.11946E+04    0.54605E-01    0.47483E-03    0.16160E+01
    42    0.12115E+04    0.59188E-01    0.49844E-03    0.15507E+01
    43    0.12286E+04    0.64031E-01    0.52264E-03    0.14752E+01
    44    0.12458E+04    0.69116E-01    0.54740E-03    0.13889E+01
    45    0.12633E+04    0.74436E-01    0.57274E-03    0.12909E+01
