#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.15269E+04    0.52950E-01    0.00000E+00    0.40728E+01    0.10202E-06   -0.84899E-02   -0.17909E-04
     3    0.15377E+04    0.85520E-01    0.00000E+00    0.49069E+01    0.11995E-06   -0.91677E-02   -0.21302E-04
     4    0.14511E+04    0.96640E-01    0.00000E+00    0.48537E+01    0.13337E-06   -0.91194E-02   -0.21363E-04
     5    0.13472E+04    0.86812E-01    0.00000E+00    0.43650E+01    0.14389E-06   -0.87666E-02   -0.19032E-04
     6    0.12516E+04    0.65261E-01    0.00000E+00    0.37135E+01    0.15227E-06   -0.82919E-02   -0.15178E-04
     7    0.11715E+04    0.42333E-01    0.00000E+00    0.30426E+01    0.15906E-06   -0.77807E-02   -0.10607E-04
     8    0.11067E+04    0.24709E-01    0.00000E+00    0.24321E+01    0.16461E-06   -0.72764E-02   -0.60230E-05
     9    0.10555E+04    0.14307E-01    0.00000E+00    0.19223E+01    0.16917E-06   -0.67993E-02   -0.20469E-05
    10    0.10155E+04    0.96954E-02    0.00000E+00    0.15314E+01    0.17293E-06   -0.63529E-02    0.88485E-06
    11    0.98451E+03    0.82268E-02    0.00000E+00    0.12584E+01    0.17606E-06   -0.59369E-02    0.26413E-05
    12    0.96183E+03    0.77429E-02    0.00000E+00    0.10937E+01    0.17863E-06   -0.55489E-02    0.33476E-05
    13    0.94485E+03    0.70963E-02    0.00000E+00    0.10178E+01    0.18072E-06   -0.51878E-02    0.31718E-05
    14    0.93198E+03    0.62392E-02    0.00000E+00    0.10081E+01    0.18243E-06   -0.48537E-02    0.22941E-05
    15    0.92307E+03    0.54603E-02    0.00000E+00    0.10443E+01    0.18380E-06   -0.45459E-02    0.97784E-06
    16    0.91818E+03    0.50310E-02    0.00000E+00    0.11075E+01    0.18489E-06   -0.42633E-02   -0.48505E-06
    17    0.91682E+03    0.50375E-02    0.00000E+00    0.11796E+01    0.18573E-06   -0.40034E-02   -0.17534E-05
    18    0.91770E+03    0.53084E-02    0.00000E+00    0.12471E+01    0.18636E-06   -0.37637E-02   -0.25566E-05
    19    0.92141E+03    0.56738E-02    0.00000E+00    0.13072E+01    0.18680E-06   -0.35418E-02   -0.29388E-05
    20    0.92609E+03    0.60518E-02    0.00000E+00    0.13573E+01    0.18705E-06   -0.33357E-02   -0.30099E-05
    21    0.93193E+03    0.64426E-02    0.00000E+00    0.13991E+01    0.18716E-06   -0.31446E-02   -0.28371E-05
    22    0.93912E+03    0.69508E-02    0.00000E+00    0.14345E+01    0.18714E-06   -0.29681E-02   -0.24721E-05
    23    0.94733E+03    0.76566E-02    0.00000E+00    0.14668E+01    0.18700E-06   -0.28046E-02   -0.19498E-05
    24    0.95650E+03    0.85907E-02    0.00000E+00    0.14995E+01    0.18676E-06   -0.26526E-02   -0.13303E-05
    25    0.96654E+03    0.97815E-02    0.00000E+00    0.15345E+01    0.18643E-06   -0.25109E-02   -0.79088E-06
    26    0.97719E+03    0.11209E-01    0.00000E+00    0.15743E+01    0.18601E-06   -0.23782E-02   -0.49510E-06
    27    0.98863E+03    0.12829E-01    0.00000E+00    0.16179E+01    0.18553E-06   -0.22539E-02   -0.44046E-06
    28    0.10006E+04    0.14619E-01    0.00000E+00    0.16643E+01    0.18498E-06   -0.21376E-02   -0.56874E-06
    29    0.10132E+04    0.16576E-01    0.00000E+00    0.17101E+01    0.18436E-06   -0.20285E-02   -0.76335E-06
    30    0.10262E+04    0.18705E-01    0.00000E+00    0.17508E+01    0.18368E-06   -0.19259E-02   -0.92300E-06
    31    0.10395E+04    0.21012E-01    0.00000E+00    0.17861E+01    0.18295E-06   -0.18293E-02   -0.10632E-05
    32    0.10533E+04    0.23485E-01    0.00000E+00    0.18155E+01    0.18218E-06   -0.17383E-02   -0.12190E-05
    33    0.10678E+04    0.26110E-01    0.00000E+00    0.18350E+01    0.18137E-06   -0.16526E-02   -0.13877E-05
