#           k/h    P           
    0.10000E-03    0.47923E+03
    0.10202E-03    0.48857E+03
    0.10408E-03    0.49810E+03
    0.10618E-03    0.50781E+03
    0.10833E-03    0.51772E+03
    0.11052E-03    0.52782E+03
    0.11275E-03    0.53813E+03
    0.11503E-03    0.54863E+03
    0.11735E-03    0.55935E+03
    0.11972E-03    0.57027E+03
    0.12214E-03    0.58142E+03
    0.12461E-03    0.59279E+03
    0.12712E-03    0.60438E+03
    0.12969E-03    0.61620E+03
    0.13231E-03    0.62826E+03
    0.13499E-03    0.64056E+03
    0.13771E-03    0.65310E+03
    0.14049E-03    0.66590E+03
    0.14333E-03    0.67895E+03
    0.14623E-03    0.69226E+03
    0.14918E-03    0.70584E+03
    0.15220E-03    0.71969E+03
    0.15527E-03    0.73382E+03
    0.15841E-03    0.74824E+03
    0.16161E-03    0.76295E+03
    0.16487E-03    0.77795E+03
    0.16820E-03    0.79326E+03
    0.17160E-03    0.80888E+03
    0.17507E-03    0.82481E+03
    0.17860E-03    0.84107E+03
    0.18221E-03    0.85766E+03
    0.18589E-03    0.87459E+03
    0.18965E-03    0.89186E+03
    0.19348E-03    0.90949E+03
    0.19739E-03    0.92748E+03
    0.20138E-03    0.94584E+03
    0.20544E-03    0.96457E+03
    0.20959E-03    0.98370E+03
    0.21383E-03    0.10032E+04
    0.21815E-03    0.10231E+04
    0.22255E-03    0.10435E+04
    0.22705E-03    0.10642E+04
    0.23164E-03    0.10854E+04
    0.23632E-03    0.11071E+04
    0.24109E-03    0.11292E+04
    0.24596E-03    0.11517E+04
    0.25093E-03    0.11748E+04
    0.25600E-03    0.11983E+04
    0.26117E-03    0.12223E+04
    0.26645E-03    0.12468E+04
    0.27183E-03    0.12719E+04
    0.27732E-03    0.12975E+04
    0.28292E-03    0.13236E+04
    0.28864E-03    0.13503E+04
    0.29447E-03    0.13776E+04
    0.30042E-03    0.14054E+04
    0.30649E-03    0.14339E+04
    0.31268E-03    0.14630E+04
    0.31899E-03    0.14927E+04
    0.32544E-03    0.15231E+04
    0.33201E-03    0.15541E+04
    0.33872E-03    0.15858E+04
    0.34556E-03    0.16183E+04
    0.35254E-03    0.16514E+04
    0.35966E-03    0.16853E+04
    0.36693E-03    0.17199E+04
    0.37434E-03    0.17554E+04
    0.38190E-03    0.17916E+04
    0.38962E-03    0.18286E+04
    0.39749E-03    0.18665E+04
    0.40552E-03    0.19052E+04
    0.41371E-03    0.19448E+04
    0.42207E-03    0.19853E+04
    0.43060E-03    0.20268E+04
    0.43929E-03    0.20692E+04
    0.44817E-03    0.21125E+04
    0.45722E-03    0.21569E+04
    0.46646E-03    0.22023E+04
    0.47588E-03    0.22488E+04
    0.48550E-03    0.22963E+04
    0.49530E-03    0.23449E+04
    0.50531E-03    0.23947E+04
    0.51552E-03    0.24456E+04
    0.52593E-03    0.24978E+04
    0.53656E-03    0.25511E+04
    0.54739E-03    0.26057E+04
    0.55845E-03    0.26616E+04
    0.56973E-03    0.27188E+04
    0.58124E-03    0.27773E+04
    0.59299E-03    0.28373E+04
    0.60496E-03    0.28986E+04
    0.61719E-03    0.29614E+04
    0.62965E-03    0.30256E+04
    0.64237E-03    0.30914E+04
    0.65535E-03    0.31587E+04
    0.66859E-03    0.32275E+04
    0.68210E-03    0.32980E+04
    0.69588E-03    0.33701E+04
    0.70993E-03    0.34439E+04
    0.72427E-03    0.35193E+04
    0.73891E-03    0.35966E+04
    0.75383E-03    0.36755E+04
    0.76906E-03    0.37563E+04
    0.78460E-03    0.38389E+04
    0.80045E-03    0.39234E+04
    0.81662E-03    0.40098E+04
    0.83311E-03    0.40980E+04
    0.84994E-03    0.41883E+04
    0.86711E-03    0.42805E+04
    0.88463E-03    0.43747E+04
    0.90250E-03    0.44709E+04
    0.92073E-03    0.45692E+04
    0.93933E-03    0.46695E+04
    0.95831E-03    0.47720E+04
    0.97767E-03    0.48766E+04
    0.99742E-03    0.49833E+04
    0.10176E-02    0.50922E+04
    0.10381E-02    0.52033E+04
    0.10591E-02    0.53166E+04
    0.10805E-02    0.54321E+04
    0.11023E-02    0.55499E+04
    0.11246E-02    0.56699E+04
    0.11473E-02    0.57922E+04
    0.11705E-02    0.59168E+04
    0.11941E-02    0.60437E+04
    0.12182E-02    0.61729E+04
    0.12429E-02    0.63045E+04
    0.12680E-02    0.64385E+04
    0.12936E-02    0.65748E+04
    0.13197E-02    0.67135E+04
    0.13464E-02    0.68546E+04
    0.13736E-02    0.69981E+04
    0.14013E-02    0.71441E+04
    0.14296E-02    0.72926E+04
    0.14585E-02    0.74435E+04
    0.14880E-02    0.75970E+04
    0.15180E-02    0.77529E+04
    0.15487E-02    0.79115E+04
    0.15800E-02    0.80725E+04
    0.16119E-02    0.82361E+04
    0.16445E-02    0.84024E+04
    0.16777E-02    0.85712E+04
    0.17116E-02    0.87427E+04
    0.17462E-02    0.89168E+04
    0.17814E-02    0.90936E+04
    0.18174E-02    0.92731E+04
    0.18541E-02    0.94553E+04
    0.18916E-02    0.96402E+04
    0.19298E-02    0.98278E+04
    0.19688E-02    0.10018E+05
    0.20086E-02    0.10211E+05
    0.20491E-02    0.10407E+05
    0.20905E-02    0.10606E+05
    0.21328E-02    0.10807E+05
    0.21758E-02    0.11011E+05
    0.22198E-02    0.11218E+05
    0.22646E-02    0.11428E+05
    0.23104E-02    0.11641E+05
    0.23571E-02    0.11856E+05
    0.24047E-02    0.12075E+05
    0.24533E-02    0.12296E+05
    0.25028E-02    0.12520E+05
    0.25534E-02    0.12746E+05
    0.26050E-02    0.12976E+05
    0.26576E-02    0.13208E+05
    0.27113E-02    0.13443E+05
    0.27660E-02    0.13681E+05
    0.28219E-02    0.13921E+05
    0.28789E-02    0.14165E+05
    0.29371E-02    0.14411E+05
    0.29964E-02    0.14660E+05
    0.30569E-02    0.14911E+05
    0.31187E-02    0.15165E+05
    0.31817E-02    0.15422E+05
    0.32460E-02    0.15681E+05
    0.33115E-02    0.15943E+05
    0.33784E-02    0.16207E+05
    0.34467E-02    0.16474E+05
    0.35163E-02    0.16743E+05
    0.35874E-02    0.17015E+05
    0.36598E-02    0.17289E+05
    0.37338E-02    0.17565E+05
    0.38092E-02    0.17844E+05
    0.38861E-02    0.18125E+05
    0.39646E-02    0.18408E+05
    0.40447E-02    0.18692E+05
    0.41264E-02    0.18979E+05
    0.42098E-02    0.19268E+05
    0.42948E-02    0.19559E+05
    0.43816E-02    0.19851E+05
    0.44701E-02    0.20145E+05
    0.45604E-02    0.20441E+05
    0.46525E-02    0.20738E+05
    0.47465E-02    0.21036E+05
    0.48424E-02    0.21336E+05
    0.49402E-02    0.21637E+05
    0.50400E-02    0.21939E+05
    0.51419E-02    0.22241E+05
    0.52457E-02    0.22545E+05
    0.53517E-02    0.22849E+05
    0.54598E-02    0.23154E+05
    0.55701E-02    0.23459E+05
    0.56826E-02    0.23765E+05
    0.57974E-02    0.24070E+05
    0.59145E-02    0.24376E+05
    0.60340E-02    0.24681E+05
    0.61559E-02    0.24986E+05
    0.62803E-02    0.25290E+05
    0.64072E-02    0.25594E+05
    0.65366E-02    0.25897E+05
    0.66686E-02    0.26198E+05
    0.68033E-02    0.26499E+05
    0.69408E-02    0.26797E+05
    0.70810E-02    0.27094E+05
    0.72240E-02    0.27389E+05
    0.73700E-02    0.27682E+05
    0.75189E-02    0.27972E+05
    0.76708E-02    0.28260E+05
    0.78257E-02    0.28545E+05
    0.79838E-02    0.28827E+05
    0.81451E-02    0.29105E+05
    0.83096E-02    0.29379E+05
    0.84775E-02    0.29650E+05
    0.86488E-02    0.29916E+05
    0.88235E-02    0.30178E+05
    0.90017E-02    0.30435E+05
    0.91836E-02    0.30687E+05
    0.93691E-02    0.30933E+05
    0.95583E-02    0.31174E+05
    0.97514E-02    0.31409E+05
    0.99484E-02    0.31637E+05
    0.10149E-01    0.31858E+05
    0.10354E-01    0.32073E+05
    0.10564E-01    0.32280E+05
    0.10777E-01    0.32479E+05
    0.10995E-01    0.32670E+05
    0.11217E-01    0.32852E+05
    0.11443E-01    0.33026E+05
    0.11675E-01    0.33190E+05
    0.11910E-01    0.33345E+05
    0.12151E-01    0.33489E+05
    0.12397E-01    0.33625E+05
    0.12647E-01    0.33749E+05
    0.12902E-01    0.33863E+05
    0.13163E-01    0.33965E+05
    0.13429E-01    0.34054E+05
    0.13700E-01    0.34129E+05
    0.13977E-01    0.34189E+05
    0.14259E-01    0.34235E+05
    0.14547E-01    0.34271E+05
    0.14841E-01    0.34297E+05
    0.15141E-01    0.34316E+05
    0.15447E-01    0.34329E+05
    0.15759E-01    0.34334E+05
    0.16077E-01    0.34325E+05
    0.16402E-01    0.34300E+05
    0.16734E-01    0.34254E+05
    0.17072E-01    0.34185E+05
    0.17416E-01    0.34094E+05
    0.17768E-01    0.33983E+05
    0.18127E-01    0.33854E+05
    0.18493E-01    0.33711E+05
    0.18867E-01    0.33555E+05
    0.19248E-01    0.33383E+05
    0.19637E-01    0.33194E+05
    0.20034E-01    0.32986E+05
    0.20438E-01    0.32755E+05
    0.20851E-01    0.32500E+05
    0.21272E-01    0.32225E+05
    0.21702E-01    0.31931E+05
    0.22141E-01    0.31622E+05
    0.22588E-01    0.31300E+05
    0.23044E-01    0.30968E+05
    0.23510E-01    0.30625E+05
    0.23985E-01    0.30272E+05
    0.24469E-01    0.29909E+05
    0.24964E-01    0.29535E+05
    0.25468E-01    0.29151E+05
    0.25982E-01    0.28756E+05
    0.26507E-01    0.28350E+05
    0.27043E-01    0.27932E+05
    0.27589E-01    0.27503E+05
    0.28146E-01    0.27063E+05
    0.28715E-01    0.26612E+05
    0.29295E-01    0.26153E+05
    0.29887E-01    0.25687E+05
    0.30490E-01    0.25215E+05
    0.31106E-01    0.24740E+05
    0.31735E-01    0.24262E+05
    0.32376E-01    0.23784E+05
    0.33030E-01    0.23308E+05
    0.33697E-01    0.22834E+05
    0.34378E-01    0.22366E+05
    0.35072E-01    0.21903E+05
    0.35781E-01    0.21448E+05
    0.36504E-01    0.20999E+05
    0.37241E-01    0.20560E+05
    0.37993E-01    0.20130E+05
    0.38761E-01    0.19710E+05
    0.39544E-01    0.19301E+05
    0.40343E-01    0.18903E+05
    0.41158E-01    0.18517E+05
    0.41989E-01    0.18144E+05
    0.42838E-01    0.17785E+05
    0.43703E-01    0.17442E+05
    0.44586E-01    0.17114E+05
    0.45486E-01    0.16805E+05
    0.46405E-01    0.16512E+05
    0.47343E-01    0.16236E+05
    0.48299E-01    0.15974E+05
    0.49275E-01    0.15725E+05
    0.50270E-01    0.15488E+05
    0.51286E-01    0.15262E+05
    0.52322E-01    0.15046E+05
    0.53379E-01    0.14838E+05
    0.54457E-01    0.14638E+05
    0.55557E-01    0.14443E+05
    0.56680E-01    0.14252E+05
    0.57825E-01    0.14061E+05
    0.58993E-01    0.13869E+05
    0.60184E-01    0.13675E+05
    0.61400E-01    0.13476E+05
    0.62641E-01    0.13271E+05
    0.63906E-01    0.13057E+05
    0.65197E-01    0.12831E+05
    0.66514E-01    0.12590E+05
    0.67858E-01    0.12336E+05
    0.69229E-01    0.12073E+05
    0.70627E-01    0.11803E+05
    0.72054E-01    0.11523E+05
    0.73510E-01    0.11225E+05
    0.74994E-01    0.10905E+05
    0.76509E-01    0.10567E+05
    0.78055E-01    0.10219E+05
    0.79632E-01    0.98659E+04
    0.81241E-01    0.95102E+04
    0.82882E-01    0.91542E+04
    0.84556E-01    0.88014E+04
    0.86264E-01    0.84556E+04
    0.88007E-01    0.81208E+04
    0.89785E-01    0.78005E+04
    0.91598E-01    0.74980E+04
    0.93449E-01    0.72160E+04
    0.95337E-01    0.69567E+04
    0.97263E-01    0.67219E+04
    0.99227E-01    0.65121E+04
    0.10123E+00    0.63268E+04
    0.10328E+00    0.61651E+04
    0.10536E+00    0.60243E+04
    0.10749E+00    0.59016E+04
    0.10966E+00    0.57933E+04
    0.11188E+00    0.56949E+04
    0.11414E+00    0.56020E+04
    0.11644E+00    0.55097E+04
    0.11880E+00    0.54133E+04
    0.12120E+00    0.53084E+04
    0.12365E+00    0.51912E+04
    0.12614E+00    0.50594E+04
    0.12869E+00    0.49120E+04
    0.13129E+00    0.47495E+04
    0.13394E+00    0.45739E+04
    0.13665E+00    0.43882E+04
    0.13941E+00    0.41964E+04
    0.14223E+00    0.40031E+04
    0.14510E+00    0.38132E+04
    0.14803E+00    0.36321E+04
    0.15102E+00    0.34649E+04
    0.15407E+00    0.33156E+04
    0.15718E+00    0.31864E+04
    0.16036E+00    0.30775E+04
    0.16360E+00    0.29867E+04
    0.16690E+00    0.29107E+04
    0.17028E+00    0.28453E+04
    0.17371E+00    0.27861E+04
    0.17722E+00    0.27283E+04
    0.18080E+00    0.26671E+04
    0.18446E+00    0.25978E+04
    0.18818E+00    0.25177E+04
    0.19198E+00    0.24263E+04
    0.19586E+00    0.23260E+04
    0.19982E+00    0.22206E+04
    0.20386E+00    0.21147E+04
    0.20797E+00    0.20125E+04
    0.21218E+00    0.19182E+04
    0.21646E+00    0.18347E+04
    0.22083E+00    0.17636E+04
    0.22530E+00    0.17043E+04
    0.22985E+00    0.16542E+04
    0.23449E+00    0.16097E+04
    0.23923E+00    0.15667E+04
    0.24406E+00    0.15213E+04
    0.24899E+00    0.14710E+04
    0.25402E+00    0.14150E+04
    0.25915E+00    0.13547E+04
    0.26439E+00    0.12930E+04
    0.26973E+00    0.12328E+04
    0.27518E+00    0.11771E+04
    0.28074E+00    0.11277E+04
    0.28641E+00    0.10851E+04
    0.29219E+00    0.10481E+04
    0.29810E+00    0.10141E+04
    0.30412E+00    0.98060E+03
    0.31026E+00    0.94578E+03
    0.31653E+00    0.90875E+03
    0.32292E+00    0.87005E+03
    0.32945E+00    0.83139E+03
    0.33610E+00    0.79470E+03
    0.34289E+00    0.76114E+03
    0.34982E+00    0.73100E+03
    0.35689E+00    0.70373E+03
    0.36409E+00    0.67793E+03
    0.37145E+00    0.65226E+03
    0.37895E+00    0.62613E+03
    0.38661E+00    0.59967E+03
    0.39442E+00    0.57369E+03
    0.40239E+00    0.54910E+03
    0.41052E+00    0.52632E+03
    0.41881E+00    0.50525E+03
    0.42727E+00    0.48529E+03
    0.43590E+00    0.46579E+03
    0.44471E+00    0.44647E+03
    0.45369E+00    0.42743E+03
    0.46286E+00    0.40911E+03
    0.47221E+00    0.39181E+03
    0.48174E+00    0.37551E+03
    0.49148E+00    0.36002E+03
    0.50141E+00    0.34500E+03
    0.51153E+00    0.33037E+03
    0.52187E+00    0.31619E+03
    0.53241E+00    0.30264E+03
    0.54317E+00    0.28978E+03
    0.55414E+00    0.27749E+03
    0.56533E+00    0.26565E+03
    0.57675E+00    0.25422E+03
    0.58840E+00    0.24323E+03
    0.60029E+00    0.23272E+03
    0.61242E+00    0.22266E+03
    0.62479E+00    0.21303E+03
    0.63741E+00    0.20380E+03
    0.65029E+00    0.19495E+03
    0.66342E+00    0.18646E+03
    0.67683E+00    0.17831E+03
    0.69050E+00    0.17050E+03
    0.70445E+00    0.16302E+03
    0.71868E+00    0.15584E+03
    0.73320E+00    0.14897E+03
    0.74801E+00    0.14238E+03
    0.76312E+00    0.13607E+03
    0.77854E+00    0.13003E+03
    0.79426E+00    0.12424E+03
    0.81031E+00    0.11870E+03
    0.82668E+00    0.11339E+03
    0.84338E+00    0.10832E+03
    0.86041E+00    0.10346E+03
    0.87780E+00    0.98809E+02
    0.89553E+00    0.94362E+02
    0.91362E+00    0.90107E+02
    0.93208E+00    0.86037E+02
    0.95091E+00    0.82144E+02
    0.97011E+00    0.78421E+02
    0.98971E+00    0.74861E+02
    0.10097E+01    0.71457E+02
    0.10301E+01    0.68203E+02
    0.10509E+01    0.65092E+02
    0.10721E+01    0.62117E+02
    0.10938E+01    0.59275E+02
    0.11159E+01    0.56558E+02
    0.11384E+01    0.53961E+02
    0.11614E+01    0.51480E+02
