#    L    TT             EE             TE             PP             TP          
     2    0.15269E+04    0.52950E-01    0.40728E+01    0.21164E+07   -0.79139E+05
     3    0.15377E+04    0.85520E-01    0.49069E+01    0.31491E+07   -0.10197E+06
     4    0.14511E+04    0.96640E-01    0.48537E+01    0.39840E+07   -0.11174E+06
     5    0.13472E+04    0.86812E-01    0.43650E+01    0.46639E+07   -0.11421E+06
     6    0.12516E+04    0.65261E-01    0.37135E+01    0.52216E+07   -0.11268E+06
     7    0.11715E+04    0.42333E-01    0.30426E+01    0.56841E+07   -0.10906E+06
     8    0.11067E+04    0.24709E-01    0.24321E+01    0.60704E+07   -0.10443E+06
     9    0.10555E+04    0.14307E-01    0.19223E+01    0.63957E+07   -0.99416E+05
    10    0.10155E+04    0.96954E-02    0.15314E+01    0.66704E+07   -0.94299E+05
    11    0.98451E+03    0.82268E-02    0.12584E+01    0.69050E+07   -0.89228E+05
    12    0.96183E+03    0.77429E-02    0.10937E+01    0.71040E+07   -0.84273E+05
    13    0.94485E+03    0.70963E-02    0.10178E+01    0.72729E+07   -0.79493E+05
    14    0.93198E+03    0.62392E-02    0.10081E+01    0.74172E+07   -0.74947E+05
    15    0.92307E+03    0.54603E-02    0.10443E+01    0.75400E+07   -0.70664E+05
    16    0.91818E+03    0.50310E-02    0.11075E+01    0.76442E+07   -0.66661E+05
    17    0.91682E+03    0.50375E-02    0.11796E+01    0.77323E+07   -0.62924E+05
    18    0.91770E+03    0.53084E-02    0.12471E+01    0.78067E+07   -0.59432E+05
    19    0.92141E+03    0.56738E-02    0.13072E+01    0.78685E+07   -0.56160E+05
    20    0.92609E+03    0.60518E-02    0.13573E+01    0.79188E+07   -0.53091E+05
    21    0.93193E+03    0.64426E-02    0.13991E+01    0.79593E+07   -0.50222E+05
    22    0.93912E+03    0.69508E-02    0.14345E+01    0.79914E+07   -0.47549E+05
    23    0.94733E+03    0.76566E-02    0.14668E+01    0.80160E+07   -0.45058E+05
    24    0.95650E+03    0.85907E-02    0.14995E+01    0.80335E+07   -0.42728E+05
    25    0.96654E+03    0.97815E-02    0.15345E+01    0.80448E+07   -0.40542E+05
    26    0.97719E+03    0.11209E-01    0.15743E+01    0.80507E+07   -0.38485E+05
    27    0.98863E+03    0.12829E-01    0.16179E+01    0.80517E+07   -0.36549E+05
    28    0.10006E+04    0.14619E-01    0.16643E+01    0.80485E+07   -0.34729E+05
    29    0.10132E+04    0.16576E-01    0.17101E+01    0.80409E+07   -0.33015E+05
    30    0.10262E+04    0.18705E-01    0.17508E+01    0.80291E+07   -0.31397E+05
    31    0.10395E+04    0.21012E-01    0.17861E+01    0.80137E+07   -0.29870E+05
    32    0.10533E+04    0.23485E-01    0.18155E+01    0.79955E+07   -0.28425E+05
    33    0.10678E+04    0.26110E-01    0.18350E+01    0.79747E+07   -0.27062E+05
    34    0.10825E+04    0.28887E-01    0.18416E+01    0.79515E+07   -0.25778E+05
    35    0.10975E+04    0.31845E-01    0.18374E+01    0.79260E+07   -0.24575E+05
    36    0.11128E+04    0.35016E-01    0.18237E+01    0.78985E+07   -0.23451E+05
    37    0.11282E+04    0.38397E-01    0.17998E+01    0.78691E+07   -0.22391E+05
    38    0.11441E+04    0.41985E-01    0.17663E+01    0.78381E+07   -0.21380E+05
    39    0.11605E+04    0.45791E-01    0.17242E+01    0.78056E+07   -0.20414E+05
    40    0.11770E+04    0.49833E-01    0.16746E+01    0.77716E+07   -0.19494E+05
    41    0.11938E+04    0.54134E-01    0.16178E+01    0.77363E+07   -0.18620E+05
    42    0.12107E+04    0.58695E-01    0.15526E+01    0.76997E+07   -0.17789E+05
    43    0.12278E+04    0.63514E-01    0.14772E+01    0.76621E+07   -0.17001E+05
    44    0.12449E+04    0.68575E-01    0.13910E+01    0.76234E+07   -0.16253E+05
    45    0.12624E+04    0.73871E-01    0.12932E+01    0.75839E+07   -0.15543E+05
    46    0.12802E+04    0.79400E-01    0.11815E+01    0.75436E+07   -0.14868E+05
    47    0.12981E+04    0.85162E-01    0.10569E+01    0.75027E+07   -0.14227E+05
    48    0.13161E+04    0.91167E-01    0.92394E+00    0.74611E+07   -0.13620E+05
    49    0.13344E+04    0.97402E-01    0.78663E+00    0.74190E+07   -0.13043E+05
    50    0.13530E+04    0.10385E+00    0.64210E+00    0.73765E+07   -0.12495E+05
    51    0.13718E+04    0.11047E+00    0.48603E+00    0.73335E+07   -0.11975E+05
    52    0.13911E+04    0.11737E+00    0.31374E+00    0.72902E+07   -0.11481E+05
    53    0.14103E+04    0.12467E+00    0.12232E+00    0.72466E+07   -0.11010E+05
    54    0.14295E+04    0.13238E+00   -0.83164E-01    0.72028E+07   -0.10562E+05
    55    0.14488E+04    0.14047E+00   -0.29754E+00    0.71586E+07   -0.10135E+05
    56    0.14685E+04    0.14880E+00   -0.52197E+00    0.71144E+07   -0.97257E+04
    57    0.14884E+04    0.15725E+00   -0.75659E+00    0.70699E+07   -0.93333E+04
    58    0.15087E+04    0.16584E+00   -0.10025E+01    0.70252E+07   -0.89558E+04
    59    0.15291E+04    0.17461E+00   -0.12609E+01    0.69805E+07   -0.85914E+04
    60    0.15496E+04    0.18361E+00   -0.15315E+01    0.69356E+07   -0.82384E+04
    61    0.15707E+04    0.19293E+00   -0.18138E+01    0.68906E+07   -0.78954E+04
    62    0.15916E+04    0.20258E+00   -0.21087E+01    0.68456E+07   -0.75638E+04
    63    0.16126E+04    0.21250E+00   -0.24171E+01    0.68005E+07   -0.72453E+04
    64    0.16340E+04    0.22272E+00   -0.27403E+01    0.67555E+07   -0.69417E+04
    65    0.16555E+04    0.23320E+00   -0.30786E+01    0.67105E+07   -0.66549E+04
    66    0.16772E+04    0.24389E+00   -0.34304E+01    0.66657E+07   -0.63859E+04
    67    0.16991E+04    0.25477E+00   -0.37927E+01    0.66209E+07   -0.61332E+04
    68    0.17214E+04    0.26590E+00   -0.41640E+01    0.65763E+07   -0.58945E+04
    69    0.17439E+04    0.27723E+00   -0.45425E+01    0.65319E+07   -0.56675E+04
    70    0.17666E+04    0.28880E+00   -0.49300E+01    0.64877E+07   -0.54501E+04
    71    0.17896E+04    0.30059E+00   -0.53289E+01    0.64436E+07   -0.52401E+04
    72    0.18126E+04    0.31260E+00   -0.57404E+01    0.63997E+07   -0.50367E+04
    73    0.18358E+04    0.32477E+00   -0.61650E+01    0.63560E+07   -0.48390E+04
    74    0.18593E+04    0.33711E+00   -0.66017E+01    0.63124E+07   -0.46463E+04
    75    0.18830E+04    0.34963E+00   -0.70488E+01    0.62690E+07   -0.44578E+04
    76    0.19070E+04    0.36234E+00   -0.75056E+01    0.62258E+07   -0.42732E+04
    77    0.19313E+04    0.37522E+00   -0.79721E+01    0.61827E+07   -0.40930E+04
    78    0.19560E+04    0.38830E+00   -0.84502E+01    0.61398E+07   -0.39183E+04
    79    0.19808E+04    0.40153E+00   -0.89363E+01    0.60972E+07   -0.37499E+04
    80    0.20059E+04    0.41492E+00   -0.94322E+01    0.60547E+07   -0.35888E+04
    81    0.20312E+04    0.42842E+00   -0.99385E+01    0.60125E+07   -0.34357E+04
    82    0.20566E+04    0.44204E+00   -0.10454E+02    0.59705E+07   -0.32903E+04
    83    0.20823E+04    0.45577E+00   -0.10979E+02    0.59287E+07   -0.31522E+04
    84    0.21082E+04    0.46960E+00   -0.11512E+02    0.58873E+07   -0.30209E+04
    85    0.21342E+04    0.48350E+00   -0.12052E+02    0.58460E+07   -0.28958E+04
    86    0.21604E+04    0.49749E+00   -0.12600E+02    0.58051E+07   -0.27765E+04
