#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.15269E+04    0.40728E+01   -0.34660E-02    0.40728E+01    0.52950E-01   -0.73114E-05   -0.34660E-02   -0.73114E-05    0.17004E-07
     3    0.15377E+04    0.49069E+01   -0.26465E-02    0.49069E+01    0.85520E-01   -0.61494E-05   -0.26465E-02   -0.61494E-05    0.99957E-08
     4    0.14511E+04    0.48537E+01   -0.20392E-02    0.48537E+01    0.96640E-01   -0.47770E-05   -0.20392E-02   -0.47770E-05    0.66687E-08
     5    0.13472E+04    0.43650E+01   -0.16006E-02    0.43650E+01    0.86812E-01   -0.34748E-05   -0.16006E-02   -0.34748E-05    0.47964E-08
     6    0.12516E+04    0.37135E+01   -0.12795E-02    0.37135E+01    0.65261E-01   -0.23421E-05   -0.12795E-02   -0.23421E-05    0.36255E-08
     7    0.11715E+04    0.30426E+01   -0.10397E-02    0.30426E+01    0.42333E-01   -0.14174E-05   -0.10397E-02   -0.14174E-05    0.28404E-08
     8    0.11067E+04    0.24321E+01   -0.85753E-03    0.24321E+01    0.24709E-01   -0.70982E-06   -0.85753E-03   -0.70982E-06    0.22862E-08
     9    0.10555E+04    0.19223E+01   -0.71671E-03    0.19223E+01    0.14307E-01   -0.21577E-06   -0.71671E-03   -0.21577E-06    0.18797E-08
    10    0.10155E+04    0.15314E+01   -0.60572E-03    0.15314E+01    0.96954E-02    0.84367E-07   -0.60572E-03    0.84367E-07    0.15721E-08
    11    0.98451E+03    0.12584E+01   -0.51674E-03    0.12584E+01    0.82268E-02    0.22990E-06   -0.51674E-03    0.22990E-06    0.13338E-08
    12    0.96183E+03    0.10937E+01   -0.44419E-03    0.10937E+01    0.77429E-02    0.26867E-06   -0.44419E-03    0.26867E-06    0.11448E-08
    13    0.94485E+03    0.10178E+01   -0.38454E-03    0.10178E+01    0.70963E-02    0.23511E-06   -0.38454E-03    0.23511E-06    0.99297E-09
    14    0.93198E+03    0.10081E+01   -0.33493E-03    0.10081E+01    0.62392E-02    0.15849E-06   -0.33493E-03    0.15849E-06    0.86867E-09
    15    0.92307E+03    0.10443E+01   -0.29343E-03    0.10443E+01    0.54603E-02    0.63119E-07   -0.29343E-03    0.63119E-07    0.76585E-09
