#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.967651E-05   0.192153E+08   0.192153E+08   0.256055E+08   0.256051E+08   0.000000E+00   0.192153E+08   0.192153E+08   0.192232E+08  -0.432145E+00   0.104143E+08   0.104143E+08   0.656381E+01
   0.106879E-04   0.192154E+08   0.192154E+08   0.256023E+08   0.256018E+08   0.000000E+00   0.192154E+08   0.192154E+08   0.192233E+08  -0.432151E+00   0.104143E+08   0.104143E+08   0.724963E+01
   0.118050E-04   0.192155E+08   0.192155E+08   0.255984E+08   0.255978E+08   0.000000E+00   0.192155E+08   0.192155E+08   0.192234E+08  -0.432159E+00   0.104144E+08   0.104144E+08   0.800706E+01
   0.130388E-04   0.192155E+08   0.192155E+08   0.255937E+08   0.255929E+08   0.000000E+00   0.192155E+08   0.192155E+08   0.192234E+08  -0.432169E+00   0.104144E+08   0.104144E+08   0.884354E+01
   0.144016E-04   0.192156E+08   0.192156E+08   0.255878E+08   0.255869E+08   0.000000E+00   0.192156E+08   0.192156E+08   0.192235E+08  -0.432180E+00   0.104145E+08   0.104145E+08   0.976731E+01
   0.159068E-04   0.192157E+08   0.192157E+08   0.255807E+08   0.255796E+08   0.000000E+00   0.192157E+08   0.192157E+08   0.192236E+08  -0.432195E+00   0.104146E+08   0.104146E+08   0.107874E+02
   0.175694E-04   0.192159E+08   0.192159E+08   0.255721E+08   0.255706E+08   0.000000E+00   0.192159E+08   0.192159E+08   0.192238E+08  -0.432212E+00   0.104147E+08   0.104147E+08   0.119139E+02
   0.194057E-04   0.192161E+08   0.192161E+08   0.255615E+08   0.255598E+08   0.000000E+00   0.192161E+08   0.192161E+08   0.192240E+08  -0.432234E+00   0.104148E+08   0.104148E+08   0.131578E+02
   0.214340E-04   0.192163E+08   0.192163E+08   0.255487E+08   0.255465E+08   0.000000E+00   0.192163E+08   0.192163E+08   0.192242E+08  -0.432260E+00   0.104149E+08   0.104149E+08   0.145313E+02
   0.236743E-04   0.192165E+08   0.192165E+08   0.255330E+08   0.255304E+08   0.000000E+00   0.192165E+08   0.192165E+08   0.192244E+08  -0.432291E+00   0.104151E+08   0.104151E+08   0.160477E+02
   0.261487E-04   0.192169E+08   0.192169E+08   0.255138E+08   0.255106E+08   0.000000E+00   0.192169E+08   0.192169E+08   0.192247E+08  -0.432330E+00   0.104153E+08   0.104153E+08   0.177217E+02
   0.288817E-04   0.192172E+08   0.192172E+08   0.254905E+08   0.254866E+08   0.000000E+00   0.192172E+08   0.192172E+08   0.192251E+08  -0.432377E+00   0.104156E+08   0.104156E+08   0.195696E+02
   0.319004E-04   0.192177E+08   0.192177E+08   0.254621E+08   0.254573E+08   0.000000E+00   0.192177E+08   0.192177E+08   0.192256E+08  -0.432435E+00   0.104159E+08   0.104159E+08   0.216091E+02
   0.352345E-04   0.192183E+08   0.192183E+08   0.254274E+08   0.254216E+08   0.000000E+00   0.192183E+08   0.192183E+08   0.192262E+08  -0.432505E+00   0.104163E+08   0.104163E+08   0.238597E+02
   0.389172E-04   0.192190E+08   0.192190E+08   0.253852E+08   0.253781E+08   0.000000E+00   0.192190E+08   0.192190E+08   0.192268E+08  -0.432591E+00   0.104168E+08   0.104168E+08   0.263427E+02
   0.429848E-04   0.192199E+08   0.192199E+08   0.253338E+08   0.253252E+08   0.000000E+00   0.192199E+08   0.192199E+08   0.192277E+08  -0.432696E+00   0.104174E+08   0.104174E+08   0.290816E+02
   0.474775E-04   0.192209E+08   0.192209E+08   0.252712E+08   0.252607E+08   0.000000E+00   0.192209E+08   0.192209E+08   0.192287E+08  -0.432823E+00   0.104181E+08   0.104181E+08   0.321018E+02
   0.524398E-04   0.192222E+08   0.192222E+08   0.251950E+08   0.251822E+08   0.000000E+00   0.192222E+08   0.192222E+08   0.192300E+08  -0.432978E+00   0.104190E+08   0.104190E+08   0.354309E+02
   0.579207E-04   0.192238E+08   0.192237E+08   0.251023E+08   0.250867E+08   0.000000E+00   0.192238E+08   0.192238E+08   0.192315E+08  -0.433167E+00   0.104200E+08   0.104200E+08   0.390990E+02
   0.639745E-04   0.192257E+08   0.192256E+08   0.249896E+08   0.249707E+08   0.000000E+00   0.192256E+08   0.192256E+08   0.192334E+08  -0.433398E+00   0.104213E+08   0.104213E+08   0.431382E+02
   0.706611E-04   0.192280E+08   0.192279E+08   0.248527E+08   0.248297E+08   0.000000E+00   0.192280E+08   0.192280E+08   0.192356E+08  -0.433679E+00   0.104229E+08   0.104229E+08   0.475834E+02
   0.780464E-04   0.192308E+08   0.192307E+08   0.246865E+08   0.246587E+08   0.000000E+00   0.192308E+08   0.192308E+08   0.192384E+08  -0.434021E+00   0.104248E+08   0.104248E+08   0.524712E+02
   0.862038E-04   0.192342E+08   0.192342E+08   0.244852E+08   0.244514E+08   0.000000E+00   0.192342E+08   0.192342E+08   0.192418E+08  -0.434438E+00   0.104271E+08   0.104271E+08   0.578404E+02
