#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.70808E+03    0.52452E-01    0.00000E+00    0.33085E+01    0.71498E-07    0.12445E-02   -0.17159E-04
     3    0.80234E+03    0.85374E-01    0.00000E+00    0.46500E+01    0.87295E-07    0.36326E-03   -0.20982E-04
     4    0.82636E+03    0.96617E-01    0.00000E+00    0.48147E+01    0.10019E-06   -0.14081E-03   -0.21235E-04
     5    0.82369E+03    0.86822E-01    0.00000E+00    0.43815E+01    0.11102E-06   -0.44477E-03   -0.18988E-04
     6    0.81359E+03    0.65272E-01    0.00000E+00    0.37281E+01    0.12020E-06   -0.63853E-03   -0.15178E-04
     7    0.80380E+03    0.42338E-01    0.00000E+00    0.30456E+01    0.12808E-06   -0.76720E-03   -0.10635E-04
     8    0.79676E+03    0.24710E-01    0.00000E+00    0.24288E+01    0.13488E-06   -0.85909E-03   -0.60714E-05
     9    0.79289E+03    0.14305E-01    0.00000E+00    0.19157E+01    0.14080E-06   -0.92944E-03   -0.21101E-05
    10    0.79187E+03    0.96917E-02    0.00000E+00    0.15217E+01    0.14593E-06   -0.98163E-03    0.81037E-06
    11    0.79302E+03    0.82229E-02    0.00000E+00    0.12477E+01    0.15044E-06   -0.10158E-02    0.25572E-05
    12    0.79699E+03    0.77393E-02    0.00000E+00    0.10852E+01    0.15437E-06   -0.10344E-02    0.32578E-05
    13    0.80223E+03    0.70934E-02    0.00000E+00    0.10127E+01    0.15778E-06   -0.10426E-02    0.30792E-05
    14    0.80801E+03    0.62371E-02    0.00000E+00    0.10051E+01    0.16076E-06   -0.10453E-02    0.21993E-05
    15    0.81485E+03    0.54593E-02    0.00000E+00    0.10426E+01    0.16335E-06   -0.10443E-02    0.88016E-06
    16    0.82334E+03    0.50313E-02    0.00000E+00    0.11073E+01    0.16559E-06   -0.10400E-02   -0.58660E-06
    17    0.83343E+03    0.50386E-02    0.00000E+00    0.11801E+01    0.16753E-06   -0.10318E-02   -0.18567E-05
    18    0.84417E+03    0.53091E-02    0.00000E+00    0.12467E+01    0.16920E-06   -0.10191E-02   -0.26567E-05
    19    0.85636E+03    0.56737E-02    0.00000E+00    0.13057E+01    0.17062E-06   -0.10043E-02   -0.30346E-05
    20    0.86833E+03    0.60516E-02    0.00000E+00    0.13560E+01    0.17181E-06   -0.98992E-03   -0.31039E-05
    21    0.88050E+03    0.64427E-02    0.00000E+00    0.13988E+01    0.17280E-06   -0.97556E-03   -0.29311E-05
    22    0.89321E+03    0.69513E-02    0.00000E+00    0.14351E+01    0.17360E-06   -0.96033E-03   -0.25663E-05
    23    0.90627E+03    0.76571E-02    0.00000E+00    0.14677E+01    0.17425E-06   -0.94355E-03   -0.20433E-05
    24    0.91972E+03    0.85908E-02    0.00000E+00    0.14995E+01    0.17474E-06   -0.92497E-03   -0.14213E-05
    25    0.93351E+03    0.97813E-02    0.00000E+00    0.15336E+01    0.17509E-06   -0.90575E-03   -0.87872E-06
    26    0.94747E+03    0.11209E-01    0.00000E+00    0.15733E+01    0.17533E-06   -0.88706E-03   -0.58071E-06
    27    0.96181E+03    0.12829E-01    0.00000E+00    0.16175E+01    0.17545E-06   -0.86855E-03   -0.52455E-06
    28    0.97640E+03    0.14620E-01    0.00000E+00    0.16646E+01    0.17548E-06   -0.84959E-03   -0.65149E-06
    29    0.99126E+03    0.16577E-01    0.00000E+00    0.17106E+01    0.17540E-06   -0.82976E-03   -0.84444E-06
    30    0.10063E+04    0.18707E-01    0.00000E+00    0.17510E+01    0.17523E-06   -0.80892E-03   -0.10018E-05
    31    0.10215E+04    0.21013E-01    0.00000E+00    0.17858E+01    0.17498E-06   -0.78779E-03   -0.11394E-05
    32    0.10370E+04    0.23486E-01    0.00000E+00    0.18150E+01    0.17465E-06   -0.76715E-03   -0.12928E-05
    33    0.10528E+04    0.26112E-01    0.00000E+00    0.18346E+01    0.17427E-06   -0.74703E-03   -0.14594E-05
    34    0.10689E+04    0.28889E-01    0.00000E+00    0.18415E+01    0.17382E-06   -0.72734E-03   -0.16140E-05
    35    0.10851E+04    0.31847E-01    0.00000E+00    0.18375E+01    0.17332E-06   -0.70818E-03   -0.16793E-05
    36    0.11014E+04    0.35019E-01    0.00000E+00    0.18239E+01    0.17278E-06   -0.68961E-03   -0.15914E-05
    37    0.11178E+04    0.38400E-01    0.00000E+00    0.17999E+01    0.17218E-06   -0.67136E-03   -0.13912E-05
    38    0.11346E+04    0.41988E-01    0.00000E+00    0.17662E+01    0.17155E-06   -0.65310E-03   -0.11426E-05
    39    0.11517E+04    0.45793E-01    0.00000E+00    0.17239E+01    0.17087E-06   -0.63485E-03   -0.89603E-06
    40    0.11690E+04    0.49836E-01    0.00000E+00    0.16743E+01    0.17017E-06   -0.61665E-03   -0.69888E-06
    41    0.11864E+04    0.54137E-01    0.00000E+00    0.16175E+01    0.16942E-06   -0.59858E-03   -0.58588E-06
    42    0.12039E+04    0.58698E-01    0.00000E+00    0.15524E+01    0.16865E-06   -0.58071E-03   -0.54260E-06
    43    0.12215E+04    0.63518E-01    0.00000E+00    0.14772E+01    0.16785E-06   -0.56311E-03   -0.54237E-06
    44    0.12391E+04    0.68579E-01    0.00000E+00    0.13910E+01    0.16703E-06   -0.54586E-03   -0.55866E-06
    45    0.12570E+04    0.73876E-01    0.00000E+00    0.12932E+01    0.16618E-06   -0.52904E-03   -0.56500E-06
    46    0.12752E+04    0.79405E-01    0.00000E+00    0.11815E+01    0.16531E-06   -0.51270E-03   -0.54263E-06
    47    0.12935E+04    0.85168E-01    0.00000E+00    0.10567E+01    0.16443E-06   -0.49685E-03   -0.50333E-06
    48    0.13119E+04    0.91173E-01    0.00000E+00    0.92364E+00    0.16353E-06   -0.48149E-03   -0.46644E-06
    49    0.13304E+04    0.97408E-01    0.00000E+00    0.78617E+00    0.16262E-06   -0.46660E-03   -0.45125E-06
    50    0.13493E+04    0.10385E+00    0.00000E+00    0.64153E+00    0.16169E-06   -0.45218E-03   -0.47701E-06
    51    0.13684E+04    0.11048E+00    0.00000E+00    0.48541E+00    0.16076E-06   -0.43822E-03   -0.55547E-06
    52    0.13879E+04    0.11737E+00    0.00000E+00    0.31313E+00    0.15981E-06   -0.42469E-03   -0.66843E-06
    53    0.14074E+04    0.12468E+00    0.00000E+00    0.12177E+00    0.15886E-06   -0.41156E-03   -0.79031E-06
    54    0.14267E+04    0.13239E+00    0.00000E+00   -0.83643E-01    0.15790E-06   -0.39878E-03   -0.89557E-06
    55    0.14463E+04    0.14048E+00    0.00000E+00   -0.29794E+00    0.15693E-06   -0.38632E-03   -0.95872E-06
    56    0.14661E+04    0.14881E+00    0.00000E+00   -0.52230E+00    0.15596E-06   -0.37415E-03   -0.96197E-06
    57    0.14862E+04    0.15726E+00    0.00000E+00   -0.75686E+00    0.15499E-06   -0.36220E-03   -0.91820E-06
    58    0.15066E+04    0.16585E+00    0.00000E+00   -0.10028E+01    0.15401E-06   -0.35042E-03   -0.84792E-06
    59    0.15271E+04    0.17462E+00    0.00000E+00   -0.12612E+01    0.15302E-06   -0.33874E-03   -0.77158E-06
    60    0.15478E+04    0.18362E+00    0.00000E+00   -0.15318E+01    0.15204E-06   -0.32711E-03   -0.70962E-06
    61    0.15690E+04    0.19295E+00    0.00000E+00   -0.18140E+01    0.15105E-06   -0.31549E-03   -0.67701E-06
    62    0.15900E+04    0.20259E+00    0.00000E+00   -0.21090E+01    0.15005E-06   -0.30400E-03   -0.66707E-06
    63    0.16111E+04    0.21252E+00    0.00000E+00   -0.24174E+01    0.14906E-06   -0.29279E-03   -0.66772E-06
    64    0.16326E+04    0.22273E+00    0.00000E+00   -0.27406E+01    0.14807E-06   -0.28200E-03   -0.66691E-06
    65    0.16541E+04    0.23321E+00    0.00000E+00   -0.30790E+01    0.14708E-06   -0.27177E-03   -0.65260E-06
    66    0.16759E+04    0.24390E+00    0.00000E+00   -0.34308E+01    0.14609E-06   -0.26220E-03   -0.61699E-06
    67    0.16979E+04    0.25479E+00    0.00000E+00   -0.37932E+01    0.14511E-06   -0.25323E-03   -0.56920E-06
    68    0.17203E+04    0.26591E+00    0.00000E+00   -0.41645E+01    0.14412E-06   -0.24473E-03   -0.52258E-06
    69    0.17428E+04    0.27724E+00    0.00000E+00   -0.45431E+01    0.14314E-06   -0.23661E-03   -0.49044E-06
    70    0.17656E+04    0.28881E+00    0.00000E+00   -0.49307E+01    0.14217E-06   -0.22874E-03   -0.48609E-06
    71    0.17886E+04    0.30061E+00    0.00000E+00   -0.53296E+01    0.14120E-06   -0.22102E-03   -0.51836E-06
    72    0.18117E+04    0.31261E+00    0.00000E+00   -0.57412E+01    0.14023E-06   -0.21341E-03   -0.57819E-06
    73    0.18350E+04    0.32479E+00    0.00000E+00   -0.61658E+01    0.13927E-06   -0.20590E-03   -0.65208E-06
    74    0.18584E+04    0.33713E+00    0.00000E+00   -0.66024E+01    0.13831E-06   -0.19844E-03   -0.72656E-06
    75    0.18822E+04    0.34965E+00    0.00000E+00   -0.70495E+01    0.13735E-06   -0.19102E-03   -0.78814E-06
    76    0.19063E+04    0.36236E+00    0.00000E+00   -0.75063E+01    0.13640E-06   -0.18362E-03   -0.82605E-06
    77    0.19306E+04    0.37524E+00    0.00000E+00   -0.79729E+01    0.13545E-06   -0.17630E-03   -0.84017E-06
    78    0.19553E+04    0.38832E+00    0.00000E+00   -0.84510E+01    0.13451E-06   -0.16912E-03   -0.83306E-06
