#    L    TT             EE             TE             PP             TP          
     2    0.70808E+03    0.52452E-01    0.33085E+01    0.14831E+07    0.11601E+05
     3    0.80234E+03    0.85374E-01    0.46500E+01    0.22918E+07    0.40406E+04
     4    0.82636E+03    0.96617E-01    0.48147E+01    0.29929E+07   -0.17254E+04
     5    0.82369E+03    0.86822E-01    0.43815E+01    0.35983E+07   -0.57941E+04
     6    0.81359E+03    0.65272E-01    0.37281E+01    0.41218E+07   -0.86773E+04
     7    0.80380E+03    0.42338E-01    0.30456E+01    0.45769E+07   -0.10753E+05
     8    0.79676E+03    0.24710E-01    0.24288E+01    0.49742E+07   -0.12329E+05
     9    0.79289E+03    0.14305E-01    0.19157E+01    0.53229E+07   -0.13590E+05
    10    0.79187E+03    0.96917E-02    0.15217E+01    0.56292E+07   -0.14571E+05
    11    0.79302E+03    0.82229E-02    0.12477E+01    0.59002E+07   -0.15267E+05
    12    0.79699E+03    0.77393E-02    0.10852E+01    0.61391E+07   -0.15710E+05
    13    0.80223E+03    0.70934E-02    0.10127E+01    0.63496E+07   -0.15976E+05
    14    0.80801E+03    0.62371E-02    0.10051E+01    0.65360E+07   -0.16141E+05
    15    0.81485E+03    0.54593E-02    0.10426E+01    0.67008E+07   -0.16233E+05
    16    0.82334E+03    0.50313E-02    0.11073E+01    0.68462E+07   -0.16262E+05
    17    0.83343E+03    0.50386E-02    0.11801E+01    0.69746E+07   -0.16217E+05
    18    0.84417E+03    0.53091E-02    0.12467E+01    0.70879E+07   -0.16092E+05
    19    0.85636E+03    0.56737E-02    0.13057E+01    0.71872E+07   -0.15925E+05
    20    0.86833E+03    0.60516E-02    0.13560E+01    0.72736E+07   -0.15756E+05
    21    0.88050E+03    0.64427E-02    0.13988E+01    0.73485E+07   -0.15580E+05
    22    0.89321E+03    0.69513E-02    0.14351E+01    0.74135E+07   -0.15385E+05
    23    0.90627E+03    0.76571E-02    0.14677E+01    0.74692E+07   -0.15159E+05
    24    0.91972E+03    0.85908E-02    0.14995E+01    0.75163E+07   -0.14899E+05
    25    0.93351E+03    0.97813E-02    0.15336E+01    0.75557E+07   -0.14625E+05
    26    0.94747E+03    0.11209E-01    0.15733E+01    0.75883E+07   -0.14355E+05
    27    0.96181E+03    0.12829E-01    0.16175E+01    0.76146E+07   -0.14084E+05
    28    0.97640E+03    0.14620E-01    0.16646E+01    0.76351E+07   -0.13803E+05
    29    0.99126E+03    0.16577E-01    0.17106E+01    0.76500E+07   -0.13505E+05
    30    0.10063E+04    0.18707E-01    0.17510E+01    0.76596E+07   -0.13188E+05
    31    0.10215E+04    0.21013E-01    0.17858E+01    0.76644E+07   -0.12863E+05
    32    0.10370E+04    0.23486E-01    0.18150E+01    0.76652E+07   -0.12545E+05
    33    0.10528E+04    0.26112E-01    0.18346E+01    0.76624E+07   -0.12233E+05
    34    0.10689E+04    0.28889E-01    0.18415E+01    0.76560E+07   -0.11926E+05
    35    0.10851E+04    0.31847E-01    0.18375E+01    0.76465E+07   -0.11626E+05
    36    0.11014E+04    0.35019E-01    0.18239E+01    0.76341E+07   -0.11334E+05
    37    0.11178E+04    0.38400E-01    0.17999E+01    0.76189E+07   -0.11046E+05
    38    0.11346E+04    0.41988E-01    0.17662E+01    0.76014E+07   -0.10757E+05
    39    0.11517E+04    0.45793E-01    0.17239E+01    0.75816E+07   -0.10466E+05
    40    0.11690E+04    0.49836E-01    0.16743E+01    0.75596E+07   -0.10176E+05
    41    0.11864E+04    0.54137E-01    0.16175E+01    0.75356E+07   -0.98866E+04
    42    0.12039E+04    0.58698E-01    0.15524E+01    0.75098E+07   -0.95996E+04
    43    0.12215E+04    0.63518E-01    0.14772E+01    0.74822E+07   -0.93163E+04
    44    0.12391E+04    0.68579E-01    0.13910E+01    0.74531E+07   -0.90380E+04
    45    0.12570E+04    0.73876E-01    0.12932E+01    0.74227E+07   -0.87659E+04
    46    0.12752E+04    0.79405E-01    0.11815E+01    0.73910E+07   -0.85012E+04
    47    0.12935E+04    0.85168E-01    0.10567E+01    0.73581E+07   -0.82440E+04
    48    0.13119E+04    0.91173E-01    0.92364E+00    0.73242E+07   -0.79943E+04
    49    0.13304E+04    0.97408E-01    0.78617E+00    0.72894E+07   -0.77519E+04
    50    0.13493E+04    0.10385E+00    0.64153E+00    0.72538E+07   -0.75169E+04
    51    0.13684E+04    0.11048E+00    0.48541E+00    0.72174E+07   -0.72891E+04
    52    0.13879E+04    0.11737E+00    0.31313E+00    0.71803E+07   -0.70679E+04
    53    0.14074E+04    0.12468E+00    0.12177E+00    0.71425E+07   -0.68530E+04
    54    0.14267E+04    0.13239E+00   -0.83643E-01    0.71042E+07   -0.66436E+04
    55    0.14463E+04    0.14048E+00   -0.29794E+00    0.70655E+07   -0.64393E+04
    56    0.14661E+04    0.14881E+00   -0.52230E+00    0.70262E+07   -0.62393E+04
    57    0.14862E+04    0.15726E+00   -0.75686E+00    0.69865E+07   -0.60429E+04
    58    0.15066E+04    0.16585E+00   -0.10028E+01    0.69465E+07   -0.58489E+04
    59    0.15271E+04    0.17462E+00   -0.12612E+01    0.69061E+07   -0.56564E+04
