#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.967670E-05   0.158922E+08   0.158922E+08   0.211749E+08   0.211745E+08   0.000000E+00   0.158922E+08   0.158922E+08   0.158988E+08  -0.384955E+00   0.748505E+07   0.748505E+07   0.653740E+01
   0.106881E-04   0.158926E+08   0.158926E+08   0.211722E+08   0.211716E+08   0.000000E+00   0.158926E+08   0.158926E+08   0.158991E+08  -0.384969E+00   0.748534E+07   0.748534E+07   0.722046E+01
   0.118052E-04   0.158930E+08   0.158930E+08   0.211688E+08   0.211681E+08   0.000000E+00   0.158930E+08   0.158930E+08   0.158995E+08  -0.384985E+00   0.748569E+07   0.748569E+07   0.797484E+01
   0.130391E-04   0.158935E+08   0.158935E+08   0.211646E+08   0.211638E+08   0.000000E+00   0.158935E+08   0.158935E+08   0.159000E+08  -0.385005E+00   0.748611E+07   0.748611E+07   0.880796E+01
   0.144019E-04   0.158941E+08   0.158941E+08   0.211596E+08   0.211586E+08   0.000000E+00   0.158941E+08   0.158941E+08   0.159006E+08  -0.385029E+00   0.748663E+07   0.748663E+07   0.972801E+01
   0.159072E-04   0.158948E+08   0.158948E+08   0.211534E+08   0.211523E+08   0.000000E+00   0.158948E+08   0.158948E+08   0.159014E+08  -0.385059E+00   0.748727E+07   0.748727E+07   0.107440E+02
   0.175697E-04   0.158958E+08   0.158958E+08   0.211459E+08   0.211445E+08   0.000000E+00   0.158958E+08   0.158958E+08   0.159023E+08  -0.385095E+00   0.748804E+07   0.748804E+07   0.118660E+02
   0.194061E-04   0.158969E+08   0.158969E+08   0.211368E+08   0.211350E+08   0.000000E+00   0.158969E+08   0.158969E+08   0.159034E+08  -0.385139E+00   0.748899E+07   0.748898E+07   0.131049E+02
   0.214344E-04   0.158982E+08   0.158982E+08   0.211256E+08   0.211235E+08   0.000000E+00   0.158982E+08   0.158982E+08   0.159048E+08  -0.385193E+00   0.749014E+07   0.749014E+07   0.144729E+02
   0.236747E-04   0.158999E+08   0.158999E+08   0.211120E+08   0.211094E+08   0.000000E+00   0.158999E+08   0.158999E+08   0.159064E+08  -0.385259E+00   0.749154E+07   0.749154E+07   0.159832E+02
   0.261492E-04   0.159019E+08   0.159019E+08   0.210954E+08   0.210922E+08   0.000000E+00   0.159019E+08   0.159019E+08   0.159084E+08  -0.385339E+00   0.749325E+07   0.749325E+07   0.176505E+02
   0.288822E-04   0.159044E+08   0.159044E+08   0.210752E+08   0.210713E+08   0.000000E+00   0.159044E+08   0.159044E+08   0.159109E+08  -0.385437E+00   0.749534E+07   0.749534E+07   0.194909E+02
   0.319010E-04   0.159074E+08   0.159074E+08   0.210506E+08   0.210458E+08   0.000000E+00   0.159074E+08   0.159074E+08   0.159139E+08  -0.385556E+00   0.749788E+07   0.749788E+07   0.215223E+02
   0.352352E-04   0.159111E+08   0.159110E+08   0.210205E+08   0.210147E+08   0.000000E+00   0.159110E+08   0.159110E+08   0.159175E+08  -0.385701E+00   0.750099E+07   0.750098E+07   0.237639E+02
   0.389179E-04   0.159155E+08   0.159155E+08   0.209839E+08   0.209769E+08   0.000000E+00   0.159155E+08   0.159155E+08   0.159220E+08  -0.385878E+00   0.750477E+07   0.750476E+07   0.262370E+02
   0.429856E-04   0.159210E+08   0.159209E+08   0.209393E+08   0.209307E+08   0.000000E+00   0.159210E+08   0.159210E+08   0.159274E+08  -0.386093E+00   0.750937E+07   0.750937E+07   0.289650E+02
   0.474784E-04   0.159276E+08   0.159276E+08   0.208851E+08   0.208746E+08   0.000000E+00   0.159276E+08   0.159276E+08   0.159340E+08  -0.386356E+00   0.751498E+07   0.751498E+07   0.319732E+02
   0.524408E-04   0.159357E+08   0.159357E+08   0.208190E+08   0.208063E+08   0.000000E+00   0.159357E+08   0.159357E+08   0.159421E+08  -0.386675E+00   0.752182E+07   0.752181E+07   0.352891E+02
   0.579218E-04   0.159455E+08   0.159455E+08   0.207387E+08   0.207232E+08   0.000000E+00   0.159455E+08   0.159455E+08   0.159519E+08  -0.387064E+00   0.753014E+07   0.753013E+07   0.389427E+02
   0.639757E-04   0.159575E+08   0.159575E+08   0.206410E+08   0.206222E+08   0.000000E+00   0.159575E+08   0.159575E+08   0.159639E+08  -0.387536E+00   0.754026E+07   0.754025E+07   0.429661E+02
   0.706624E-04   0.159720E+08   0.159720E+08   0.205224E+08   0.204995E+08   0.000000E+00   0.159720E+08   0.159720E+08   0.159784E+08  -0.388110E+00   0.755256E+07   0.755255E+07   0.473938E+02
   0.780479E-04   0.159898E+08   0.159897E+08   0.203785E+08   0.203506E+08   0.000000E+00   0.159897E+08   0.159897E+08   0.159960E+08  -0.388807E+00   0.756751E+07   0.756750E+07   0.522626E+02
   0.862053E-04   0.160113E+08   0.160112E+08   0.202040E+08   0.201703E+08   0.000000E+00   0.160113E+08   0.160113E+08   0.160175E+08  -0.389652E+00   0.758566E+07   0.758564E+07   0.576111E+02
   0.952154E-04   0.160374E+08   0.160373E+08   0.199929E+08   0.199520E+08   0.000000E+00   0.160374E+08   0.160374E+08   0.160435E+08  -0.390676E+00   0.760767E+07   0.760765E+07   0.634796E+02
   0.105167E-03   0.160690E+08   0.160689E+08   0.197379E+08   0.196885E+08   0.000000E+00   0.160690E+08   0.160690E+08   0.160751E+08  -0.391913E+00   0.763432E+07   0.763430E+07   0.699091E+02
   0.116159E-03   0.161073E+08   0.161072E+08   0.194305E+08   0.193708E+08   0.000000E+00   0.161073E+08   0.161073E+08   0.161133E+08  -0.393407E+00   0.766655E+07   0.766652E+07   0.769406E+02
   0.128300E-03   0.161536E+08   0.161535E+08   0.190609E+08   0.189891E+08   0.000000E+00   0.161536E+08   0.161536E+08   0.161595E+08  -0.395206E+00   0.770544E+07   0.770541E+07   0.846134E+02
   0.141710E-03   0.162095E+08   0.162093E+08   0.186181E+08   0.185318E+08   0.000000E+00   0.162094E+08   0.162094E+08   0.162152E+08  -0.397365E+00   0.775226E+07   0.775222E+07   0.929635E+02
   0.156521E-03   0.162766E+08   0.162765E+08   0.180895E+08   0.179863E+08   0.000000E+00   0.162766E+08   0.162766E+08   0.162822E+08  -0.399949E+00   0.780847E+07   0.780842E+07   0.102020E+03
   0.172880E-03   0.163572E+08   0.163570E+08   0.174618E+08   0.173389E+08   0.000000E+00   0.163572E+08   0.163572E+08   0.163626E+08  -0.403027E+00   0.787570E+07   0.787564E+07   0.111804E+03
   0.190950E-03   0.164535E+08   0.164533E+08   0.167209E+08   0.165752E+08   0.000000E+00   0.164535E+08   0.164535E+08   0.164586E+08  -0.406676E+00   0.795578E+07   0.795571E+07   0.122320E+03
   0.210907E-03   0.165681E+08   0.165678E+08   0.158528E+08   0.156813E+08   0.000000E+00   0.165680E+08   0.165680E+08   0.165729E+08  -0.410974E+00   0.805068E+07   0.805060E+07   0.133552E+03
   0.232951E-03   0.167036E+08   0.167032E+08   0.148450E+08   0.146448E+08   0.000000E+00   0.167036E+08   0.167036E+08   0.167081E+08  -0.415998E+00   0.816243E+07   0.816233E+07   0.145458E+03
   0.257299E-03   0.168630E+08   0.168625E+08   0.136885E+08   0.134570E+08   0.000000E+00   0.168629E+08   0.168629E+08   0.168671E+08  -0.421818E+00   0.829303E+07   0.829291E+07   0.157958E+03
   0.284191E-03   0.170488E+08   0.170482E+08   0.123801E+08   0.121157E+08   0.000000E+00   0.170487E+08   0.170487E+08   0.170525E+08  -0.428488E+00   0.844428E+07   0.844414E+07   0.170924E+03
   0.313895E-03   0.172635E+08   0.172628E+08   0.109261E+08   0.106287E+08   0.000000E+00   0.172633E+08   0.172633E+08   0.172667E+08  -0.436031E+00   0.861754E+07   0.861736E+07   0.184173E+03
   0.346702E-03   0.175086E+08   0.175078E+08   0.934626E+07   0.901814E+07   0.000000E+00   0.175085E+08   0.175085E+08   0.175113E+08  -0.444428E+00   0.881340E+07   0.881320E+07   0.197452E+03
   0.382939E-03   0.177848E+08   0.177838E+08   0.767837E+07   0.732479E+07   0.000000E+00   0.177846E+08   0.177846E+08   0.177869E+08  -0.453608E+00   0.903142E+07   0.903118E+07   0.210434E+03
   0.422964E-03   0.180908E+08   0.180897E+08   0.598149E+07   0.561172E+07   0.000000E+00   0.180906E+08   0.180906E+08   0.180924E+08  -0.463427E+00   0.926967E+07   0.926939E+07   0.222712E+03
   0.467171E-03   0.184237E+08   0.184224E+08   0.433706E+07   0.396487E+07   0.000000E+00   0.184235E+08   0.184235E+08   0.184248E+08  -0.473677E+00   0.952453E+07   0.952420E+07   0.233811E+03
   0.515999E-03   0.187777E+08   0.187761E+08   0.284469E+07   0.248811E+07   0.000000E+00   0.187774E+08   0.187774E+08   0.187783E+08  -0.484088E+00   0.979056E+07   0.979018E+07   0.243203E+03
   0.569931E-03   0.191447E+08   0.191429E+08   0.160995E+07   0.128982E+07   0.000000E+00   0.191444E+08   0.191444E+08   0.191449E+08  -0.494360E+00   0.100607E+08   0.100603E+08   0.250350E+03
   0.629499E-03   0.195147E+08   0.195126E+08   0.722122E+06   0.458950E+06   0.000000E+00   0.195143E+08   0.195143E+08   0.195145E+08  -0.504208E+00   0.103272E+08   0.103267E+08   0.254755E+03
   0.695293E-03   0.198762E+08   0.198738E+08   0.223733E+06   0.328761E+05   0.000000E+00   0.198758E+08   0.198758E+08   0.198758E+08  -0.513414E+00   0.105821E+08   0.105816E+08   0.256035E+03
   0.767965E-03   0.202182E+08   0.202155E+08   0.809085E+05  -0.330150E+05   0.000000E+00   0.202178E+08   0.202178E+08   0.202178E+08  -0.521862E+00   0.108190E+08   0.108184E+08   0.253981E+03
   0.848231E-03   0.205316E+08   0.205286E+08   0.172798E+06   0.125774E+06   0.000000E+00   0.205311E+08   0.205311E+08   0.205312E+08  -0.529537E+00   0.110337E+08   0.110330E+08   0.248598E+03
   0.936887E-03   0.208102E+08   0.208069E+08   0.322533E+06   0.318882E+06   0.000000E+00   0.208097E+08   0.208097E+08   0.208098E+08  -0.536480E+00   0.112243E+08   0.112236E+08   0.240088E+03
   0.103481E-02   0.210509E+08   0.210473E+08   0.377200E+06   0.388530E+06   0.000000E+00   0.210503E+08   0.210503E+08   0.210504E+08  -0.542721E+00   0.113906E+08   0.113899E+08   0.228792E+03
   0.114297E-02   0.212529E+08   0.212490E+08   0.300620E+06   0.307444E+06   0.000000E+00   0.212523E+08   0.212523E+08   0.212523E+08  -0.548244E+00   0.115333E+08   0.115326E+08   0.215109E+03
   0.126243E-02   0.214169E+08   0.214129E+08   0.192632E+06   0.194226E+06   0.000000E+00   0.214162E+08   0.214162E+08   0.214163E+08  -0.553003E+00   0.116530E+08   0.116523E+08   0.199481E+03
   0.139437E-02   0.215442E+08   0.215400E+08   0.170551E+06   0.180659E+06   0.000000E+00   0.215435E+08   0.215435E+08   0.215435E+08  -0.556944E+00   0.117504E+08   0.117496E+08   0.182465E+03
   0.154011E-02   0.216360E+08   0.216318E+08   0.208737E+06   0.899404E+06   0.000000E+00   0.216353E+08   0.216353E+08   0.216355E+08  -0.560022E+00   0.118260E+08   0.118252E+08   0.164829E+03
   0.170108E-02   0.216940E+08   0.216897E+08   0.179166E+06   0.773375E+06   0.000000E+00   0.216933E+08   0.216933E+08   0.216934E+08  -0.562188E+00   0.118804E+08   0.118797E+08   0.147481E+03
   0.187888E-02   0.217195E+08   0.217152E+08   0.928451E+05   0.658536E+06   0.000000E+00   0.217188E+08   0.217188E+08   0.217189E+08  -0.563422E+00   0.119143E+08   0.119136E+08   0.131244E+03
