#    L    TT             EE             BB             TE          
     2    0.13640E+04    0.52599E-01    0.15881E-05    0.35453E+01
     3    0.13899E+04    0.85335E-01    0.31769E-05    0.45717E+01
     4    0.13243E+04    0.96545E-01    0.52963E-05    0.46740E+01
     5    0.12398E+04    0.86767E-01    0.79471E-05    0.42761E+01
     6    0.11609E+04    0.65244E-01    0.11130E-04    0.36718E+01
     7    0.10947E+04    0.42333E-01    0.14847E-04    0.30238E+01
     8    0.10415E+04    0.24721E-01    0.19100E-04    0.24242E+01
     9    0.99968E+03    0.14329E-01    0.23888E-04    0.19192E+01
    10    0.96748E+03    0.97251E-02    0.29216E-04    0.15299E+01
    11    0.94301E+03    0.82631E-02    0.35083E-04    0.12574E+01
    12    0.92573E+03    0.77853E-02    0.41493E-04    0.10928E+01
    13    0.91328E+03    0.71451E-02    0.48447E-04    0.10170E+01
    14    0.90423E+03    0.62952E-02    0.55948E-04    0.10074E+01
    15    0.89858E+03    0.55241E-02    0.63997E-04    0.10435E+01
    16    0.89646E+03    0.51033E-02    0.72597E-04    0.11063E+01
    17    0.89750E+03    0.51191E-02    0.81751E-04    0.11783E+01
    18    0.90046E+03    0.53998E-02    0.91460E-04    0.12461E+01
    19    0.90599E+03    0.57756E-02    0.10173E-03    0.13067E+01
    20    0.91227E+03    0.61644E-02    0.11256E-03    0.13569E+01
    21    0.91953E+03    0.65666E-02    0.12395E-03    0.13985E+01
    22    0.92796E+03    0.70868E-02    0.13590E-03    0.14338E+01
    23    0.93726E+03    0.78053E-02    0.14842E-03    0.14661E+01
    24    0.94739E+03    0.87528E-02    0.16151E-03    0.14989E+01
    25    0.95824E+03    0.99576E-02    0.17517E-03    0.15341E+01
    26    0.96962E+03    0.11400E-01    0.18940E-03    0.15739E+01
    27    0.98170E+03    0.13034E-01    0.20421E-03    0.16174E+01
    28    0.99428E+03    0.14840E-01    0.21959E-03    0.16637E+01
    29    0.10074E+04    0.16813E-01    0.23555E-03    0.17094E+01
    30    0.10209E+04    0.18959E-01    0.25208E-03    0.17501E+01
    31    0.10347E+04    0.21282E-01    0.26920E-03    0.17853E+01
    32    0.10490E+04    0.23774E-01    0.28689E-03    0.18147E+01
    33    0.10638E+04    0.26417E-01    0.30516E-03    0.18341E+01
    34    0.10790E+04    0.29213E-01    0.32401E-03    0.18406E+01
    35    0.10944E+04    0.32190E-01    0.34344E-03    0.18362E+01
    36    0.11099E+04    0.35381E-01    0.36346E-03    0.18225E+01
    37    0.11256E+04    0.38783E-01    0.38405E-03    0.17985E+01
    38    0.11417E+04    0.42392E-01    0.40522E-03    0.17648E+01
    39    0.11582E+04    0.46219E-01    0.42696E-03    0.17226E+01
    40    0.11749E+04    0.50284E-01    0.44929E-03    0.16729E+01
    41    0.11919E+04    0.54607E-01    0.47219E-03    0.16160E+01
    42    0.12090E+04    0.59191E-01    0.49567E-03    0.15506E+01
    43    0.12264E+04    0.64034E-01    0.51972E-03    0.14751E+01
    44    0.12437E+04    0.69119E-01    0.54435E-03    0.13888E+01
    45    0.12614E+04    0.74440E-01    0.56955E-03    0.12908E+01
    46    0.12793E+04    0.79994E-01    0.59532E-03    0.11789E+01
    47    0.12974E+04    0.85782E-01    0.62165E-03    0.10542E+01
    48    0.13155E+04    0.91813E-01    0.64856E-03    0.92112E+00
    49    0.13337E+04    0.98074E-01    0.67603E-03    0.78367E+00
    50    0.13525E+04    0.10454E+00    0.70406E-03    0.63899E+00
    51    0.13714E+04    0.11120E+00    0.73266E-03    0.48276E+00
    52    0.13908E+04    0.11812E+00    0.76181E-03    0.31031E+00
