#           k/h    P           
    0.10000E-03    0.43193E+03
    0.10202E-03    0.44038E+03
    0.10408E-03    0.44900E+03
    0.10618E-03    0.45779E+03
    0.10833E-03    0.46676E+03
    0.11052E-03    0.47590E+03
    0.11275E-03    0.48523E+03
    0.11503E-03    0.49475E+03
    0.11735E-03    0.50446E+03
    0.11972E-03    0.51436E+03
    0.12214E-03    0.52447E+03
    0.12461E-03    0.53477E+03
    0.12712E-03    0.54529E+03
    0.12969E-03    0.55602E+03
    0.13231E-03    0.56696E+03
    0.13499E-03    0.57813E+03
    0.13771E-03    0.58952E+03
    0.14049E-03    0.60115E+03
    0.14333E-03    0.61302E+03
    0.14623E-03    0.62512E+03
    0.14918E-03    0.63748E+03
    0.15220E-03    0.65008E+03
    0.15527E-03    0.66295E+03
    0.15841E-03    0.67609E+03
    0.16161E-03    0.68949E+03
    0.16487E-03    0.70317E+03
    0.16820E-03    0.71714E+03
    0.17160E-03    0.73139E+03
    0.17507E-03    0.74594E+03
    0.17860E-03    0.76080E+03
    0.18221E-03    0.77597E+03
    0.18589E-03    0.79146E+03
    0.18965E-03    0.80727E+03
    0.19348E-03    0.82342E+03
    0.19739E-03    0.83991E+03
    0.20138E-03    0.85675E+03
    0.20544E-03    0.87395E+03
    0.20959E-03    0.89152E+03
    0.21383E-03    0.90946E+03
    0.21815E-03    0.92779E+03
    0.22255E-03    0.94652E+03
    0.22705E-03    0.96565E+03
    0.23164E-03    0.98520E+03
    0.23632E-03    0.10052E+04
    0.24109E-03    0.10256E+04
    0.24596E-03    0.10465E+04
    0.25093E-03    0.10678E+04
    0.25600E-03    0.10896E+04
    0.26117E-03    0.11119E+04
    0.26645E-03    0.11346E+04
    0.27183E-03    0.11579E+04
    0.27732E-03    0.11817E+04
    0.28292E-03    0.12061E+04
    0.28864E-03    0.12310E+04
    0.29447E-03    0.12565E+04
    0.30042E-03    0.12825E+04
    0.30649E-03    0.13092E+04
    0.31268E-03    0.13364E+04
    0.31899E-03    0.13643E+04
    0.32544E-03    0.13929E+04
    0.33201E-03    0.14221E+04
    0.33872E-03    0.14520E+04
    0.34556E-03    0.14826E+04
    0.35254E-03    0.15139E+04
    0.35966E-03    0.15460E+04
    0.36693E-03    0.15788E+04
    0.37434E-03    0.16124E+04
    0.38190E-03    0.16469E+04
    0.38962E-03    0.16821E+04
    0.39749E-03    0.17183E+04
    0.40552E-03    0.17553E+04
    0.41371E-03    0.17932E+04
    0.42207E-03    0.18320E+04
    0.43060E-03    0.18718E+04
    0.43929E-03    0.19125E+04
    0.44817E-03    0.19543E+04
    0.45722E-03    0.19971E+04
    0.46646E-03    0.20410E+04
    0.47588E-03    0.20860E+04
    0.48550E-03    0.21320E+04
    0.49530E-03    0.21793E+04
    0.50531E-03    0.22277E+04
    0.51552E-03    0.22773E+04
    0.52593E-03    0.23282E+04
    0.53656E-03    0.23804E+04
    0.54739E-03    0.24339E+04
    0.55845E-03    0.24887E+04
    0.56973E-03    0.25449E+04
    0.58124E-03    0.26025E+04
    0.59299E-03    0.26615E+04
    0.60496E-03    0.27220E+04
    0.61719E-03    0.27841E+04
    0.62965E-03    0.28477E+04
    0.64237E-03    0.29128E+04
    0.65535E-03    0.29796E+04
    0.66859E-03    0.30480E+04
    0.68210E-03    0.31181E+04
    0.69588E-03    0.31899E+04
    0.70993E-03    0.32634E+04
    0.72427E-03    0.33388E+04
    0.73891E-03    0.34159E+04
    0.75383E-03    0.34948E+04
    0.76906E-03    0.35757E+04
    0.78460E-03    0.36584E+04
    0.80045E-03    0.37430E+04
    0.81662E-03    0.38296E+04
    0.83311E-03    0.39181E+04
    0.84994E-03    0.40087E+04
    0.86711E-03    0.41012E+04
    0.88463E-03    0.41958E+04
    0.90250E-03    0.42925E+04
    0.92073E-03    0.43913E+04
    0.93933E-03    0.44921E+04
    0.95831E-03    0.45951E+04
    0.97767E-03    0.47001E+04
    0.99742E-03    0.48074E+04
    0.10176E-02    0.49168E+04
    0.10381E-02    0.50284E+04
    0.10591E-02    0.51422E+04
    0.10805E-02    0.52582E+04
    0.11023E-02    0.53764E+04
    0.11246E-02    0.54968E+04
    0.11473E-02    0.56195E+04
    0.11705E-02    0.57444E+04
    0.11941E-02    0.58716E+04
    0.12182E-02    0.60011E+04
    0.12429E-02    0.61330E+04
    0.12680E-02    0.62671E+04
    0.12936E-02    0.64035E+04
    0.13197E-02    0.65423E+04
    0.13464E-02    0.66835E+04
    0.13736E-02    0.68270E+04
    0.14013E-02    0.69729E+04
