#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.13640E+04    0.35453E+01   -0.29196E-02    0.35453E+01    0.52598E-01   -0.71144E-05   -0.29196E-02   -0.71144E-05    0.16210E-07
     3    0.13899E+04    0.45717E+01   -0.22706E-02    0.45717E+01    0.85332E-01   -0.60547E-05   -0.22706E-02   -0.60547E-05    0.95616E-08
     4    0.13243E+04    0.46740E+01   -0.17663E-02    0.46740E+01    0.96540E-01   -0.47250E-05   -0.17663E-02   -0.47250E-05    0.63970E-08
     5    0.12398E+04    0.42761E+01   -0.13942E-02    0.42761E+01    0.86759E-01   -0.34425E-05   -0.13942E-02   -0.34425E-05    0.46117E-08
     6    0.11609E+04    0.36718E+01   -0.11185E-02    0.36718E+01    0.65232E-01   -0.23200E-05   -0.11185E-02   -0.23200E-05    0.34927E-08
     7    0.10947E+04    0.30238E+01   -0.91111E-03    0.30238E+01    0.42318E-01   -0.14012E-05   -0.91111E-03   -0.14012E-05    0.27410E-08
     8    0.10414E+04    0.24242E+01   -0.75270E-03    0.24242E+01    0.24702E-01   -0.69738E-06   -0.75270E-03   -0.69738E-06    0.22095E-08
     9    0.99963E+03    0.19192E+01   -0.62988E-03    0.19192E+01    0.14305E-01   -0.20590E-06   -0.62988E-03   -0.20590E-06    0.18191E-08
    10    0.96742E+03    0.15299E+01   -0.53281E-03    0.15299E+01    0.96959E-02    0.92439E-07   -0.53281E-03    0.92439E-07    0.15232E-08
    11    0.94293E+03    0.12574E+01   -0.45477E-03    0.12574E+01    0.82280E-02    0.23664E-06   -0.45477E-03    0.23664E-06    0.12938E-08
    12    0.92564E+03    0.10928E+01   -0.39098E-03    0.10928E+01    0.77438E-02    0.27431E-06   -0.39098E-03    0.27431E-06    0.11116E-08
    13    0.91318E+03    0.10170E+01   -0.33842E-03    0.10170E+01    0.70967E-02    0.23985E-06   -0.33842E-03    0.23985E-06    0.96501E-09
    14    0.90411E+03    0.10074E+01   -0.29462E-03    0.10074E+01    0.62392E-02    0.16251E-06   -0.29462E-03    0.16251E-06    0.84493E-09
    15    0.89844E+03    0.10435E+01   -0.25796E-03    0.10435E+01    0.54602E-02    0.66593E-07   -0.25796E-03    0.66593E-07    0.74552E-09
    16    0.89631E+03    0.11064E+01   -0.22709E-03    0.11064E+01    0.50307E-02   -0.25958E-07   -0.22709E-03   -0.25958E-07    0.66216E-09
    17    0.89733E+03    0.11784E+01   -0.20093E-03    0.11784E+01    0.50373E-02   -0.97522E-07   -0.20093E-03   -0.97522E-07    0.59170E-09
    18    0.90028E+03    0.12462E+01   -0.17856E-03    0.12462E+01    0.53083E-02   -0.13620E-06   -0.17856E-03   -0.13620E-06    0.53154E-09
    19    0.90579E+03    0.13068E+01   -0.15933E-03    0.13068E+01    0.56739E-02   -0.14866E-06   -0.15933E-03   -0.14866E-06    0.47982E-09
    20    0.91204E+03    0.13570E+01   -0.14266E-03    0.13570E+01    0.60519E-02   -0.14496E-06   -0.14266E-03   -0.14496E-06    0.43496E-09
