#    L    TT             EE             BB             TE          
     2    0.11633E+04    0.67570E-01    0.24191E-01    0.35771E+01
     3    0.11913E+04    0.10496E+00    0.27919E-01    0.42477E+01
     4    0.11925E+04    0.11765E+00    0.27532E-01    0.41868E+01
     5    0.11793E+04    0.10637E+00    0.24347E-01    0.37094E+01
     6    0.11643E+04    0.81563E-01    0.19837E-01    0.30972E+01
     7    0.11526E+04    0.54815E-01    0.15201E-01    0.24911E+01
     8    0.11452E+04    0.33733E-01    0.11197E-01    0.19548E+01
     9    0.11420E+04    0.20730E-01    0.81506E-02    0.15115E+01
    10    0.11423E+04    0.14492E-01    0.60966E-02    0.11742E+01
    11    0.11448E+04    0.12256E-01    0.49187E-02    0.94119E+00
    12    0.11496E+04    0.11644E-01    0.44290E-02    0.80409E+00
    13    0.11555E+04    0.11293E-01    0.44385E-02    0.74368E+00
    14    0.11621E+04    0.10969E-01    0.47753E-02    0.73737E+00
    15    0.11701E+04    0.10859E-01    0.53237E-02    0.76715E+00
    16    0.11800E+04    0.11165E-01    0.59932E-02    0.81657E+00
    17    0.11914E+04    0.11948E-01    0.67381E-02    0.86778E+00
    18    0.12031E+04    0.13026E-01    0.75279E-02    0.90760E+00
    19    0.12157E+04    0.14231E-01    0.83492E-02    0.93613E+00
    20    0.12279E+04    0.15482E-01    0.91943E-02    0.95343E+00
    21    0.12399E+04    0.16780E-01    0.10062E-01    0.96050E+00
    22    0.12522E+04    0.18226E-01    0.10953E-01    0.95793E+00
    23    0.12647E+04    0.19901E-01    0.11865E-01    0.94879E+00
    24    0.12774E+04    0.21833E-01    0.12795E-01    0.93668E+00
    25    0.12903E+04    0.24047E-01    0.13740E-01    0.92482E+00
    26    0.13032E+04    0.26518E-01    0.14701E-01    0.91700E+00
    27    0.13163E+04    0.29195E-01    0.15676E-01    0.91247E+00
    28    0.13294E+04    0.32053E-01    0.16665E-01    0.90989E+00
    29    0.13428E+04    0.35099E-01    0.17667E-01    0.90502E+00
    30    0.13561E+04    0.38351E-01    0.18682E-01    0.89268E+00
    31    0.13694E+04    0.41810E-01    0.19709E-01    0.87335E+00
    32    0.13830E+04    0.45460E-01    0.20749E-01    0.84774E+00
    33    0.13968E+04    0.49280E-01    0.21800E-01    0.81191E+00
    34    0.14106E+04    0.53266E-01    0.22861E-01    0.76278E+00
    35    0.14246E+04    0.57447E-01    0.23929E-01    0.70215E+00
    36    0.14384E+04    0.61860E-01    0.25000E-01    0.63157E+00
    37    0.14523E+04    0.66499E-01    0.26077E-01    0.55050E+00
    38    0.14665E+04    0.71361E-01    0.27162E-01    0.46009E+00
    39    0.14809E+04    0.76453E-01    0.28252E-01    0.36146E+00
    40    0.14953E+04    0.81794E-01    0.29344E-01    0.25556E+00
    41    0.15098E+04    0.87403E-01    0.30436E-01    0.14272E+00
    42    0.15243E+04    0.93283E-01    0.31525E-01    0.21725E-01
    43    0.15388E+04    0.99430E-01    0.32612E-01   -0.10901E+00
    44    0.15532E+04    0.10583E+00    0.33695E-01   -0.25017E+00
    45    0.15679E+04    0.11247E+00    0.34772E-01   -0.40239E+00
