#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11633E+04    0.67569E-01    0.24190E-01    0.35771E+01    0.71498E-07    0.12445E-02   -0.17159E-04
     3    0.11913E+04    0.10495E+00    0.27916E-01    0.42477E+01    0.87295E-07    0.36326E-03   -0.20982E-04
     4    0.11925E+04    0.11765E+00    0.27527E-01    0.41868E+01    0.10019E-06   -0.14081E-03   -0.21235E-04
     5    0.11793E+04    0.10636E+00    0.24339E-01    0.37094E+01    0.11102E-06   -0.44477E-03   -0.18988E-04
     6    0.11642E+04    0.81552E-01    0.19826E-01    0.30972E+01    0.12020E-06   -0.63853E-03   -0.15178E-04
     7    0.11525E+04    0.54800E-01    0.15186E-01    0.24911E+01    0.12808E-06   -0.76720E-03   -0.10635E-04
     8    0.11452E+04    0.33714E-01    0.11178E-01    0.19548E+01    0.13488E-06   -0.85909E-03   -0.60714E-05
     9    0.11420E+04    0.20706E-01    0.81263E-02    0.15115E+01    0.14080E-06   -0.92944E-03   -0.21101E-05
    10    0.11422E+04    0.14462E-01    0.60668E-02    0.11742E+01    0.14593E-06   -0.98163E-03    0.81037E-06
    11    0.11447E+04    0.12221E-01    0.48830E-02    0.94120E+00    0.15044E-06   -0.10158E-02    0.25572E-05
    12    0.11495E+04    0.11602E-01    0.43868E-02    0.80411E+00    0.15437E-06   -0.10344E-02    0.32578E-05
    13    0.11554E+04    0.11244E-01    0.43892E-02    0.74371E+00    0.15778E-06   -0.10426E-02    0.30792E-05
    14    0.11620E+04    0.10912E-01    0.47184E-02    0.73741E+00    0.16076E-06   -0.10453E-02    0.21993E-05
    15    0.11699E+04    0.10794E-01    0.52586E-02    0.76720E+00    0.16335E-06   -0.10443E-02    0.88016E-06
    16    0.11798E+04    0.11091E-01    0.59194E-02    0.81663E+00    0.16559E-06   -0.10400E-02   -0.58660E-06
    17    0.11913E+04    0.11865E-01    0.66549E-02    0.86786E+00    0.16753E-06   -0.10318E-02   -0.18567E-05
    18    0.12029E+04    0.12933E-01    0.74349E-02    0.90770E+00    0.16920E-06   -0.10191E-02   -0.26567E-05
    19    0.12155E+04    0.14127E-01    0.82457E-02    0.93625E+00    0.17062E-06   -0.10043E-02   -0.30346E-05
    20    0.12276E+04    0.15368E-01    0.90798E-02    0.95358E+00    0.17181E-06   -0.98992E-03   -0.31039E-05
    21    0.12396E+04    0.16654E-01    0.99362E-02    0.96067E+00    0.17280E-06   -0.97556E-03   -0.29311E-05
    22    0.12520E+04    0.18088E-01    0.10815E-01    0.95814E+00    0.17360E-06   -0.96033E-03   -0.25663E-05
    23    0.12644E+04    0.19750E-01    0.11714E-01    0.94903E+00    0.17425E-06   -0.94355E-03   -0.20433E-05
    24    0.12771E+04    0.21669E-01    0.12630E-01    0.93697E+00    0.17474E-06   -0.92497E-03   -0.14213E-05
    25    0.12900E+04    0.23869E-01    0.13562E-01    0.92515E+00    0.17509E-06   -0.90575E-03   -0.87872E-06
    26    0.13028E+04    0.26326E-01    0.14508E-01    0.91738E+00    0.17533E-06   -0.88706E-03   -0.58071E-06
    27    0.13159E+04    0.28987E-01    0.15468E-01    0.91290E+00    0.17545E-06   -0.86855E-03   -0.52455E-06
    28    0.13290E+04    0.31830E-01    0.16441E-01    0.91038E+00    0.17548E-06   -0.84959E-03   -0.65149E-06
    29    0.13423E+04    0.34860E-01    0.17428E-01    0.90557E+00    0.17540E-06   -0.82976E-03   -0.84444E-06
    30    0.13557E+04    0.38095E-01    0.18425E-01    0.89330E+00    0.17523E-06   -0.80892E-03   -0.10018E-05
    31    0.13689E+04    0.41537E-01    0.19435E-01    0.87405E+00    0.17498E-06   -0.78779E-03   -0.11394E-05
    32    0.13824E+04    0.45170E-01    0.20457E-01    0.84851E+00    0.17465E-06   -0.76715E-03   -0.12928E-05
    33    0.13962E+04    0.48971E-01    0.21490E-01    0.81277E+00    0.17427E-06   -0.74703E-03   -0.14594E-05
    34    0.14100E+04    0.52938E-01    0.22532E-01    0.76373E+00    0.17382E-06   -0.72734E-03   -0.16140E-05
    35    0.14239E+04    0.57100E-01    0.23580E-01    0.70319E+00    0.17332E-06   -0.70818E-03   -0.16793E-05
