#           k/h    P           
    0.10000E-03    0.33355E+03
    0.10202E-03    0.34029E+03
    0.10408E-03    0.34718E+03
    0.10618E-03    0.35422E+03
    0.10833E-03    0.36141E+03
    0.11052E-03    0.36876E+03
    0.11275E-03    0.37628E+03
    0.11503E-03    0.38396E+03
    0.11735E-03    0.39182E+03
    0.11972E-03    0.39985E+03
    0.12214E-03    0.40806E+03
    0.12461E-03    0.41646E+03
    0.12712E-03    0.42506E+03
    0.12969E-03    0.43384E+03
    0.13231E-03    0.44284E+03
    0.13499E-03    0.45204E+03
    0.13771E-03    0.46145E+03
    0.14049E-03    0.47109E+03
    0.14333E-03    0.48095E+03
    0.14623E-03    0.49105E+03
    0.14918E-03    0.50139E+03
    0.15220E-03    0.51198E+03
    0.15527E-03    0.52282E+03
    0.15841E-03    0.53393E+03
    0.16161E-03    0.54531E+03
    0.16487E-03    0.55697E+03
    0.16820E-03    0.56892E+03
    0.17160E-03    0.58117E+03
    0.17507E-03    0.59373E+03
    0.17860E-03    0.60660E+03
    0.18221E-03    0.61980E+03
    0.18589E-03    0.63335E+03
    0.18965E-03    0.64724E+03
    0.19348E-03    0.66149E+03
    0.19739E-03    0.67611E+03
    0.20138E-03    0.69112E+03
    0.20544E-03    0.70653E+03
    0.20959E-03    0.72236E+03
    0.21383E-03    0.73861E+03
    0.21815E-03    0.75529E+03
    0.22255E-03    0.77244E+03
    0.22705E-03    0.79005E+03
    0.23164E-03    0.80816E+03
    0.23632E-03    0.82677E+03
    0.24109E-03    0.84590E+03
    0.24596E-03    0.86557E+03
    0.25093E-03    0.88580E+03
    0.25600E-03    0.90660E+03
    0.26117E-03    0.92801E+03
    0.26645E-03    0.95003E+03
    0.27183E-03    0.97270E+03
    0.27732E-03    0.99603E+03
    0.28292E-03    0.10200E+04
    0.28864E-03    0.10448E+04
    0.29447E-03    0.10702E+04
    0.30042E-03    0.10965E+04
    0.30649E-03    0.11235E+04
    0.31268E-03    0.11513E+04
    0.31899E-03    0.11800E+04
    0.32544E-03    0.12095E+04
    0.33201E-03    0.12399E+04
    0.33872E-03    0.12713E+04
    0.34556E-03    0.13036E+04
    0.35254E-03    0.13369E+04
    0.35966E-03    0.13713E+04
    0.36693E-03    0.14066E+04
    0.37434E-03    0.14431E+04
    0.38190E-03    0.14807E+04
    0.38962E-03    0.15195E+04
    0.39749E-03    0.15594E+04
    0.40552E-03    0.16006E+04
    0.41371E-03    0.16430E+04
    0.42207E-03    0.16867E+04
    0.43060E-03    0.17318E+04
    0.43929E-03    0.17782E+04
    0.44817E-03    0.18260E+04
    0.45722E-03    0.18753E+04
    0.46646E-03    0.19260E+04
    0.47588E-03    0.19782E+04
    0.48550E-03    0.20319E+04
    0.49530E-03    0.20873E+04
    0.50531E-03    0.21442E+04
    0.51552E-03    0.22027E+04
    0.52593E-03    0.22630E+04
    0.53656E-03    0.23249E+04
    0.54739E-03    0.23885E+04
    0.55845E-03    0.24538E+04
    0.56973E-03    0.25210E+04
    0.58124E-03    0.25899E+04
    0.59299E-03    0.26606E+04
    0.60496E-03    0.27332E+04
    0.61719E-03    0.28076E+04
    0.62965E-03    0.28839E+04
    0.64237E-03    0.29621E+04
    0.65535E-03    0.30421E+04
    0.66859E-03    0.31241E+04
    0.68210E-03    0.32080E+04
    0.69588E-03    0.32938E+04
    0.70993E-03    0.33816E+04
    0.72427E-03    0.34713E+04
    0.73891E-03    0.35630E+04
    0.75383E-03    0.36566E+04
