#    L    TT             EE             BB             TE          
     2    0.45521E+03    0.15116E-01    0.24190E-01    0.26856E+00
     3    0.38898E+03    0.19580E-01    0.27916E-01   -0.40228E+00
     4    0.36618E+03    0.21029E-01    0.27527E-01   -0.62785E+00
     5    0.35562E+03    0.19543E-01    0.24339E-01   -0.67211E+00
     6    0.35064E+03    0.16280E-01    0.19826E-01   -0.63092E+00
     7    0.34871E+03    0.12462E-01    0.15186E-01   -0.55446E+00
     8    0.34843E+03    0.90042E-02    0.11178E-01   -0.47395E+00
     9    0.34908E+03    0.64008E-02    0.81263E-02   -0.40423E+00
    10    0.35032E+03    0.47708E-02    0.60668E-02   -0.34743E+00
    11    0.35169E+03    0.39978E-02    0.48830E-02   -0.30650E+00
    12    0.35255E+03    0.38623E-02    0.43868E-02   -0.28112E+00
    13    0.35316E+03    0.41503E-02    0.43892E-02   -0.26897E+00
    14    0.35397E+03    0.46752E-02    0.47184E-02   -0.26769E+00
    15    0.35509E+03    0.53349E-02    0.52586E-02   -0.27544E+00
    16    0.35650E+03    0.60601E-02    0.59194E-02   -0.29067E+00
    17    0.35782E+03    0.68267E-02    0.66549E-02   -0.31223E+00
    18    0.35871E+03    0.76243E-02    0.74349E-02   -0.33900E+00
    19    0.35917E+03    0.84534E-02    0.82457E-02   -0.36947E+00
    20    0.35930E+03    0.93165E-02    0.90798E-02   -0.40244E+00
    21    0.35915E+03    0.10212E-01    0.99362E-02   -0.43814E+00
    22    0.35876E+03    0.11137E-01    0.10815E-01   -0.47700E+00
    23    0.35817E+03    0.12093E-01    0.11714E-01   -0.51864E+00
    24    0.35740E+03    0.13078E-01    0.12630E-01   -0.56254E+00
    25    0.35646E+03    0.14088E-01    0.13562E-01   -0.60841E+00
    26    0.35534E+03    0.15117E-01    0.14508E-01   -0.65594E+00
    27    0.35405E+03    0.16158E-01    0.15468E-01   -0.70464E+00
    28    0.35263E+03    0.17210E-01    0.16441E-01   -0.75417E+00
    29    0.35106E+03    0.18282E-01    0.17428E-01   -0.80505E+00
    30    0.34934E+03    0.19388E-01    0.18425E-01   -0.85773E+00
    31    0.34748E+03    0.20524E-01    0.19435E-01   -0.91174E+00
    32    0.34549E+03    0.21683E-01    0.20457E-01   -0.96646E+00
    33    0.34338E+03    0.22859E-01    0.21490E-01   -0.10218E+01
    34    0.34117E+03    0.24049E-01    0.22532E-01   -0.10778E+01
    35    0.33884E+03    0.25253E-01    0.23580E-01   -0.11343E+01
    36    0.33637E+03    0.26474E-01    0.24631E-01   -0.11912E+01
    37    0.33380E+03    0.27711E-01    0.25687E-01   -0.12481E+01
    38    0.33114E+03    0.28964E-01    0.26750E-01   -0.13047E+01
    39    0.32839E+03    0.30229E-01    0.27818E-01   -0.13610E+01
    40    0.32554E+03    0.31505E-01    0.28887E-01   -0.14171E+01
    41    0.32260E+03    0.32791E-01    0.29956E-01   -0.14731E+01
    42    0.31956E+03    0.34086E-01    0.31022E-01   -0.15288E+01
    43    0.31643E+03    0.35389E-01    0.32084E-01   -0.15842E+01
    44    0.31322E+03    0.36701E-01    0.33141E-01   -0.16391E+01
    45    0.30994E+03    0.38022E-01    0.34193E-01   -0.16934E+01
    46    0.30657E+03    0.39350E-01    0.35238E-01   -0.17470E+01
    47    0.30315E+03    0.40684E-01    0.36276E-01   -0.17997E+01
    48    0.29965E+03    0.42022E-01    0.37304E-01   -0.18516E+01
    49    0.29610E+03    0.43362E-01    0.38321E-01   -0.19025E+01
    50    0.29248E+03    0.44702E-01    0.39327E-01   -0.19522E+01
    51    0.28881E+03    0.46041E-01    0.40319E-01   -0.20008E+01
    52    0.28509E+03    0.47376E-01    0.41298E-01   -0.20482E+01
    53    0.28131E+03    0.48708E-01    0.42261E-01   -0.20943E+01
    54    0.27749E+03    0.50036E-01    0.43209E-01   -0.21391E+01
    55    0.27362E+03    0.51358E-01    0.44140E-01   -0.21825E+01
    56    0.26971E+03    0.52673E-01    0.45054E-01   -0.22244E+01
    57    0.26577E+03    0.53982E-01    0.45948E-01   -0.22649E+01
    58    0.26178E+03    0.55283E-01    0.46824E-01   -0.23038E+01
    59    0.25776E+03    0.56575E-01    0.47679E-01   -0.23411E+01
    60    0.25372E+03    0.57858E-01    0.48513E-01   -0.23767E+01
    61    0.24965E+03    0.59131E-01    0.49325E-01   -0.24107E+01
    62    0.24557E+03    0.60392E-01    0.50114E-01   -0.24429E+01
    63    0.24146E+03    0.61641E-01    0.50881E-01   -0.24734E+01
    64    0.23734E+03    0.62876E-01    0.51624E-01   -0.25022E+01
    65    0.23321E+03    0.64096E-01    0.52342E-01   -0.25293E+01
    66    0.22906E+03    0.65301E-01    0.53037E-01   -0.25546E+01
    67    0.22491E+03    0.66488E-01    0.53706E-01   -0.25782E+01
    68    0.22075E+03    0.67657E-01    0.54349E-01   -0.25999E+01
    69    0.21660E+03    0.68806E-01    0.54965E-01   -0.26197E+01
    70    0.21244E+03    0.69935E-01    0.55554E-01   -0.26375E+01
    71    0.20829E+03    0.71042E-01    0.56116E-01   -0.26533E+01
    72    0.20414E+03    0.72128E-01    0.56650E-01   -0.26671E+01
    73    0.20000E+03    0.73194E-01    0.57156E-01   -0.26791E+01
    74    0.19587E+03    0.74239E-01    0.57634E-01   -0.26894E+01
    75    0.19176E+03    0.75264E-01    0.58086E-01   -0.26980E+01
    76    0.18766E+03    0.76269E-01    0.58511E-01   -0.27050E+01
    77    0.18358E+03    0.77252E-01    0.58908E-01   -0.27104E+01
    78    0.17952E+03    0.78210E-01    0.59277E-01   -0.27141E+01
    79    0.17549E+03    0.79140E-01    0.59617E-01   -0.27159E+01
    80    0.17147E+03    0.80039E-01    0.59928E-01   -0.27158E+01
    81    0.16749E+03    0.80906E-01    0.60210E-01   -0.27136E+01
    82    0.16353E+03    0.81741E-01    0.60463E-01   -0.27094E+01
    83    0.15960E+03    0.82544E-01    0.60687E-01   -0.27034E+01
    84    0.15571E+03    0.83317E-01    0.60882E-01   -0.26957E+01
    85    0.15185E+03    0.84062E-01    0.61048E-01   -0.26864E+01
    86    0.14802E+03    0.84778E-01    0.61187E-01   -0.26756E+01
    87    0.14423E+03    0.85466E-01    0.61297E-01   -0.26633E+01
    88    0.14048E+03    0.86124E-01    0.61379E-01   -0.26496E+01
    89    0.13677E+03    0.86750E-01    0.61432E-01   -0.26344E+01
    90    0.13311E+03    0.87343E-01    0.61458E-01   -0.26178E+01
    91    0.12949E+03    0.87903E-01    0.61455E-01   -0.25996E+01
    92    0.12592E+03    0.88430E-01    0.61424E-01   -0.25801E+01
