#    L    TT             EE             BB             TE          
     2    0.11633E+04    0.67569E-01    0.24190E-01    0.35771E+01
     3    0.11913E+04    0.10495E+00    0.27916E-01    0.42477E+01
     4    0.11925E+04    0.11765E+00    0.27527E-01    0.41868E+01
     5    0.11793E+04    0.10636E+00    0.24339E-01    0.37094E+01
     6    0.11642E+04    0.81552E-01    0.19826E-01    0.30972E+01
     7    0.11525E+04    0.54800E-01    0.15186E-01    0.24911E+01
     8    0.11452E+04    0.33714E-01    0.11178E-01    0.19548E+01
     9    0.11420E+04    0.20706E-01    0.81263E-02    0.15115E+01
    10    0.11422E+04    0.14462E-01    0.60668E-02    0.11742E+01
    11    0.11447E+04    0.12221E-01    0.48830E-02    0.94120E+00
    12    0.11495E+04    0.11602E-01    0.43868E-02    0.80411E+00
    13    0.11554E+04    0.11244E-01    0.43892E-02    0.74371E+00
    14    0.11620E+04    0.10912E-01    0.47184E-02    0.73741E+00
    15    0.11699E+04    0.10794E-01    0.52586E-02    0.76720E+00
    16    0.11798E+04    0.11091E-01    0.59194E-02    0.81663E+00
    17    0.11913E+04    0.11865E-01    0.66549E-02    0.86786E+00
    18    0.12029E+04    0.12933E-01    0.74349E-02    0.90770E+00
    19    0.12155E+04    0.14127E-01    0.82457E-02    0.93625E+00
    20    0.12276E+04    0.15368E-01    0.90798E-02    0.95358E+00
    21    0.12396E+04    0.16654E-01    0.99362E-02    0.96067E+00
    22    0.12520E+04    0.18088E-01    0.10815E-01    0.95814E+00
    23    0.12644E+04    0.19750E-01    0.11714E-01    0.94903E+00
    24    0.12771E+04    0.21669E-01    0.12630E-01    0.93697E+00
    25    0.12900E+04    0.23869E-01    0.13562E-01    0.92515E+00
    26    0.13028E+04    0.26326E-01    0.14508E-01    0.91738E+00
    27    0.13159E+04    0.28987E-01    0.15468E-01    0.91290E+00
    28    0.13290E+04    0.31830E-01    0.16441E-01    0.91038E+00
    29    0.13423E+04    0.34860E-01    0.17428E-01    0.90557E+00
    30    0.13557E+04    0.38095E-01    0.18425E-01    0.89330E+00
    31    0.13689E+04    0.41537E-01    0.19435E-01    0.87405E+00
    32    0.13824E+04    0.45170E-01    0.20457E-01    0.84851E+00
