#    L    TT             EE             BB             TE             PP             TP             EP          
     2    0.11339E+04    0.55005E-01    0.00000E+00    0.33968E+01    0.48959E-07    0.34569E-02   -0.16395E-04
     3    0.10548E+04    0.88399E-01    0.00000E+00    0.42445E+01    0.59585E-07    0.34387E-02   -0.19885E-04
     4    0.98154E+03    0.97723E-01    0.00000E+00    0.43492E+01    0.68652E-07    0.33489E-02   -0.19814E-04
     5    0.92514E+03    0.85193E-01    0.00000E+00    0.40163E+01    0.76511E-07    0.32321E-02   -0.17238E-04
     6    0.88412E+03    0.61836E-01    0.00000E+00    0.34809E+01    0.83361E-07    0.31069E-02   -0.13109E-04
     7    0.85552E+03    0.38710E-01    0.00000E+00    0.28914E+01    0.89384E-07    0.29832E-02   -0.83411E-05
     8    0.83611E+03    0.22106E-01    0.00000E+00    0.23376E+01    0.94706E-07    0.28616E-02   -0.37546E-05
     9    0.82374E+03    0.13061E-01    0.00000E+00    0.18649E+01    0.99438E-07    0.27415E-02    0.10046E-07
    10    0.81683E+03    0.94218E-02    0.00000E+00    0.14976E+01    0.10365E-06    0.26250E-02    0.26146E-05
    11    0.81379E+03    0.83113E-02    0.00000E+00    0.12435E+01    0.10742E-06    0.25171E-02    0.40231E-05
    12    0.81473E+03    0.77557E-02    0.00000E+00    0.11000E+01    0.11079E-06    0.24194E-02    0.43451E-05
    13    0.81786E+03    0.69162E-02    0.00000E+00    0.10430E+01    0.11379E-06    0.23305E-02    0.37528E-05
    14    0.82224E+03    0.60018E-02    0.00000E+00    0.10436E+01    0.11648E-06    0.22487E-02    0.24698E-05
    15    0.82812E+03    0.53051E-02    0.00000E+00    0.10826E+01    0.11889E-06    0.21711E-02    0.91331E-06
    16    0.83587E+03    0.50315E-02    0.00000E+00    0.11445E+01    0.12105E-06    0.20956E-02   -0.50890E-06
    17    0.84540E+03    0.51749E-02    0.00000E+00    0.12145E+01    0.12297E-06    0.20233E-02   -0.15885E-05
    18    0.85575E+03    0.54915E-02    0.00000E+00    0.12811E+01    0.12469E-06    0.19557E-02   -0.22154E-05
    19    0.86775E+03    0.58484E-02    0.00000E+00    0.13389E+01    0.12622E-06    0.18922E-02   -0.24718E-05
