#    L    TT             EE             TE             PP             TP          
     2    0.11339E+04    0.55005E-01    0.33968E+01    0.10156E+07    0.32224E+05
     3    0.10548E+04    0.88399E-01    0.42445E+01    0.15643E+07    0.38249E+05
     4    0.98154E+03    0.97723E-01    0.43492E+01    0.20507E+07    0.41036E+05
     5    0.92514E+03    0.85193E-01    0.40163E+01    0.24799E+07    0.42105E+05
     6    0.88412E+03    0.61836E-01    0.34809E+01    0.28585E+07    0.42222E+05
     7    0.85552E+03    0.38710E-01    0.28914E+01    0.31941E+07    0.41814E+05
     8    0.83611E+03    0.22106E-01    0.23376E+01    0.34926E+07    0.41068E+05
     9    0.82374E+03    0.13061E-01    0.18649E+01    0.37593E+07    0.40085E+05
    10    0.81683E+03    0.94218E-02    0.14976E+01    0.39979E+07    0.38964E+05
    11    0.81379E+03    0.83113E-02    0.12435E+01    0.42130E+07    0.37831E+05
    12    0.81473E+03    0.77557E-02    0.11000E+01    0.44060E+07    0.36745E+05
    13    0.81786E+03    0.69162E-02    0.10430E+01    0.45794E+07    0.35711E+05
    14    0.82224E+03    0.60018E-02    0.10436E+01    0.47360E+07    0.34722E+05
    15    0.82812E+03    0.53051E-02    0.10826E+01    0.48772E+07    0.33749E+05
    16    0.83587E+03    0.50315E-02    0.11445E+01    0.50045E+07    0.32767E+05
    17    0.84540E+03    0.51749E-02    0.12145E+01    0.51195E+07    0.31802E+05
    18    0.85575E+03    0.54915E-02    0.12811E+01    0.52234E+07    0.30883E+05
    19    0.86775E+03    0.58484E-02    0.13389E+01    0.53169E+07    0.30004E+05
    20    0.87971E+03    0.62240E-02    0.13828E+01    0.54006E+07    0.29153E+05
    21    0.89200E+03    0.66637E-02    0.14190E+01    0.54757E+07    0.28324E+05
    22    0.90486E+03    0.72998E-02    0.14537E+01    0.55431E+07    0.27514E+05
    23    0.91811E+03    0.81862E-02    0.14887E+01    0.56034E+07    0.26731E+05
    24    0.93181E+03    0.93178E-02    0.15249E+01    0.56569E+07    0.25984E+05
    25    0.94589E+03    0.10705E-01    0.15639E+01    0.57043E+07    0.25272E+05
    26    0.96018E+03    0.12316E-01    0.16081E+01    0.57461E+07    0.24594E+05
    27    0.97489E+03    0.14107E-01    0.16547E+01    0.57828E+07    0.23944E+05
    28    0.98988E+03    0.16064E-01    0.17010E+01    0.58148E+07    0.23316E+05
    29    0.10052E+04    0.18197E-01    0.17449E+01    0.58421E+07    0.22715E+05
    30    0.10208E+04    0.20522E-01    0.17833E+01    0.58649E+07    0.22145E+05
    31    0.10365E+04    0.23025E-01    0.18140E+01    0.58837E+07    0.21600E+05
    32    0.10526E+04    0.25680E-01    0.18347E+01    0.58990E+07    0.21073E+05
    33    0.10690E+04    0.28496E-01    0.18425E+01    0.59112E+07    0.20561E+05
    34    0.10856E+04    0.31502E-01    0.18367E+01    0.59202E+07    0.20059E+05
    35    0.11024E+04    0.34722E-01    0.18214E+01    0.59263E+07    0.19568E+05
    36    0.11193E+04    0.38179E-01    0.17997E+01    0.59298E+07    0.19089E+05
    37    0.11363E+04    0.41863E-01    0.17679E+01    0.59308E+07    0.18634E+05
    38    0.11537E+04    0.45770E-01    0.17238E+01    0.59295E+07    0.18207E+05
    39    0.11715E+04    0.49912E-01    0.16693E+01    0.59261E+07    0.17805E+05
    40    0.11894E+04    0.54310E-01    0.16073E+01    0.59205E+07    0.17418E+05
    41    0.12076E+04    0.58984E-01    0.15395E+01    0.59131E+07    0.17039E+05
    42    0.12257E+04    0.63937E-01    0.14640E+01    0.59038E+07    0.16668E+05
    43    0.12440E+04    0.69164E-01    0.13781E+01    0.58928E+07    0.16306E+05
    44    0.12623E+04    0.74646E-01    0.12798E+01    0.58802E+07    0.15955E+05
    45    0.12810E+04    0.80374E-01    0.11675E+01    0.58662E+07    0.15617E+05
    46    0.12999E+04    0.86345E-01    0.10379E+01    0.58509E+07    0.15291E+05
    47    0.13190E+04    0.92561E-01    0.89295E+00    0.58343E+07    0.14977E+05
    48    0.13382E+04    0.99035E-01    0.73817E+00    0.58165E+07    0.14672E+05
