#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.993117E-05   0.203668E+08   0.203668E+08   0.271415E+08   0.271411E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993832E+07   0.993832E+07   0.639786E+01
   0.109660E-04   0.203668E+08   0.203668E+08   0.271384E+08   0.271379E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993832E+07   0.993832E+07   0.706430E+01
   0.121086E-04   0.203668E+08   0.203668E+08   0.271346E+08   0.271340E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993832E+07   0.993832E+07   0.780011E+01
   0.133704E-04   0.203668E+08   0.203668E+08   0.271300E+08   0.271292E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458041E+00   0.993831E+07   0.993831E+07   0.861249E+01
   0.147636E-04   0.203668E+08   0.203668E+08   0.271243E+08   0.271234E+08   0.000000E+00   0.203668E+08   0.203668E+08   0.203752E+08  -0.458040E+00   0.993831E+07   0.993831E+07   0.950938E+01
   0.163019E-04   0.203667E+08   0.203667E+08   0.271174E+08   0.271163E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203752E+08  -0.458040E+00   0.993830E+07   0.993830E+07   0.104996E+02
   0.180006E-04   0.203667E+08   0.203667E+08   0.271090E+08   0.271076E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203752E+08  -0.458040E+00   0.993829E+07   0.993829E+07   0.115927E+02
   0.198762E-04   0.203667E+08   0.203667E+08   0.270988E+08   0.270971E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203751E+08  -0.458039E+00   0.993828E+07   0.993828E+07   0.127993E+02
   0.219473E-04   0.203667E+08   0.203667E+08   0.270863E+08   0.270842E+08   0.000000E+00   0.203667E+08   0.203667E+08   0.203751E+08  -0.458038E+00   0.993827E+07   0.993827E+07   0.141313E+02
   0.242342E-04   0.203666E+08   0.203666E+08   0.270711E+08   0.270686E+08   0.000000E+00   0.203666E+08   0.203666E+08   0.203751E+08  -0.458037E+00   0.993825E+07   0.993825E+07   0.156015E+02
